N	2gram	Voloshinov_1	Dialekti
1	и не	1	30
2	может быть	1	20
3	не только	1	19
4	и в	3	19
5	а не	1	16
6	то же	1	12
7	точки зрения	1	12
8	но и	1	12
9	и все	1	12
10	не может	4	9
11	с точки	1	8
12	в то	1	6
13	же время	1	5
14	связи с	1	4
15	может не	1	4
16	вещей и	1	3
17	не менее	1	3
18	в ней	1	2
19	если в	2	2
20	в каждом	1	2
21	несмотря на	1	2
22	смысл и	1	2
23	тому что	1	2
24	к тому	1	2
25	и должно	1	2
26	и можно	1	2
27	мы видим	1	2
28	в системе	1	2
29	может и	1	2
30	тех же	1	1
31	явление если	1	1
32	нет и	1	1
33	вполне понятно	1	1
34	он в	1	1
35	из этих	1	1
36	бы чисто	1	1
37	бы на	1	1
38	на месте	1	1
39	и истории	1	1
40	с теми	1	1
41	можно и	1	1
42	на нее	1	1
43	и на	1	1
44	отрешенными от	1	1
45	и событий	1	1
46	в особенности	1	1
47	в его	1	1
48	можно назвать	1	1
