1	и с	2	3
2	ничего не	4	2
3	в этом	15	2
4	должен быть	2	2
5	что в	2	2
6	и не	19	2
7	бы что	1	2
8	он не	3	2
9	по поводу	1	1
10	и в	19	1
11	все это	1	1
12	как о	2	1
13	это было	2	1
14	по отношению	8	1
15	если бы	11	1
16	от этого	2	1
17	а в	3	1
18	и сам	1	1
19	жизни и	2	1
20	для него	9	1
21	и о	2	1
22	было не	1	1
23	в материале	2	1
24	есть только	1	1
25	следовательно в	1	1
26	нее и	1	1
27	бы в	4	1
28	и со	1	1
29	первую очередь	1	1
30	могло бы	1	1
31	и др	1	1
32	автор и	1	1
33	тем что	2	1
34	не так	2	1
35	того что	4	1
36	никогда не	7	1
37	в первую	1	1
38	так то	1	1
39	а с	2	1
40	но когда	1	1
41	в значительной	2	1
42	не дает	1	1
43	с другой	3	1
44	в художественном	1	1
45	себя в	2	1
46	все эти	3	1
47	так и	10	1
48	следующим образом	1	1
49	только что	3	1
50	в основе	9	1
51	только для	1	1
52	для других	3	1
53	того чтобы	6	1
54	говорить о	1	1
55	в них	1	1
56	со всеми	1	1
57	отношению к	8	1
58	стороны он	1	1
59	при такой	1	1
60	в целом	1	1
61	того же	5	1
62	другой стороны	1	1
63	для того	6	1
