N	3gram	Tiupa_Hudo_1	SlovoVZh
1	по отношению к	9	11
2	не может быть	3	7
3	в нашем примере	1	7
4	можно сказать что	3	5
5	в том что	7	4
6	и по отношению	1	3
7	тем не менее	3	3
8	бы то ни	1	3
9	может быть и	2	3
10	этой точки зрения	1	3
11	то ни было	1	3
12	в художественном произведении	1	3
13	и то же	3	2
14	к автору и	1	2
15	имеем в виду	3	2
16	с другой стороны	5	2
17	то же самое	1	2
18	с точки зрения	3	2
19	и для других	1	2
20	до известной степени	2	2
21	одно и то	3	2
22	в отношении к	1	2
23	в настоящее время	1	2
24	с одной стороны	2	2
25	тех или иных	2	1
26	и его носителя	1	1
27	отношению к которому	1	1
28	творчества он должен	1	1
29	он должен занимать	1	1
30	имеем дело с	1	1
31	притом двустороннюю позицию	1	1
32	событии художественного творчества	1	1
33	занимать особую притом	1	1
34	незаместимое место в	1	1
35	мы имеем дело	2	1
36	свое незаместимое место	1	1
37	бы они ни	1	1
38	более или менее	5	1
39	нем по отношению	1	1
40	в этом смысле	3	1
41	автору и по	1	1
42	в то время	1	1
43	в частности в	1	1
44	к нему как	1	1
45	искусства может быть	2	1
46	и в пространстве	1	1
47	художественное произведение взятое	1	1
48	отношению к автору	1	1
49	при этом особенно	1	1
50	ни в коем	2	1
51	место в событии	1	1
52	в свою очередь	2	1
53	они не входят	1	1
54	отношению к герою	2	1
55	в истории литературы	1	1
56	о том что	1	1
57	только то что	1	1
58	лингвистической точки зрения	1	1
59	никогда не бывает	1	1
60	в конечном счете	5	1
61	художественного творчества он	1	1
62	художественного произведения с	1	1
63	и прежде всего	1	1
64	внутренней и внешней	2	1
65	то же время	5	1
66	подобно тому как	1	1
67	между тем это	1	1
68	в русской литературе	2	1
69	позицию в нем	1	1
70	он еще не	1	1
71	точки зрения не	1	1
72	двустороннюю позицию в	1	1
73	в основе своей	1	1
74	мы имеем в	3	1
75	в противном случае	2	1
76	они ни были	1	1
77	по крайней мере	1	1
78	в то же	5	1
79	жизни за пределами	1	1
80	случае мы имеем	1	1
81	в коем случае	2	1
82	в том и	2	1
83	в событии художественного	1	1
84	в значительной степени	1	1
85	сама по себе	2	1
86	должен занимать особую	1	1
87	в нем по	1	1
88	особую притом двустороннюю	1	1
89	во внутренней речи	1	1
90	так же как	1	1
91	не совпадает с	1	1
92	в виду не	3	1
93	внутренней речи а	1	1
94	как и в	1	1
95	позицию по отношению	1	1
96	к тому же	1	1
97	внутренней речи с	1	1
98	к вопросу о	1	1
