N	3gram	Tiupa_Anal_1	Sovremen
1	с точки зрения	4	5
2	в зависимости от	1	4
3	не может быть	16	4
4	друг с другом	1	2
5	во всяком случае	1	2
6	в отличие от	6	2
7	в свою очередь	1	2
8	то же самое	2	2
9	такой же мере	1	1
10	что иное как	5	1
11	в известном смысле	1	1
12	по крайней мере	1	1
13	не могут быть	2	1
14	в такой же	1	1
15	не в том	3	1
16	одни и те	1	1
17	в связи с	1	1
18	оно может быть	1	1
19	какой бы то	2	1
20	по отношению к	5	1
21	равно как и	1	1
22	одна и та	1	1
23	как и во	1	1
24	в обратном порядке	1	1
25	он может быть	1	1
26	в этом смысле	1	1
27	и той же	1	1
28	в свое время	2	1
29	один и тот	1	1
30	и все же	2	1
31	до сих пор	1	1
32	вместе с ним	2	1
33	принципиально не может	1	1
34	то же время	6	1
35	ему принадлежит только	1	1
36	сами по себе	2	1
37	по аналогии с	1	1
38	есть не что	3	1
39	может иметь место	1	1
40	бы то ни	3	1
41	и та же	1	1
42	еще аристотелем и	1	1
43	но отнюдь не	1	1
44	в конечном счете	4	1
45	и те же	1	1
46	и не может	4	1
47	в самом деле	2	1
48	той или иной	6	1
49	в том случае	1	1
50	конечном счете только	1	1
51	в то же	8	1
52	одной и той	1	1
53	не что иное	4	1
54	не подлежит никакому	1	1
55	в себе в	1	1
56	в том что	9	1
57	в данном случае	2	1
58	все эти три	1	1
59	ничто не может	1	1
60	то ни было	3	1
61	с одной стороны	3	1
62	и тот же	1	1
