N	2gram	Propp_Isto_4	BTomashe
1	у нас	2	3
2	и не	9	2
3	в ней	1	2
4	видеть в	2	2
5	ее задач	1	2
6	все это	2	2
7	его функцией	1	1
8	с другой	4	1
9	не все	1	1
10	вопрос о	4	1
11	в своей	4	1
12	между ними	3	1
13	в области	2	1
14	на которой	2	1
15	не вполне	1	1
16	в эпоху	1	1
17	более что	1	1
18	и в	26	1
19	будто бы	1	1
20	так и	10	1
21	стоит на	2	1
22	об этом	7	1
23	короче говоря	1	1
24	не было	1	1
25	и во	2	1
26	должна быть	2	1
27	было бы	2	1
28	одной из	1	1
29	в пределах	1	1
30	только одной	1	1
31	все же	9	1
32	изучение и	1	1
33	имеющихся в	1	1
34	и более	3	1
35	прежде всего	1	1
36	что в	14	1
37	таким образом	10	1
38	к ней	1	1
39	можно в	1	1
40	еще не	6	1
41	как будто	1	1
42	не только	15	1
43	в данном	3	1
44	не следует	1	1
45	и на	2	1
46	другой стороны	4	1
47	тем более	1	1
48	а не	6	1
