N	2gram	Voloshinov_1	Otkroven
1	у него	1	22
2	и в	12	19
3	но и	3	13
4	и не	10	13
5	в этом	4	12
6	из подполья	1	11
7	не в	4	11
8	не только	4	11
9	может быть	14	11
10	а не	5	11
11	в нем	6	10
12	и все	2	10
13	прежде всего	8	9
14	не было	1	9
15	никогда не	5	9
16	и он	1	8
17	в его	2	7
18	он не	2	7
19	до конца	2	7
20	нет ничего	2	7
21	от него	1	7
22	как и	5	6
23	все это	3	6
24	отношение к	4	5
25	в том	6	5
26	в самом	4	5
27	для него	3	5
28	в творчестве	3	5
29	то что	5	5
30	записок из	1	5
31	с его	2	4
32	все в	1	4
33	все эти	3	4
34	что не	4	4
35	в идиоте	1	4
36	не может	16	4
37	того чтобы	1	4
38	человек и	1	4
39	и его	13	4
40	что в	2	4
41	только и	1	4
42	о том	3	3
43	еще не	3	3
44	к нему	4	3
45	было бы	1	3
46	того что	3	3
47	когда он	3	3
48	и ее	3	3
49	в себе	3	3
50	и вот	1	3
51	не могут	1	3
52	это не	2	3
53	могут быть	2	3
54	как бы	13	3
55	с ним	3	3
56	в русской	1	3
57	в этих	2	3
58	хотя бы	5	3
59	и с	3	2
60	и то	2	2
61	в ее	1	2
62	умирает в	1	2
63	так и	4	2
64	и о	1	2
65	по себе	3	2
66	и на	4	2
67	что и	2	2
68	что они	1	2
69	в истории	1	2
70	как к	3	2
71	в своем	2	2
72	все же	4	2
73	и к	4	2
74	и потому	2	2
75	при чтении	1	2
76	уже в	2	2
77	в душе	2	2
78	что для	1	2
79	одно из	1	2
80	ведь это	1	2
81	так как	9	2
82	даже и	1	2
83	момент в	1	2
84	в другом	1	2
85	и из	1	2
86	его в	4	2
87	одного только	1	2
88	сказать что	7	2
89	должно быть	1	2
90	него не	1	2
91	том что	5	2
92	ко всем	2	2
93	к этому	2	2
94	с которой	1	2
95	и для	3	2
96	ничего не	2	2
97	не есть	2	2
98	жизни в	1	2
99	в своей	3	2
100	что все	1	2
101	хотя и	1	2
102	но в	5	2
103	и это	1	1
104	и самое	2	1
105	например в	1	1
106	чтобы не	1	1
107	в виду	5	1
108	сам по	1	1
109	на самом	4	1
110	но тем	2	1
111	характер и	1	1
112	тем же	1	1
113	когда человек	1	1
114	не те	1	1
115	не имеют	1	1
116	должна быть	5	1
117	и больше	1	1
118	можно было	1	1
119	бы эта	1	1
120	по природе	2	1
121	мы не	3	1
122	ту же	1	1
123	если бы	9	1
124	собственно в	1	1
125	не вполне	1	1
126	бы даже	2	1
127	в ней	6	1
128	на примере	2	1
129	и что	2	1
130	вопросу о	1	1
131	самом деле	3	1
132	но не	2	1
133	то он	1	1
134	нуждается в	3	1
135	себе и	1	1
136	отметить что	1	1
137	в форме	2	1
138	и можно	1	1
139	все время	6	1
140	в одной	1	1
141	так для	1	1
142	как в	5	1
143	и мир	1	1
144	друг к	1	1
145	как например	1	1
146	в частности	1	1
147	природой и	1	1
148	стала возможной	1	1
149	ли он	1	1
150	чего же	1	1
151	то в	1	1
152	дано еще	1	1
153	не хочет	1	1
154	что это	1	1
155	и идеологических	1	1
156	в эти	1	1
157	к которой	1	1
158	думать что	1	1
159	есть уже	2	1
160	уже не	4	1
161	было дано	1	1
162	что она	1	1
163	на этих	1	1
164	да и	3	1
165	его и	1	1
166	он должен	3	1
167	к одному	1	1
168	в корне	2	1
169	в одном	1	1
170	вовсе не	1	1
171	у нее	1	1
172	из него	2	1
173	этом отношении	1	1
174	нее не	1	1
175	от того	4	1
176	же не	1	1
177	явление а	1	1
178	к другу	1	1
179	не совпадает	1	1
180	и прежде	1	1
181	она стала	1	1
182	в жизни	5	1
183	кажется что	1	1
184	говорит о	1	1
185	во внутренней	1	1
186	и пр	3	1
187	в них	3	1
188	а с	1	1
189	и самый	1	1
190	о чем	1	1
191	природы это	1	1
192	и тогда	1	1
193	не так	2	1
194	места в	1	1
195	пределы искусства	1	1
196	связь с	2	1
197	видели в	1	1
198	художественного творчества	3	1
199	все основные	1	1
200	сторон и	1	1
201	его как	2	1
202	и без	1	1
203	как это	2	1
204	в котором	3	1
205	противоречит самым	1	1
206	может с	1	1
207	всяком случае	1	1
208	и более	3	1
209	и менее	1	1
210	его творчество	1	1
211	в отношении	2	1
212	было такой	1	1
213	и здесь	2	1
214	но это	2	1
215	природу и	1	1
216	она не	2	1
217	дело в	4	1
218	в науке	1	1
219	она должна	1	1
220	со всей	1	1
221	в процессе	6	1
222	виду не	1	1
223	отрешиться от	1	1
224	он еще	1	1
225	не существует	1	1
226	человека для	1	1
227	к одной	1	1
228	ее и	3	1
229	особого рода	1	1
230	это часто	1	1
231	еще более	1	1
232	и ценности	1	1
233	по своей	1	1
234	и светом	1	1
235	отношении к	3	1
236	как будто	1	1
237	человеческого общества	2	1
238	но есть	1	1
239	у нас	1	1
240	и эта	1	1
241	была бы	2	1
242	от всех	2	1
243	но можно	1	1
244	нему как	1	1
245	к его	2	1
246	та же	1	1
247	жизни и	4	1
248	во всяком	1	1
