N	3gram	Nazirov_Tr_1	Analitik
1	о том что	2	6
2	в том что	2	6
3	в данном случае	2	5
4	и в этом	1	4
5	в этом случае	1	4
6	тем не менее	1	3
7	как и в	1	3
8	и стал смотреть	1	2
9	в обоих случаях	1	2
10	в то же	5	2
11	и то что	1	2
12	в отличие от	2	2
13	по природе своей	1	2
14	то же время	5	2
15	и в самом	2	2
16	не только не	1	2
17	а между тем	1	1
18	не так ли	1	1
19	и сам автор	1	1
20	это было в	1	1
21	и что же?	1	1
22	в этой борьбе	1	1
23	хотя бы и	1	1
24	он вообще не	1	1
25	он тот кто	1	1
26	но и на	1	1
27	в третий раз	1	1
28	в эпизоде гибели	1	1
29	вместе с ними	1	1
30	бы и в	1	1
31	говорит о его	1	1
32	в этой связи	1	1
33	в применении к	1	1
34	еще ничего не	1	1
35	в связи с	1	1
36	что при таком	1	1
37	уже не к	1	1
38	не может быть	1	1
39	отнюдь не является	1	1
40	который в своей	1	1
41	в самом деле	1	1
42	на всем протяжении	1	1
43	к тому что	1	1
44	точно так же	2	1
