N	3gram	Trubetskoy_1	Stilisti
1	в то же	2	9
2	в зависимости от	1	7
3	то же время	2	7
4	для того чтобы	7	7
5	с точки зрения	8	5
6	и то же	1	4
7	то же самое	1	4
8	одно и то	1	4
9	то что мы	1	4
10	в свою очередь	2	4
11	с самого начала	1	4
12	на самом деле	7	3
13	в этом случае	4	3
14	заключает в себе	2	3
15	в конце концов	4	3
16	но для того	1	3
17	не забудем что	1	3
18	но все же	2	3
19	как мы видели	1	3
20	и той же	1	2
21	мы можем не	1	2
22	и в сознании	1	2
23	тех случаях когда	1	2
24	вместе с тем	2	2
25	может показаться что	1	2
26	и для того	1	2
27	тот или иной	1	2
28	мы не знаем	1	2
29	на первый взгляд	1	2
30	смысле этого слова	1	2
31	но при этом	1	2
32	не может быть	3	2
33	в тех случаях	1	2
34	о том что	4	2
35	в связи с	3	2
36	к тому что	1	2
37	мы видим что	1	2
38	одной и той	1	2
39	все то что	1	2
40	мы видели что	1	2
41	вполне очевидно что	1	1
42	и того же	3	1
43	и тому же	1	1
44	нет и не	1	1
45	в голову не	1	1
46	бы нам удалось	1	1
47	а затем и	1	1
48	по отношению к	9	1
49	более или менее	7	1
50	и поэтому мы	1	1
51	не говоря уже	1	1
52	показаться что мы	1	1
53	в самом деле	5	1
54	и если я	1	1
55	в котором они	1	1
56	о которой мы	2	1
57	до сих пор	8	1
58	из них в	1	1
59	если бы нам	1	1
60	лишь при условии	2	1
61	образом здесь не	1	1
62	независимо от того	1	1
63	в себе и	1	1
64	при этом не	1	1
65	можно было бы	1	1
66	по крайней мере	1	1
67	лишь постепенно в	1	1
68	бы не в	1	1
69	и в жизни	1	1
70	в своем развитии	3	1
71	лишь то что	1	1
72	иметь не может	1	1
73	для многих других	1	1
74	если мы возьмем	1	1
75	полного тождества между	1	1
76	и т.д в	1	1
77	бы прежде всего	1	1
78	по сравнению с	5	1
79	тем не менее	4	1
80	благодаря тому что	1	1
81	как и вообще	1	1
82	в нашем случае	2	1
83	иметь в виду	1	1
84	но и его	1	1
85	но вместе с	1	1
86	мы говорили выше	5	1
87	и от всех	1	1
88	социальной жизни он	1	1
89	два первых вопроса	1	1
90	так и от	1	1
91	и в голову	1	1
92	если бы человечество	1	1
93	о котором мы	1	1
94	между этими двумя	2	1
95	друг друга и	1	1
96	на каждом этапе	1	1
97	если мы будем	1	1
98	борьбе за существование	1	1
99	таким образом в	3	1
100	таким образом мы	1	1
101	то для того	1	1
102	не может не	3	1
103	но в этой	1	1
104	между тем в	1	1
105	хотя бы в	1	1
106	не только не	1	1
107	и не может	1	1
108	мысль о том	1	1
109	только тогда когда	1	1
110	с другой стороны	4	1
111	только в том	1	1
112	одного и того	3	1
113	в самом широком	1	1
114	я до сих	1	1
115	для этого необходимо	1	1
116	мы все же	2	1
117	с течением времени	4	1
118	та или иная	1	1
119	не будет уже	1	1
120	самом широком смысле	1	1
121	мы уже знаем	1	1
122	во всех их	1	1
123	даже в области	1	1
124	в том что	15	1
125	именно потому что	2	1
126	этот вопрос в	1	1
127	отнюдь не противоречит	1	1
128	как и в	2	1
129	самом деле является	1	1
130	что при этом	1	1
131	одному и тому	1	1
132	возможна лишь при	1	1
133	тот факт что	4	1
