N	2gram	Tiupa_Narr_1	IolandNe
1	и с	4	3
2	и не	20	2
3	в этом	17	2
4	он не	3	2
5	что в	3	2
6	ничего не	2	2
7	себя в	5	1
8	и др	2	1
9	и тот	2	1
10	и в	19	1
11	у всех	1	1
12	то и	1	1
13	а по	2	1
14	то она	2	1
15	как только	1	1
16	того же	1	1
17	жил в	1	1
18	при такой	1	1
19	и со	1	1
20	было не	1	1
21	с другой	8	1
22	кто иной	1	1
23	иной как	1	1
24	это было	1	1
25	а в	11	1
26	вплоть до	2	1
27	еще одной	1	1
28	того что	1	1
29	в художественном	1	1
30	понимания жизни	1	1
31	о жизни	1	1
32	не дает	1	1
33	после смерти	2	1
34	как о	1	1
35	а с	3	1
36	другой стороны	4	1
37	и чрезвычайно	1	1
38	оказывается для	1	1
39	остается как	1	1
40	с героем	1	1
41	в первую	1	1
42	не так	1	1
43	для него	2	1
44	а также	7	1
45	в основе	5	1
46	в значительной	2	1
47	говорить о	2	1
48	как отец	1	1
49	и сам	1	1
50	такого знания	1	1
51	видит в	1	1
52	отношению к	6	1
53	а если	2	1
54	так и	9	1
55	от этого	1	1
56	за границей	4	1
57	первую очередь	1	1
58	не случайно	2	1
59	никогда не	3	1
60	его личности	2	1
61	о ней	3	1
62	жизни и	3	1
63	бы все	1	1
64	и ничего	1	1
65	тем что	3	1
66	в целом	1	1
67	по поводу	1	1
68	по отношению	7	1
69	очевидно что	1	1
70	в них	1	1
71	все эти	2	1
72	по существу	2	1
73	не кто	1	1
74	со всеми	1	1
75	если бы	1	1
