1	одно и то же	2	3
2	не что иное как	6	2
3	одной и той же	1	2
4	в самом деле если	1	2
5	если иметь в виду	2	1
6	так же как и	1	1
7	сами по себе совершенно	1	1
8	но как только мы	1	1
9	в том что в	1	1
10	с одной стороны и	1	1
11	что с точки зрения	1	1
12	в то время как	4	1
13	что иное как именно	1	1
14	угодно но только не	1	1
15	с этой точки зрения	2	1
16	на самом деле есть	1	1
17	самом деле есть не	1	1
18	по одному тому что	2	1
19	говорить не только о	1	1
20	которые сами по себе	1	1
21	есть одна из самых	1	1
22	иное как именно это	1	1
23	ни другого ни третьего	1	1
