N	3gram	Ircho_Kome_3	Hudozhes
1	о том что	4	9
2	и т п	3	8
3	то же время	4	8
4	по отношению к	3	8
5	в то же	4	8
6	в том что	9	6
7	в самом деле	6	4
8	в этой связи	2	4
9	к тому что	1	4
10	с точки зрения	3	3
11	в этом отношении	2	3
12	в связи с	3	3
13	и в самом	3	3
14	тем не менее	3	3
15	и т д	1	3
16	о том как	3	2
17	что он не	2	2
18	в первую очередь	1	2
19	до сих пор	9	2
20	как раз в	1	2
21	если говорить о	1	2
22	так или иначе	2	2
23	что у него	1	2
24	и о том	1	2
25	в конечном счете	2	2
26	речь идет о	3	2
27	на то что	1	2
28	на то чтобы	1	2
29	потому что он	1	1
30	насколько мне известно	1	1
31	как уже говорилось	1	1
32	возможным не только	1	1
33	состоит в том	2	1
34	взгляда на человека	1	1
35	но при этом	1	1
36	в прошлом году	1	1
37	то же самое	3	1
38	одной стороны и	1	1
39	сих пор еще	1	1
40	может быть только	1	1
41	и в этом	1	1
42	и в то	1	1
43	с самого начала	4	1
44	более или менее	1	1
45	нечто большее чем	1	1
46	в отличие от	1	1
47	несмотря на то	1	1
48	с этой точки	1	1
49	к себе и	1	1
50	он не испытывал	1	1
51	здесь нет и	3	1
52	в первом случае	1	1
53	не сводится к	1	1
54	по своему происхождению	1	1
55	в конце концов	2	1
56	только один из	1	1
57	так и в	1	1
58	имеет ничего общего	1	1
59	в этот момент	1	1
60	что при всей	1	1
61	во всяком случае	3	1
62	как бы в	1	1
63	не имеет ничего	1	1
64	т п не	1	1
65	в свое время	1	1
66	в свою очередь	6	1
67	было ясно что	1	1
68	ничего общего с	1	1
69	именно к этой	1	1
70	этой точки зрения	1	1
71	утра до вечера	1	1
72	ни тому ни	1	1
73	даже не в	1	1
74	но все же	2	1
75	прежде всего это	1	1
76	за то что	1	1
77	склонны видеть в	1	1
78	друг от друга	1	1
79	если бы не	1	1
80	на пути к	1	1
81	с одной стороны	3	1
82	все это делает	1	1
83	друг с другом	1	1
84	в ответ на	1	1
85	и я могу	1	1
86	друг друга и	1	1
87	с утра до	1	1
88	всего это касается	1	1
