N	3gram	Berdyaev_M_1	Istorich
1	до сих пор	2	6
2	вместе с тем	5	5
3	мы имеем в	1	5
4	в том что	1	5
5	в иной мир	2	4
6	что он не	2	4
7	не только в	2	4
8	по отношению к	2	3
9	с тем что	3	3
10	можно было бы	1	3
11	мы увидим что	3	3
12	что иное как	1	2
13	потому что он	1	2
14	но и в	4	2
15	во всех этих	1	2
16	только с одним	1	2
17	не что иное	1	2
18	и ничего не	1	2
19	не может быть	17	2
20	о том что	1	2
21	и вместе с	4	2
22	всякий раз когда	1	1
23	бросается в глаза	1	1
24	и есть то	1	1
25	он должен быть	1	1
26	не видит но	1	1
27	человека а не	1	1
28	в зависимости от	1	1
29	в отличие от	1	1
30	в свою противоположность	2	1
31	но это не	1	1
32	что он был	1	1
33	до конца и	1	1
34	ни к какому	1	1
35	в высшей степени	2	1
36	ответ на это	1	1
37	в которой она	1	1
38	ней так как	1	1
39	тем что в	1	1
40	в себе в	1	1
41	есть вместе с	1	1
42	уже в иной	1	1
43	приводит к себе	1	1
44	о его пути	1	1
45	это и есть	4	1
46	она лежит в	1	1
47	это значит что	3	1
48	то мы имеем	1	1
49	и в нем	3	1
50	момент когда он	1	1
