N	2gram	Bakhtin_sl_1	VrazhdaK
1	тургенева и	1	18
2	у тургенева	7	11
3	в бесах	1	10
4	не только	16	9
5	в этом	12	8
6	и в	41	8
7	и что	1	8
8	тургенева в	1	7
9	но и	16	7
10	и все	4	7
11	все же	7	6
12	но в	8	6
13	в нем	30	6
14	как и	4	6
15	в котором	2	6
16	и с	4	6
17	о нем	4	6
18	в начале	1	6
19	и даже	6	6
20	в романе	21	6
21	то же	14	5
22	в то	14	5
23	же время	12	5
24	между тем	2	5
25	у него	3	5
26	не было	3	5
27	и не	16	5
28	в ней	4	4
29	в истории	3	4
30	целый ряд	1	4
31	при этом	6	4
32	это не	6	4
33	несмотря на	1	4
34	все это	5	4
35	в виду	1	4
36	с ним	7	4
37	о том	3	4
38	для нас	2	4
39	может быть	14	4
40	он считал	1	4
41	как бы	12	4
42	так же	2	4
43	одним из	4	3
44	он был	1	3
45	с его	4	3
46	в своем	3	3
47	в этот	1	3
48	на то	1	3
49	его в	3	3
50	он не	3	3
51	далеко не	5	3
52	и уже	1	3
53	том что	2	3
54	но он	2	3
55	и его	14	3
56	связи с	2	3
57	человека в	1	3
58	и о	2	3
59	и во	3	3
60	в его	13	3
61	в том	3	3
62	и у	2	3
63	о себе	1	3
64	эти слова	2	3
65	к этому	2	3
66	же как	2	2
67	и то	2	2
68	и он	1	2
69	столь же	2	2
70	но как	1	2
71	в эти	1	2
72	к автору	2	2
73	в известном	2	2
74	в той	10	2
75	его на	1	2
76	и дети	1	2
77	в письмах	1	2
78	в этой	1	2
79	в себе	3	2
80	время и	2	2
81	нашего времени	1	2
82	таким образом	9	2
83	в них	6	2
84	рядом с	4	2
85	а с	2	2
86	в эту	2	2
87	точки зрения	16	2
88	отцы и	1	2
89	в своей	7	2
90	и ее	3	2
91	с точки	8	2
92	о романе	1	2
93	место в	1	2
94	он тоже	1	2
95	не менее	1	2
96	том же	4	2
97	одна из	2	2
98	никогда не	3	2
99	в виноградов	1	2
100	п в	1	2
101	в роман	19	2
102	его с	1	2
103	мысли на	1	2
104	на это	1	2
105	время он	1	2
106	и это	1	2
107	же не	1	2
108	в в	1	2
109	так в	2	2
110	еще не	4	2
111	а также	2	2
112	тем более	1	2
113	уже не	2	2
114	из них	3	2
115	его и	3	2
116	для него	3	2
117	отношение к	7	2
118	к ним	1	2
119	как раз	2	2
120	с которым	2	2
121	о чем	1	2
122	этот рассказ	1	2
123	не может	14	2
124	вместе с	1	2
125	в него	3	2
126	в среде	1	2
127	в это	1	2
128	но это	1	2
129	же в	1	2
130	а в	6	2
131	в свою	3	2
132	себя как	1	1
133	а между	2	1
134	как известно	1	1
135	от этой	2	1
136	к людям	1	1
137	ко всем	1	1
138	также и	3	1
139	того же	6	1
140	к своей	2	1
141	считал роман	1	1
142	и есть	1	1
143	ему не	2	1
144	по преимуществу	4	1
145	в их	4	1
146	из всех	1	1
147	той же	2	1
148	что уже	1	1
149	именно к	1	1
150	равно как	1	1
151	роман в	2	1
152	это отношение	2	1
153	собой в	1	1
154	литературе и	1	1
155	одном из	1	1
156	влияния на	3	1
157	по своему	2	1
158	а следовательно	1	1
159	одним словом	2	1
160	но не	2	1
161	в сторону	1	1
162	не все	1	1
163	каком направлении	1	1
164	что они	2	1
165	из которого	1	1
166	они эти	1	1
167	как в	8	1
168	с этим	3	1
169	по которому	1	1
170	как к	2	1
171	что как	1	1
172	слова другие	1	1
173	два дня	1	1
174	и наконец	4	1
175	разногласия и	1	1
176	них он	1	1
177	в живое	1	1
178	то в	2	1
179	в самом	5	1
180	в целом	2	1
181	момент его	3	1
182	не был	1	1
183	только два	1	1
184	выражение в	3	1
185	не могла	2	1
186	да и	1	1
187	от которого	1	1
188	одному из	2	1
189	всех этих	4	1
190	чем у	1	1
191	ведь не	1	1
192	свои собственные	2	1
193	в плане	6	1
194	из него	2	1
195	людей и	1	1
196	однако в	1	1
197	одно и	2	1
198	совпадают с	1	1
199	есть все	1	1
200	конечно в	1	1
201	входя в	4	1
202	это было	1	1
203	заключается в	1	1
204	было бы	3	1
205	в жизни	1	1
206	как общее	1	1
207	ее способности	1	1
208	письмах и	1	1
209	этого не	1	1
210	автору и	1	1
211	он и	1	1
212	автору а	1	1
213	в этих	2	1
214	и их	1	1
215	всяком случае	5	1
216	он принимает	1	1
217	его отношение	1	1
218	многочисленны и	1	1
219	сам же	1	1
220	эпиграфом к	1	1
221	тем не	1	1
222	по крайней	1	1
223	без всяких	2	1
224	есть еще	1	1
225	с такими	1	1
226	произведения это	1	1
227	правда в	1	1
228	в процессе	4	1
229	героев и	1	1
230	нем в	3	1
231	только не	1	1
232	следовательно и	3	1
233	все свои	2	1
234	автора к	3	1
235	ничего не	4	1
236	и лишь	1	1
237	вне его	2	1
238	в другую	1	1
239	по своей	1	1
240	такая же	2	1
241	потому что	2	1
242	этом отношении	1	1
243	и сомнения	1	1
244	отношение автора	1	1
245	в каком	1	1
246	среди них	1	1
247	тем это	1	1
248	в духе	2	1
249	в речах	2	1
250	могут быть	19	1
251	во все	1	1
252	мнения о	1	1
253	отличается от	1	1
254	этого и	1	1
255	по всем	1	1
256	не есть	2	1
257	правда не	2	1
258	россию и	1	1
259	с ее	4	1
260	свою очередь	2	1
261	в ее	2	1
262	не могло	3	1
263	куда вы	2	1
264	то время	2	1
265	роль в	2	1
266	и сам	3	1
267	так и	11	1
268	не с	2	1
269	принимая его	1	1
270	но у	1	1
271	жизнь и	1	1
272	и вообще	2	1
273	во всяком	7	1
274	его жизни	1	1
275	до сих	2	1
276	нас в	2	1
277	к нему	5	1
278	во всех	17	1
279	рассказ не	1	1
280	от них	1	1
281	в форме	1	1
282	крайней мере	1	1
