N	3gram	Potebnia_M_3	Literetu
1	в том что	16	11
2	так или иначе	1	8
3	то же время	5	5
4	в то же	5	5
5	на наш взгляд	1	5
6	в данном случае	1	4
7	не только в	4	4
8	в том же	2	3
9	по отношению к	5	2
10	не говоря уже	1	2
11	подобно тому как	2	2
12	только в том	3	2
13	в этом отношении	2	2
14	из того что	1	2
15	и то что	1	2
16	с одной стороны	3	2
17	о том что	1	2
18	и тем самым	1	2
19	тем не менее	3	2
20	может быть назван	1	1
21	в эту минуту	1	1
22	то что я	2	1
23	только потому что	2	1
24	а не в	1	1
25	одним и тем	3	1
26	однако с точки	1	1
27	на самом деле	1	1
28	в этом последнем	2	1
29	на то что	1	1
30	во многих случаях	1	1
31	том что он	2	1
32	потому что я	1	1
33	лишь тогда когда	1	1
34	несмотря на свою	1	1
35	могли бы быть	1	1
36	по крайней мере	5	1
37	не подлежит сомнению	1	1
38	по этому поводу	1	1
39	этимологическое значение слова	1	1
40	и тем же	3	1
41	в самом деле	1	1
42	на первый взгляд	1	1
43	говоря уже о	1	1
44	в произведении искусства	3	1
45	не в силах	1	1
46	а не как	1	1
47	только в силу	1	1
48	а потому и	1	1
49	с другой стороны	4	1
50	тем что в	1	1
51	не может быть	3	1
52	если оно вообще	1	1
53	именно в том	2	1
54	одно из них	1	1
55	что художественное творчество	1	1
56	каждого из них	1	1
57	только то что	1	1
58	ничего общего с	1	1
59	нельзя сказать что	2	1
60	до тех пор	1	1
61	в свою очередь	3	1
62	далеко не всегда	1	1
63	до сих пор	3	1
64	что же именно	1	1
65	не может стать	1	1
66	но и от	1	1
67	может и не	1	1
68	тем более что	1	1
69	не только от	1	1
70	быть не может	1	1
71	в сфере языка	1	1
72	здесь как и	1	1
73	к тому же	1	1
74	внутреннего и внешнего	1	1
