N	3gram	Nazirov_Tv_2	FransuaR
1	то же время	7	9
2	в то же	7	9
3	в том числе	1	4
4	в свою очередь	1	3
5	но в то	1	3
6	это одна из	1	3
7	мы уже говорили	1	3
8	так и в	2	3
9	в том что	2	3
10	на глазах у	1	2
11	дело в том	1	2
12	по отношению к	3	2
13	о том как	1	2
14	том числе и	1	2
15	святых и праведников	1	2
16	можно было бы	1	2
17	как и в	1	2
18	это прежде всего	2	2
19	что у него	1	2
20	в чем же	1	1
21	в этой главе	1	1
22	в том же	2	1
23	имеет в виду	1	1
24	это своего рода	1	1
25	и рядом с	1	1
26	о том чтобы	1	1
27	является одним из	1	1
28	теперь я могу	1	1
29	что в нем	1	1
30	в известной мере	2	1
31	на этот вопрос	2	1
32	в ту эпоху	1	1
33	проникает в область	1	1
34	так например в	1	1
35	все это я	1	1
36	со всех сторон	1	1
37	в метафорическом смысле	1	1
38	в применении к	1	1
39	содержит в себе	1	1
40	рассказывает о своих	1	1
41	в году в	1	1
42	и в этом	1	1
43	при этом сам	1	1
44	о том что	2	1
45	не только для	1	1
46	он говорит что	1	1
47	в связи с	1	1
48	одну общую черту	1	1
49	людей своего времени	1	1
50	и это не	1	1
51	во всяком случае	2	1
52	это и есть	1	1
53	не в силах	2	1
54	ничего общего с	1	1
55	в одном из	2	1
56	с самого начала	1	1
57	к тому же	1	1
58	нужно сказать что	1	1
59	именно потому что	1	1
60	и прежде всего	1	1
61	и в метафорическом	1	1
62	тесно связан с	1	1
63	друг за другом	1	1
64	и в том	1	1
65	на той же	1	1
66	на другой день	1	1
67	и в другом	1	1
