N	3gram	Losev_Vlad_1	RusskieA
1	в том что	7	18
2	для того чтобы	2	6
3	и т д	2	5
4	вместе с тем	1	4
5	о том что	7	4
6	не может быть	3	3
7	тем не менее	2	2
8	что иное как	1	2
9	состояла в том	1	2
10	мы не будем	1	2
11	на самом же	1	2
12	не что иное	1	2
13	в том чтобы	2	2
14	самом же деле	1	2
15	в то время	2	2
16	по этому поводу	1	2
17	с одной стороны	1	2
18	на другой день	1	2
19	кроме того в	1	2
20	том что в	3	1
21	и по своим	2	1
22	потому что в	1	1
23	более или менее	3	1
24	в настоящее время	1	1
25	но в данном	1	1
26	как и другие	1	1
27	так что в	2	1
28	в том же	1	1
29	в одних случаях	1	1
30	полной уверенности что	1	1
31	но все это	1	1
32	но в этот	1	1
33	необходимо указать еще	1	1
34	видно что к	1	1
35	как мы увидим	2	1
36	в этом отношении	1	1
37	в полной уверенности	1	1
38	но это не	1	1
39	у нас нет	2	1
40	об этом не	1	1
41	в дом его	1	1
42	в это время	1	1
43	все то же	1	1
44	здесь мы имеем	1	1
45	себя к этой	1	1
46	через три дня	1	1
47	во всяком случае	2	1
48	этому поводу с	1	1
49	смысле этого слова	1	1
50	в разные стороны	1	1
51	это время не	1	1
52	и в этом	1	1
53	мы приведем только	1	1
54	то время как	1	1
55	том чтобы установить	1	1
56	указать еще на	1	1
57	а именно с	1	1
58	а в других	1	1
59	и то почему	1	1
60	дело в том	4	1
61	с другой стороны	3	1
62	и в том	1	1
63	он здесь не	1	1
64	в свою очередь	1	1
65	к этому времени	2	1
66	и все это	1	1
67	на две партии	1	1
68	так как в	1	1
69	можно сказать что	2	1
70	на то что	4	1
71	тем более что	2	1
72	в этой же	1	1
73	этого так же	1	1
74	как мы уже	3	1
75	что в этот	1	1
76	дело не в	1	1
77	мы уже знаем	1	1
78	по возвращении из	1	1
79	это и есть	1	1
80	к жизни в	1	1
