N	3gram	Tiupa_Narr_1	Vladivir
1	о том что	2	7
2	в том что	5	7
3	в то же	4	4
4	и то что	1	4
5	на то что	2	4
6	на этот раз	1	4
7	то же время	4	4
8	дело в том	2	4
9	и потому что	1	3
10	с другой стороны	1	3
11	более или менее	1	3
12	не может быть	4	3
13	к этому времени	1	2
14	и тот же	1	2
15	и в то	1	2
16	об этом и	1	2
17	один и тот	1	2
18	в ответ на	1	2
19	еще и потому	1	2
20	у нас нет	1	2
21	для того чтобы	3	2
22	можно сказать что	2	2
23	не только в	6	2
24	что у него	1	2
25	как мы увидим	1	2
26	тем не менее	3	2
27	во всяком случае	2	2
28	к тому же	5	2
29	и т д	1	2
30	с одной стороны	1	1
31	и тем самым	4	1
32	все что может	1	1
33	из них не	1	1
34	бы то ни	1	1
35	имеют для них	1	1
36	так и его	1	1
37	в его жизни	1	1
38	что у нее	2	1
39	как это было	1	1
40	об этом не	1	1
41	но и здесь	1	1
42	еще в году	1	1
43	потому что в	1	1
44	имеем дело с	2	1
45	к жизни и	1	1
46	а с другой	1	1
47	к тому что	1	1
48	только то что	1	1
49	но на этот	1	1
50	но в данном	1	1
51	и не может	1	1
52	у него уже	1	1
53	и то же	2	1
54	было для него	1	1
55	после знакомства с	1	1
56	в этом отношении	3	1
57	уже не только	1	1
58	в связи с	2	1
59	содержит в себе	1	1
60	них не может	1	1
61	в самом деле	2	1
62	спал всю ночь	1	1
63	что иное как	1	1
64	мы имеем дело	2	1
65	мы уже знаем	1	1
66	не спал всю	1	1
67	так и не	2	1
68	что не только	1	1
69	на другой день	3	1
70	в свою очередь	2	1
71	то ни было	1	1
72	как раз в	2	1
73	одно и то	2	1
74	а за ними	1	1
