N	2gram	Voloshinov_1	NovoeSre
1	а не	7	17
2	и в	19	16
3	не может	24	16
4	совсем не	1	12
5	нового времени	2	12
6	и не	26	11
7	и есть	3	10
8	истории и	1	9
9	что в	4	9
10	в том	6	8
11	жизни и	2	8
12	он не	3	8
13	культуры и	2	7
14	в этом	16	7
15	к новому	1	7
16	может быть	26	7
17	не будет	4	7
18	как и	12	7
19	высшей степени	3	6
20	с его	1	6
21	не в	5	6
22	ни в	2	6
23	в высшей	3	6
24	никогда не	2	6
25	лишь в	9	6
26	не знает	2	6
27	должен быть	1	5
28	с ее	2	5
29	в ней	4	5
30	и к	3	5
31	не только	8	5
32	xix века	3	5
33	все это	3	5
34	в нем	10	5
35	новое время	1	4
36	со всех	2	4
37	о том	2	4
38	всех сторон	2	4
39	наше время	1	4
40	эпохи и	1	4
41	перестает быть	1	4
42	то что	8	4
43	это не	1	4
44	прежде всего	13	4
45	не было	3	4
46	должно быть	2	4
47	есть лишь	2	4
48	и потому	5	4
49	значит что	1	4
50	не менее	4	4
51	и для	11	4
52	не имеет	3	4
53	и все	5	4
54	потому что	1	4
55	с другой	5	3
56	в ее	7	3
57	должна быть	2	3
58	вопрос о	4	3
59	еще не	4	3
60	во всех	7	3
61	за пределы	5	3
62	в истории	3	3
63	как в	4	3
64	конечно не	5	3
65	не значит	1	3
66	подобно тому	1	3
67	но и	8	3
68	не есть	3	3
69	и пр	12	3
70	стремится к	1	3
71	не означает	1	3
72	с тем	1	3
73	в своей	3	3
74	к жизни	1	3
75	в новое	2	3
76	тому как	1	3
77	в россии	1	3
78	она не	2	3
79	эти формы	2	3
80	что такое	2	3
81	в наше	1	3
82	не существует	3	3
83	в основе	2	3
84	жизни в	4	3
85	в духе	1	3
86	к тому	2	3
87	сказать что	4	3
88	и это	3	2
89	нем нет	2	2
90	же как	2	2
91	связана с	2	2
92	это и	3	2
93	в нашу	3	2
94	не имеют	3	2
95	ведь и	1	2
96	можно было	2	2
97	так и	11	2
98	времени и	1	2
99	мы не	6	2
100	общества и	2	2
101	мира и	2	2
102	и с	2	2
103	для этого	1	2
104	жизни как	1	2
105	и должно	1	2
106	и что	1	2
107	и на	4	2
108	быть в	2	2
109	должно было	1	2
110	но не	1	2
111	которую она	1	2
112	жизни все	1	2
113	века и	1	2
114	с этим	4	2
115	всякое значение	1	2
116	ни к	2	2
117	хотя и	1	2
118	но в	7	2
119	все эти	7	2
120	с одной	1	2
121	с их	1	2
122	в себе	2	2
123	уже не	1	2
124	не могла	1	2
125	нашего времени	1	2
126	что все	2	2
127	нет и	4	2
128	и даже	2	2
129	и т.п	10	2
130	связаны с	2	2
131	этом смысле	2	2
132	бытия в	7	2
133	в природе	1	2
134	к более	1	2
135	зависит от	2	2
136	том что	3	2
137	так же	7	2
138	место в	3	2
139	мысли и	4	2
140	одной стороны	1	2
141	центр тяжести	1	2
142	такого рода	1	2
143	другой стороны	6	2
144	по существу	1	2
145	xviii века	1	2
146	и формы	3	2
147	как это	1	2
148	глубины и	1	2
149	но для	2	2
150	равно как	1	2
151	в смысле	6	2
152	в то	3	2
153	одна из	2	2
154	борьба и	2	2
155	мысли в	2	2
156	того чтобы	5	2
157	формы и	3	2
158	и от	3	2
159	в русском	1	2
160	хотя бы	5	2
161	познания и	1	2
162	а в	4	2
163	уже никакой	1	2
164	могут быть	2	2
165	можно назвать	1	2
166	от этой	1	1
167	оно может	4	1
168	лишь там	1	1
169	становится в	1	1
170	людей в	1	1
171	он может	3	1
172	переход от	4	1
173	характер и	1	1
174	он находится	1	1
175	что само	2	1
176	по преимуществу	5	1
177	приводит к	1	1
178	и до	1	1
179	можно лишь	1	1
180	природе своей	1	1
181	недрах этой	1	1
182	может идти	1	1
183	и этот	2	1
184	в образе	1	1
185	на нее	1	1
186	мы уже	2	1
187	ней нет	1	1
188	по природе	1	1
189	еще в	1	1
190	мир не	1	1
191	философии жизни	1	1
192	кризисов и	1	1
193	можно сказать	3	1
194	смысле и	1	1
195	говорить о	1	1
196	погружается в	1	1
197	нет уже	1	1
198	и другая	1	1
199	в виду	2	1
200	во внешних	1	1
201	зависимости от	2	1
202	жизни это	1	1
203	возникнуть лишь	1	1
204	в недрах	1	1
205	творческий процесс	1	1
206	на них	1	1
207	принадлежит уже	1	1
208	в чем	2	1
209	и во	2	1
210	все в	2	1
211	не могут	3	1
212	в которую	1	1
213	к нему	1	1
214	всей нашей	1	1
215	пути ее	1	1
216	и внешними	1	1
217	значение и	1	1
218	в его	6	1
219	в эти	2	1
220	менее всего	2	1
221	но нет	1	1
222	себе и	2	1
223	отличие от	5	1
224	лишь к	1	1
225	и только	2	1
226	в значительной	1	1
227	в своем	2	1
228	философии и	1	1
229	человека в	2	1
230	что он	2	1
231	всего как	1	1
232	только в	9	1
233	по своей	1	1
234	эпоху может	1	1
235	от этого	2	1
236	и труда	1	1
237	добро и	1	1
238	в самом	10	1
239	не хочет	1	1
240	своей основе	1	1
241	из этих	2	1
242	тоже не	1	1
243	в известном	1	1
244	же и	2	1
245	для всех	2	1
246	если есть	1	1
247	уже в	1	1
248	к единству	2	1
249	в большинстве	3	1
250	существования и	1	1
251	все ее	1	1
252	вообще не	1	1
253	большинстве случаев	3	1
254	все другие	1	1
255	из них	3	1
256	она становится	1	1
257	бы к	1	1
258	для того	4	1
259	и их	2	1
260	всяком случае	2	1
261	нуждается в	3	1
262	к одному	4	1
263	слова в	1	1
264	в политической	1	1
265	сами по	1	1
266	по всем	1	1
267	в конце	5	1
268	но ведь	1	1
269	друг друга	8	1
270	осознавать себя	1	1
271	совершающееся в	1	1
272	тем что	2	1
273	в нее	1	1
274	от того	4	1
275	но все	3	1
276	значительной степени	1	1
277	от нее	2	1
278	формы к	1	1
279	лишь для	3	1
280	это значит	1	1
281	на заре	1	1
282	значение в	1	1
283	не должна	1	1
284	выходит за	1	1
285	из всех	1	1
286	а по	1	1
287	перестать быть	1	1
288	пришли к	1	1
289	на ее	1	1
290	с другими	3	1
291	было бы	4	1
292	в каких	1	1
293	в социальной	2	1
294	лишь на	1	1
295	и быть	1	1
296	себя и	1	1
297	в отличие	5	1
298	что не	2	1
299	социальной жизни	3	1
300	может еще	1	1
301	для них	2	1
302	превращается в	1	1
303	нет в	1	1
304	в этой	1	1
305	для сознания	1	1
306	как ни	1	1
307	отказаться от	1	1
308	имеет никакой	1	1
309	что мы	1	1
310	и того	6	1
311	одного и	5	1
312	проходит через	1	1
313	менее чем	1	1
314	во время	1	1
315	уже давно	1	1
316	но если	2	1
317	нет для	1	1
318	и особенно	1	1
319	в котором	3	1
320	всего они	1	1
321	и процесс	1	1
322	предметного содержания	1	1
