N	3gram	Trubetskoy_1	Vladivir
1	о том что	2	7
2	в том что	7	7
3	дело в том	1	4
4	то же время	10	4
5	и то что	3	4
6	на то что	4	4
7	в то же	10	4
8	более или менее	4	3
9	что он не	2	3
10	в конце концов	3	3
11	не может быть	4	3
12	но даже и	1	2
13	также и то	1	2
14	свидетельствуют о том	1	2
15	и в частности	1	2
16	в том чтобы	1	2
17	об этом и	1	2
18	во всяком случае	6	2
19	тем более что	1	2
20	тем не менее	1	2
21	для того чтобы	6	2
22	к тому же	1	2
23	в том виде	1	1
24	а следовательно и	2	1
25	из всего этого	1	1
26	что в последние	1	1
27	в самом деле	1	1
28	в настоящее время	2	1
29	в том же	1	1
30	и не может	3	1
31	бы то ни	4	1
32	с ним в	1	1
33	только то что	1	1
34	никак не могла	1	1
35	что не только	1	1
36	именно так как	1	1
37	жизни и деятельности	2	1
38	в значительной мере	2	1
39	вместе с тем	3	1
40	можно сказать только	1	1
41	то что для	1	1
42	но в то	1	1
43	то ни было	1	1
44	смысле этого слова	1	1
45	в связи с	1	1
46	а во имя	1	1
47	и в этом	1	1
48	указывает на то	1	1
49	в россию только	1	1
50	мы уже знаем	1	1
51	что касается до	1	1
52	все что может	2	1
53	это конечно не	1	1
54	и в том	2	1
55	а в том	1	1
56	критическом отношении к	1	1
57	заключается в том	1	1
58	и вместе с	2	1
59	даже и в	1	1
60	в свою очередь	1	1
61	это и есть	1	1
62	всех не только	1	1
63	к которой он	4	1
64	в себе черты	1	1
65	и тем самым	2	1
66	но и для	1	1
67	за то что	1	1
68	во имя своих	1	1
69	к тому что	2	1
70	в его жизни	1	1
71	и только в	1	1
72	и что в	1	1
73	в этом отношении	1	1
