N	4gram	Vygotskiy__7	Psycholo
1	заключается в том что	4	4
2	одно и то же	3	3
3	одним и тем же	2	3
4	не что иное как	1	2
5	в самом деле если	1	2
6	состоит в том что	3	2
7	мы могли бы сказать	2	2
8	что с самого начала	1	2
9	до тех пор пока	1	2
10	что в этом случае	2	2
11	одной и той же	2	2
12	могли бы сказать что	2	2
13	в том и заключается	1	2
14	потому что в этом	1	1
15	до сих пор в	1	1
16	в конце концов к	1	1
17	возникает из того что	1	1
18	для того чтобы показать	1	1
19	из того что мы	1	1
20	и есть то о	1	1
21	для того чтобы сделать	2	1
22	в то время как	2	1
23	с этой точки зрения	4	1
24	в том что он	2	1
25	в силу того что	1	1
26	которых мы говорили выше	2	1
27	как только мы пытаемся	1	1
28	именно в силу того	1	1
29	о которых мы говорили	2	1
30	что с точки зрения	1	1
31	в том что в	1	1
32	с одной стороны и	3	1
33	как и то что	1	1
34	совершенно невозможно потому что	1	1
35	с самого начала в	1	1
36	мы примем во внимание	1	1
37	он говорит что есть	1	1
38	привело к тому что	1	1
39	но вместе с тем	1	1
40	том и заключается что	1	1
41	так же как и	1	1
42	приводит к тому что	2	1
43	есть то о чем	2	1
44	несмотря на то что	1	1
45	во внимание то что	1	1
46	в каждый данный момент	1	1
47	говорить не только о	1	1
48	том что он не	1	1
