N	2gram	Bakhtin_Pr_3	RusskieA
1	и в	53	36
2	не только	4	22
3	том что	5	19
4	что в	2	19
5	в том	14	17
6	но и	7	16
7	так как	7	15
8	во время	1	14
9	и другие	9	13
10	в этом	8	12
11	в других	1	11
12	в xix	1	10
13	и на	18	10
14	это не	6	10
15	как и	11	10
16	как мы	5	10
17	вместе с	2	10
18	потому что	5	10
19	об этом	1	9
20	а в	2	9
21	в другие	4	8
22	состоит в	1	8
23	и по	3	8
24	о том	2	8
25	один из	6	8
26	из них	4	8
27	может быть	12	8
28	как это	2	8
29	что они	1	7
30	так и	6	7
31	между тем	2	7
32	что и	3	7
33	и других	9	7
34	мы не	4	6
35	так например	2	6
36	таким образом	6	6
37	при этом	3	6
38	уже не	1	6
39	в них	2	6
40	и не	15	6
41	все это	8	6
42	то что	9	6
43	иногда и	3	5
44	как в	7	5
45	во многих	1	5
46	показывает что	1	5
47	того как	1	5
48	как будто	2	5
49	с ними	1	5
50	и у	7	5
51	как бы	14	5
52	мы имеем	1	4
53	еще не	5	4
54	во всех	12	4
55	в россии	1	4
56	с собой	1	4
57	из этих	1	4
58	в их	2	4
59	вплоть до	4	4
60	на кладбище	3	4
61	одна из	7	4
62	связи с	1	4
63	что на	1	4
64	и что	1	4
65	и их	2	4
66	тем что	2	4
67	и др	14	4
68	в некоторых	4	4
69	и а	1	4
70	в тех	1	4
71	по существу	5	4
72	но это	3	4
73	в связи	2	4
74	как уже	1	4
75	не может	2	4
76	только в	4	4
77	к этому	4	4
78	этот обряд	1	3
79	представление о	1	3
80	своего рода	3	3
81	которые не	2	3
82	в своем	1	3
83	не можем	1	3
84	что это	2	3
85	под землей	1	3
86	связанные с	3	3
87	на этом	1	3
88	то же	6	3
89	чаще всего	1	3
90	для них	1	3
91	далеко не	2	3
92	несмотря на	2	3
93	в этих	5	3
94	точки зрения	4	3
95	таким же	1	3
96	с точки	2	3
97	тем не	2	3
98	но они	4	3
99	их в	2	3
100	не менее	3	3
101	в разных	4	3
102	ничего не	6	3
103	и другой	3	3
104	можно сделать	1	3
105	начиная с	3	3
106	то есть	48	3
107	или на	2	3
108	а также	4	3
109	от них	1	3
110	связаны с	3	3
111	всякого рода	3	3
112	этого праздника	1	3
113	в качестве	1	3
114	только на	1	3
115	к ним	1	3
116	много и	3	3
117	и обряды	1	3
118	в области	3	3
119	и из	3	3
120	о чем	1	3
121	так называемой	1	3
122	этого слова	1	3
123	не будем	3	3
124	и к	5	3
125	в праздник	1	3
126	например в	5	2
127	но тем	1	2
128	между двумя	1	2
129	но она	1	2
130	что иное	1	2
131	они были	1	2
132	в ней	7	2
133	он был	1	2
134	иное как	1	2
135	друг к	1	2
136	на самом	1	2
137	но не	5	2
138	значение и	2	2
139	к слову	1	2
140	не просто	1	2
141	независимо от	1	2
142	что именно	2	2
143	с этим	2	2
144	мы можем	5	2
145	хотя и	4	2
146	но в	5	2
147	в целом	1	2
148	все эти	9	2
149	в дальнейшем	7	2
150	и до	5	2
151	были связаны	2	2
152	как он	2	2
153	что она	1	2
154	в нем	10	2
155	всех этих	1	2
156	в силу	1	2
157	в году	1	2
158	в каждом	4	2
159	главным образом	3	2
160	и с	6	2
161	к другу	1	2
162	на этой	1	2
163	в жизни	8	2
164	особенно широко	1	2
165	чтобы они	1	2
166	в один	2	2
167	месяца в	1	2
168	далее в	1	2
169	с праздником	1	2
170	и более	2	2
171	для этого	1	2
172	как можно	1	2
173	до будущего	1	2
174	у него	1	2
175	в могилах	1	2
176	так называемый	1	2
177	и здесь	1	2
178	могут быть	4	2
179	они и	2	2
180	как они	1	2
181	в более	4	2
182	мы наблюдаем	3	2
183	в образе	3	2
184	обрядов и	1	2
185	иногда в	1	2
186	с ним	2	2
187	на все	2	2
188	после того	1	2
189	в различных	1	2
190	в его	8	2
191	них в	2	2
192	в свете	1	2
193	к ней	1	2
194	так что	1	2
195	в большинстве	4	2
196	в последний	1	2
197	за счет	1	2
198	тут же	1	2
199	не было	4	2
200	в особенности	2	2
201	чем в	1	2
202	же а	1	2
203	себя и	2	2
204	с ней	3	2
205	по нескольку	1	2
206	а не	11	2
207	его как	1	2
208	на весь	1	2
209	сближает его	1	2
210	большинстве случаев	4	2
211	нет надобности	1	2
212	и потому	5	2
213	употребление в	1	2
214	там где	1	2
215	останавливаться на	1	2
216	в первые	1	2
217	быть и	2	2
218	к вопросу	1	2
219	мы видим	2	2
220	и для	4	2
221	или в	1	2
222	когда он	1	2
223	мы должны	4	2
224	не что	1	2
225	в своих	2	2
226	нас не	1	2
227	ту же	1	1
228	также и	4	1
229	мы здесь	3	1
230	зависимости от	2	1
231	характерное для	2	1
232	из самых	2	1
233	и ее	6	1
234	собственном смысле	2	1
235	видеть в	1	1
236	по его	1	1
237	мы уже	5	1
238	в несколько	1	1
239	или наоборот	2	1
240	что если	1	1
241	имеет свою	1	1
242	кладбища и	1	1
243	этом не	1	1
244	говорить о	2	1
245	ему в	1	1
246	не знают	2	1
247	того же	2	1
248	иногда делают	1	1
249	и он	1	1
250	в каждой	1	1
251	и был	1	1
252	него он	2	1
253	которую можно	3	1
254	в отличие	1	1
255	на них	1	1
256	всего этого	1	1
257	с его	2	1
258	на основе	2	1
259	а только	1	1
260	необходимо еще	3	1
261	же она	1	1
262	потом на	1	1
263	не все	1	1
264	по отношению	2	1
265	в общем	1	1
266	себе и	1	1
267	отличие от	1	1
268	значение имеет	1	1
269	что текст	1	1
270	относится к	1	1
271	в истории	3	1
272	же цели	1	1
273	они представлялись	1	1
274	его на	1	1
275	сочетается с	3	1
276	так называемая	2	1
277	некоторое время	1	1
278	это был	2	1
279	что касается	2	1
280	перед нами	5	1
281	целый ряд	1	1
282	и наконец	2	1
283	очень многие	1	1
284	в которой	2	1
285	этого служат	1	1
286	на некоторых	2	1
287	земля и	1	1
288	в себе	5	1
289	тому же	2	1
290	наблюдаем в	1	1
291	иногда же	1	1
292	земли на	2	1
293	что было	1	1
294	вера в	1	1
295	все другие	1	1
296	он не	3	1
297	не к	1	1
298	не как	1	1
299	собой не	1	1
300	в начале	2	1
301	с первым	1	1
302	а затем	4	1
303	здесь мы	2	1
304	что все	1	1
305	и характер	1	1
306	значение в	4	1
307	и иногда	1	1
308	его в	2	1
309	уже знаем	1	1
310	на почве	1	1
311	должен был	1	1
312	и тем	2	1
313	можно это	1	1
314	этом мы	1	1
315	в этой	1	1
316	не всегда	1	1
317	он и	1	1
318	мы видели	2	1
319	в развитии	3	1
320	ряде других	1	1
321	который почти	1	1
322	веков в	1	1
323	но если	1	1
324	и без	3	1
325	просто в	1	1
326	видел и	2	1
327	необходимо указать	1	1
328	место в	2	1
329	они уже	1	1
330	как праздник	1	1
331	что я	2	1
332	из своей	1	1
333	но эта	1	1
334	которые в	1	1
335	причем каждый	1	1
336	и под	3	1
337	и третья	1	1
338	от своих	1	1
339	при всех	2	1
340	иной раз	1	1
341	и время	1	1
342	не желал	1	1
343	в то	5	1
344	не о	2	1
345	что их	1	1
346	здесь на	2	1
347	народов в	1	1
348	в основе	5	1
349	когда они	1	1
350	в самых	1	1
351	каждый из	1	1
352	вероятно что	1	1
353	с земли	2	1
354	на землю	4	1
355	непосредственное влияние	2	1
356	видим что	1	1
357	прежде чем	2	1
358	и его	10	1
359	и теперь	1	1
360	этом отношении	1	1
361	характерен для	1	1
362	в духе	8	1
363	необходимо также	1	1
364	она имела	1	1
365	и всех	1	1
366	должны быть	1	1
367	обряд и	1	1
368	если же	1	1
369	обычно в	3	1
370	и это	3	1
371	и мог	2	1
372	на другой	1	1
373	можно показать	1	1
374	в собственном	2	1
375	всей своей	2	1
376	некоторых других	1	1
377	для нового	1	1
378	можно было	1	1
379	каждого из	2	1
380	и этого	1	1
381	уже на	2	1
382	и всюду	1	1
383	вошел в	1	1
384	связанных с	1	1
385	разного рода	1	1
386	жизнь и	1	1
