N	3gram	Vygotskiy__7	DiskursI
1	в отличие от	2	12
2	в данном случае	5	6
3	в том что	13	6
4	как и в	3	5
5	по отношению к	5	4
6	в этом отношении	3	4
7	в то же	1	4
8	с одной стороны	5	4
9	так и в	1	3
10	не может быть	4	3
11	о том что	4	3
12	той или иной	1	3
13	одной стороны и	3	2
14	в обоих случаях	1	2
15	состоит в том	3	2
16	подобно тому как	1	2
17	в соответствии с	1	2
18	в этом случае	14	2
19	с точки зрения	21	2
20	ни одно из	1	2
21	и не может	1	2
22	в первую очередь	1	2
23	заключает в себе	1	2
24	одно и то	3	2
25	и то что	3	2
26	содержит в себе	3	2
27	и то же	3	2
28	но при этом	1	2
29	по своей природе	4	1
30	том что в	2	1
31	такой же мере	3	1
32	для этого она	1	1
33	при переходе от	3	1
34	и столь же	2	1
35	мы имеем дело	1	1
36	потому что в	1	1
37	прежде всего на	1	1
38	прежде всего в	2	1
39	и вследствие этого	1	1
40	в самом деле	4	1
41	так и во	1	1
42	друг от друга	2	1
43	еще не имели	1	1
44	с другой стороны	1	1
45	значение не только	1	1
46	друг на друга	1	1
47	и в современной	1	1
48	того и другого	2	1
49	по аналогии с	1	1
50	в той мере	2	1
51	в этот период	2	1
52	одном и том	1	1
53	именно в этом	2	1
54	в целом и	1	1
55	с ней в	1	1
56	между ним и	1	1
57	в такой же	3	1
58	не совпадает с	3	1
59	рассуждать исходя из	1	1
60	и том же	1	1
61	на некоторое время	1	1
62	в одно и	1	1
63	по сути дела	1	1
64	во втором случае	3	1
65	не могут быть	1	1
66	во всяком случае	1	1
67	из той же	1	1
68	к выводу о	1	1
69	мере в какой	2	1
70	и той же	2	1
71	с самого начала	7	1
72	это отнюдь не	1	1
73	в конечном счете	2	1
74	в этом заключается	1	1
75	тем что он	1	1
76	друг друга и	1	1
77	включает в себя	1	1
78	всего в том	1	1
79	можно сказать что	3	1
80	на всем протяжении	4	1
81	в большинстве случаев	2	1
82	в том числе	1	1
83	одной и той	2	1
84	в силу своей	1	1
85	той мере в	2	1
86	тем не менее	3	1
87	но также и	1	1
88	об одном и	1	1
89	здесь как и	1	1
90	том числе и	1	1
