N	2gram	Nazirov_Tr_1	Literetu
1	а не	1	20
2	и в	18	19
3	может быть	7	17
4	своего рода	3	13
5	то же	5	12
6	и не	7	11
7	как и	5	10
8	в том	2	10
9	но и	4	10
10	тогда как	1	9
11	в этом	9	9
12	в то	5	9
13	в мире	3	9
14	же время	6	9
15	не может	5	9
16	не только	8	8
17	в стихах	1	8
18	и даже	4	8
19	том что	4	7
20	так и	5	7
21	и т.д	1	7
22	с одной	1	7
23	я в	1	7
24	то что	4	7
25	и на	7	6
26	в себе	4	6
27	при этом	3	6
28	не менее	1	6
29	в году	9	5
30	я не	4	5
31	столь же	2	5
32	но не	1	5
33	он не	2	5
34	одна из	2	5
35	то есть	3	5
36	того что	1	5
37	вместе с	1	5
38	я и	1	4
39	в сфере	1	4
40	так что	2	4
41	отнюдь не	3	4
42	для него	3	4
43	не в	2	4
44	в области	1	4
45	в ней	1	4
46	еще в	2	4
47	в его	3	4
48	один из	3	4
49	не случайно	2	4
50	тем что	2	4
51	прежде всего	4	4
52	в частности	2	4
53	жизни в	1	4
54	со мной	2	4
55	что в	4	4
56	одним из	1	3
57	и то	2	3
58	и он	3	3
59	во всех	1	3
60	в противовес	1	3
61	право на	1	3
62	в этой	4	3
63	то и	2	3
64	в нем	4	3
65	в глазах	2	3
66	я все	2	3
67	перестает быть	1	3
68	права на	2	3
69	тем самым	3	3
70	вплоть до	1	3
71	не столько	1	3
72	никогда не	2	3
73	ничего не	2	3
74	х годов	1	3
75	и его	6	3
76	данном случае	2	3
77	и с	7	3
78	быть может	1	3
79	в другом	1	3
80	и др	1	3
81	в разговоре	1	3
82	в данном	2	3
83	но это	4	3
84	и как	3	3
85	что он	6	3
86	о себе	1	3
87	ту же	1	2
88	и т	1	2
89	и до	2	2
90	и за	2	2
91	той же	1	2
92	с творческой	1	2
93	из своих	2	2
94	на себя	1	2
95	с ее	3	2
96	эти строки	1	2
97	но как	1	2
98	я я	1	2
99	в истории	1	2
100	все же	5	2
101	и наконец	1	2
102	но в	6	2
103	то в	1	2
104	со своей	1	2
105	в целом	4	2
106	жизнь как	1	2
107	представляет собой	1	2
108	как он	1	2
109	и сам	3	2
110	на этом	1	2
111	а затем	1	2
112	при которой	1	2
113	характерный для	1	2
114	но уже	1	2
115	в них	1	2
116	нет в	2	2
117	с этой	1	2
118	с тем	2	2
119	а за	1	2
120	он и	2	2
121	и еще	1	2
122	как бы	7	2
123	в такой	1	2
124	не к	1	2
125	что я	4	2
126	одном из	2	2
127	тем не	1	2
128	не раз	1	2
129	но только	1	2
130	жизни на	1	2
131	не вполне	1	2
132	перед ним	1	2
133	в образах	1	2
134	могут быть	1	2
135	восходит к	1	2
136	с образом	1	2
137	в виду	1	2
138	в ее	2	2
139	это как	1	2
140	за то	1	2
141	еще не	4	2
142	ко всему	1	2
143	о том	2	2
144	и что	4	2
145	для нас	1	2
146	а также	1	2
147	в русском	2	2
148	могло бы	1	2
149	друг друга	2	2
150	потому что	2	2
151	уже не	2	2
152	уже в	3	2
153	с другим	1	2
154	свидетельствует о	1	2
155	одно из	1	2
156	не так	2	2
157	в одном	2	2
158	т п	1	2
159	в конце	3	2
160	что и	2	2
161	у него	6	2
162	я вижу	1	2
163	что не	1	2
164	не было	1	2
165	до конца	2	2
166	в россии	1	2
167	как это	3	2
168	над ним	1	2
169	к жизни	5	2
170	это его	1	2
171	на свете	1	2
172	быть не	1	2
173	этом случае	1	2
174	не является	1	2
175	в результате	1	2
176	а к	1	2
177	хотя бы	1	2
178	с ним	3	2
179	из тех	1	2
180	что ты	1	2
181	к этой	1	2
182	разговоре с	1	2
183	эта новая	1	1
184	исходит от	1	1
185	с жизнью	1	1
186	что образ	3	1
187	это и	1	1
188	перед читателем	1	1
189	от самого	1	1
190	в первом	2	1
191	если б	2	1
192	исходит из	1	1
193	должна быть	1	1
194	из трех	1	1
195	не меньшей	1	1
196	феномен который	1	1
197	как мы	1	1
198	к женщине	1	1
199	что уже	1	1
200	в становлении	1	1
201	исследования в	1	1
202	ему в	1	1
203	начала в	1	1
204	он был	2	1
205	он сам	7	1
206	себя а	1	1
207	и личность	2	1
208	в чем	1	1
209	самом деле	1	1
210	с сыном	1	1
211	свою жизнь	1	1
212	а он	1	1
213	автора но	2	1
214	отличие от	2	1
215	за пределы	1	1
216	и я	2	1
217	это самое	1	1
218	писателя в	1	1
219	более чем	1	1
220	как в	3	1
221	о жизни	2	1
222	она как	2	1
223	в душу	1	1
224	есть в	1	1
225	о нет	1	1
226	я к	2	1
227	к числу	1	1
228	и хотя	1	1
229	поэтому он	1	1
230	в самом	2	1
231	героя и	1	1
232	что это	5	1
233	все эти	3	1
234	но он	1	1
235	жизни ее	1	1
236	знакомые черты	1	1
237	в переводе	1	1
238	конце концов	1	1
239	над которым	1	1
240	и вот	1	1
241	на земле	1	1
242	и по	1	1
243	обстоит дело	1	1
244	таким образом	1	1
245	здесь мы	1	1
246	им как	1	1
247	и глубоким	1	1
248	единственное что	1	1
249	только не	1	1
250	в ход	1	1
251	а по	1	1
252	это не	5	1
253	он есть	1	1
254	полноте и	1	1
255	ты мне	1	1
256	такое соединение	1	1
257	всю жизнь	1	1
258	с дороги	1	1
259	ведет к	1	1
260	сам говорит	2	1
261	в своей	1	1
262	где мы	1	1
263	роман о	2	1
264	людям в	1	1
265	длинные и	2	1
266	знает и	1	1
267	государства но	1	1
268	в отличие	2	1
269	этого чувства	1	1
270	сам же	1	1
271	но эта	2	1
272	и усиливает	1	1
273	что этот	2	1
274	того кто	1	1
275	тому что	1	1
276	на противоположной	1	1
277	века а	1	1
278	но они	2	1
279	на работу	1	1
280	что ему	1	1
281	не имеет	2	1
282	того как	1	1
283	и притом	1	1
284	я буду	2	1
285	шагать по	1	1
286	ненависти в	1	1
287	и всегда	1	1
288	в отношениях	1	1
289	общим местом	1	1
290	по своей	1	1
291	во всем	1	1
292	и теперь	1	1
293	связи с	1	1
294	не нужен	1	1
295	этот образ	4	1
296	что на	1	1
297	это могло	1	1
298	не могут	2	1
299	насилия и	1	1
300	к тому	2	1
301	случае как	1	1
302	время он	1	1
303	и о	1	1
304	того чтобы	1	1
305	стихах и	1	1
306	создает и	1	1
307	мысль о	1	1
308	в особенности	1	1
309	н толстой	1	1
310	на страницах	3	1
311	в образе	6	1
312	можно было	1	1
313	на нее	1	1
314	творческий процесс	1	1
315	не за	2	1
316	отождествляется с	1	1
317	в последующих	1	1
318	мог бы	3	1
319	жизнь и	3	1
320	меня как	1	1
321	в таком	2	1
322	это мне	1	1
323	вот почему	1	1
324	но мы	1	1
325	после того	1	1
326	времени в	2	1
327	мы вновь	1	1
328	бы в	1	1
329	что вот	1	1
330	в жизнь	1	1
331	в литературе	1	1
332	его собственная	1	1
333	в новой	1	1
334	он стал	1	1
335	дело с	1	1
336	в обществе	1	1
337	что ж	1	1
338	что роман	1	1
339	мировой революции	1	1
340	человека с	1	1
341	верует в	1	1
342	вызова и	1	1
343	только на	1	1
344	что писал	1	1
345	я люблю	4	1
346	него нет	1	1
347	сердце мое	1	1
348	личности и	2	1
349	в целый	1	1
350	слова в	1	1
351	чтобы она	1	1
352	его речь	1	1
353	не для	1	1
354	русский язык	1	1
355	и мой	1	1
356	на деле	1	1
357	рядом с	1	1
358	один в	3	1
359	в финале	1	1
360	никого не	1	1
361	и стал	1	1
362	как у	2	1
363	не просто	2	1
364	нашему мнению	1	1
365	именно в	1	1
366	писателя и	2	1
367	другие и	1	1
368	как же	2	1
369	и прямо	1	1
370	в романе	10	1
371	говорит о	2	1
372	только по	1	1
373	именно так	1	1
374	все время	1	1
375	которой он	1	1
376	по нашему	1	1
377	о счастье	1	1
378	эти слова	1	1
379	с первого	2	1
380	так же	4	1
381	и потому	1	1
382	я тебе	2	1
383	для искусства	2	1
384	ненависть к	2	1
385	наряду с	1	1
386	вот я	1	1
387	в развитии	1	1
388	он тот	1	1
389	в своем	3	1
390	в это	2	1
391	труда в	1	1
392	черты лица	1	1
393	его в	2	1
394	и от	1	1
395	одна великолепная	1	1
396	в основном	3	1
397	в недрах	1	1
398	не мог	2	1
399	годов в	1	1
400	при таком	1	1
401	как система	1	1
402	всего что	1	1
403	от него	1	1
404	и все	4	1
405	он же	1	1
406	от всего	2	1
407	в ходе	2	1
408	над собою	1	1
409	к ее	1	1
410	опять к	1	1
411	есть и	1	1
412	который в	2	1
413	на груди	1	1
414	а я	5	1
415	и эта	1	1
416	русской литературы	2	1
