N	3gram	Vinokur_Ku_2	Vladivir
1	в том что	10	9
2	в связи с	3	8
3	во всяком случае	5	6
4	в то время	1	6
5	тем не менее	5	6
6	и то что	1	5
7	по крайней мере	6	4
8	как мы знаем	1	4
9	дело в том	1	3
10	с точки зрения	8	3
11	в отличие от	2	3
12	в то же	3	3
13	точно так же	3	3
14	не в том	1	3
15	в конце концов	3	3
16	так или иначе	2	3
17	то же время	3	3
18	о том что	1	3
19	хотя и не	1	2
20	с а а	1	2
21	не говоря уже	2	2
22	на то что	2	2
23	в настоящее время	1	2
24	и до конца	1	2
25	можно было бы	9	2
26	говоря уже о	2	2
27	сам по себе	1	2
28	в данном случае	1	2
29	в том чтобы	1	2
30	не только в	4	2
31	в последнее время	1	2
32	в свою очередь	2	2
33	он уже не	1	2
34	не имеет никакого	1	2
35	не то что	1	2
36	само по себе	5	2
37	заключается в том	1	2
38	несмотря на все	1	2
39	после того как	1	2
40	до некоторой степени	2	2
41	как мы видели	1	2
42	по существу же	1	1
43	но что это	1	1
44	что иное как	1	1
45	тех пор пока	1	1
46	а не с	1	1
47	чуть ли не	1	1
48	ни за что	1	1
49	и в частности	1	1
50	но даже и	2	1
51	также и в	1	1
52	в этом случае	2	1
53	можно утверждать что	1	1
54	до сих пор	1	1
55	в статье посвященной	1	1
56	бы то ни	1	1
57	эти слова не	1	1
58	сказать что для	1	1
59	не было бы	1	1
60	только то что	1	1
61	в этом отношении	3	1
62	или иначе но	1	1
63	от того чтобы	1	1
64	на этот вопрос	2	1
65	не мог в	1	1
66	что все это	1	1
67	и не в	1	1
68	и в области	1	1
69	можно говорить и	1	1
70	вместе с тем	2	1
71	и тем не	4	1
72	не то в	1	1
73	и с этой	1	1
74	за что не	1	1
75	может быть и	1	1
76	что можно сказать	2	1
77	но в том	2	1
78	в этом роде	2	1
79	и в серьезных	1	1
80	в первый раз	1	1
81	и все его	1	1
82	к этой книге	3	1
83	в году в	1	1
84	а также и	1	1
85	ни на минуту	1	1
86	то время как	1	1
87	до конца он	1	1
88	за собой и	1	1
89	что я не	3	1
90	хотя бы на	1	1
91	в первую очередь	1	1
92	и в том	2	1
93	не может быть	4	1
94	в свое время	2	1
95	что же это	1	1
96	нет никаких оснований	1	1
97	по себе не	2	1
98	то что я	1	1
99	ничего общего с	1	1
100	нужно было бы	1	1
101	до тех пор	1	1
102	но только в	1	1
103	связи с этим	1	1
104	не забудем что	1	1
105	с самого начала	1	1
106	и прежде всего	1	1
107	в самом деле	7	1
108	но все же	2	1
109	можно сказать что	2	1
110	только тогда когда	1	1
111	также и то	1	1
112	в этом смысле	5	1
113	но это не	1	1
114	а по существу	1	1
115	не что иное	1	1
116	для того чтобы	8	1
117	к тому же	1	1
118	уже с самого	1	1
119	и т д	14	1
