N	3gram	Kanaev_Sov_1	Problemy
1	с точки зрения	5	8
2	до сих пор	1	7
3	по отношению к	1	5
4	то же время	1	5
5	в то же	1	5
6	и не может	1	4
7	в отличие от	2	4
8	не может быть	4	4
9	друг с другом	2	4
10	в самом деле	1	4
11	можно было бы	1	3
12	той или иной	1	3
13	в настоящее время	2	2
14	в этом смысле	1	2
15	друг на друга	1	2
16	и та же	1	2
17	на этот вопрос	1	2
18	может быть и	2	2
19	одна и та	1	2
20	тем не менее	2	2
21	но все же	1	2
22	точки зрения своего	1	2
23	каждая из этих	1	1
24	точки зрения и	1	1
25	вне времени и	2	1
26	в любом месте	1	1
27	дело в том	1	1
28	между собой поэтому	1	1
29	и до сих	1	1
30	для наших целей	1	1
31	то же самое	2	1
32	одной стороны и	1	1
33	по крайней мере	1	1
34	со всеми ее	1	1
35	и во всех	1	1
36	сами по себе	1	1
37	и к одному	1	1
38	бы то ни	1	1
39	а может быть	1	1
40	в одном направлении	1	1
41	со всеми его	1	1
42	дело идет о	1	1
43	то ни было	1	1
44	мы не знаем	1	1
45	с одной стороны	1	1
46	на этот раз	1	1
47	ничего общего не	1	1
48	в связи с	1	1
49	как мы это	1	1
50	но для чего	1	1
51	во всяком случае	2	1
52	для чего же	1	1
53	пока наконец не	2	1
54	но тем не	1	1
55	не может не	3	1
56	на самом деле	1	1
57	не опирается на	1	1
58	не имеет с	1	1
59	как мы видим	1	1
60	времени и пространства	2	1
61	в том что	1	1
62	общего не имеет	1	1
