N	2gram	Losev_Vlad_2	Analitik
1	в качестве	1	31
2	может быть	7	29
3	в том	18	27
4	не может	9	22
5	и не	18	21
6	в частности	2	19
7	и в	30	18
8	но и	8	17
9	а не	7	17
10	не только	12	15
11	не в	9	14
12	в этом	20	13
13	как и	5	13
14	в его	11	13
15	при этом	5	12
16	том что	12	12
17	в себе	6	11
18	то есть	7	11
19	но не	3	10
20	то же	4	9
21	в то	9	9
22	а в	11	9
23	есть не	1	8
24	но в	8	8
25	в той	2	8
26	не есть	4	8
27	том чтобы	2	7
28	произведения как	1	7
29	к тому	2	7
30	я и	2	6
31	мы имеем	1	6
32	в сущности	2	6
33	отличие от	3	6
34	в самом	2	6
35	это не	2	6
36	далеко не	1	6
37	точки зрения	7	6
38	в своей	5	6
39	в отличие	3	6
40	в себя	1	6
41	времени и	1	6
42	же время	3	6
43	только в	6	6
44	себя в	2	6
45	то что	20	6
46	прежде всего	6	6
47	в их	2	5
48	что иное	1	5
49	и на	4	5
50	иное как	1	5
51	и как	3	5
52	в произведении	1	5
53	в целом	4	5
54	в этой	4	5
55	лишь в	1	5
56	и его	6	5
57	о том	4	5
58	сводится к	1	5
59	и того	1	5
60	такого рода	2	5
61	как бы	5	5
62	что в	12	5
63	того же	5	4
64	не что	1	4
65	более чем	1	4
66	все же	9	4
67	тому же	1	4
68	с точки	3	4
69	по себе	5	4
70	в области	3	4
71	ни в	7	4
72	так и	5	4
73	не с	1	4
74	с ним	5	4
75	на вопрос	1	4
76	того что	5	4
77	дело с	1	4
78	уже не	3	4
79	для того	2	4
80	именно в	4	4
81	вместе с	8	4
82	в литературе	1	4
83	собственно говоря	2	4
84	как известно	1	3
85	и т	1	3
86	одним из	1	3
87	мере в	1	3
88	и есть	2	3
89	между двумя	1	3
90	место в	1	3
91	в полной	1	3
92	бы то	1	3
93	если в	1	3
94	и к	6	3
95	в нашем	1	3
96	как он	2	3
97	в нем	4	3
98	он не	4	3
99	таким образом	3	3
100	то ни	1	3
101	не будет	1	3
102	даже в	2	3
103	в котором	5	3
104	разного рода	4	3
105	своего рода	1	3
106	однако в	2	3
107	дело не	1	3
108	того чтобы	2	3
109	т п	1	3
110	того и	2	3
111	о нем	2	3
112	в таком	3	3
113	как будто	2	3
114	не могут	1	3
115	оно может	1	3
116	в собственном	1	3
117	если бы	1	3
118	а также	10	3
119	к нему	2	3
120	с его	4	3
121	еще не	1	3
122	обратиться к	1	3
123	ни с	2	3
124	никто не	1	3
125	что и	3	3
126	а именно	6	3
127	что не	2	3
128	смысла и	1	3
129	по мысли	1	3
130	что мы	1	3
131	и все	7	3
132	хотя бы	3	3
133	будто бы	2	3
134	я в	3	3
135	что он	13	3
136	том числе	1	3
137	говоря о	3	2
138	отношения к	3	2
139	самом деле	1	2
140	едва ли	3	2
141	также и	6	2
142	той же	4	2
143	а как	1	2
144	и то	5	2
145	и самого	1	2
146	данном случае	2	2
147	то он	1	2
148	не все	1	2
149	отношение к	4	2
150	не просто	1	2
151	нет и	1	2
152	как говорит	1	2
153	что именно	1	2
154	человеческого бытия	1	2
155	до его	1	2
156	как к	2	2
157	как уже	1	2
158	с двумя	1	2
159	его к	1	2
160	в противоположность	1	2
161	то в	5	2
162	в которой	4	2
163	все эти	5	2
164	из этих	3	2
165	думать что	1	2
166	а напротив	1	2
167	и до	2	2
168	на его	4	2
169	одному из	1	2
170	не к	1	2
171	общения людей	1	2
172	и по	2	2
173	на этом	2	2
174	и с	14	2
175	на все	2	2
176	из них	1	2
177	однако здесь	2	2
178	вовсе не	4	2
179	так как	5	2
180	несмотря на	4	2
181	с бытием	2	2
182	такой же	1	2
183	для него	9	2
184	отрыве от	1	2
185	от своего	1	2
186	при изучении	1	2
187	не столько	3	2
188	которые в	1	2
189	для этого	1	2
190	свое время	1	2
191	тогда когда	2	2
192	только не	1	2
193	никогда не	7	2
194	и является	1	2
195	потому что	9	2
196	в сознании	1	2
197	каким оно	1	2
198	для себя	5	2
199	как мы	11	2
200	и о	4	2
201	быть может	1	2
202	здесь не	4	2
203	не могу	2	2
204	и сам	2	2
205	особенно в	1	2
206	еще в	2	2
207	не говоря	3	2
208	должно быть	3	2
209	и та	1	2
210	можно сказать	4	2
211	как внутреннее	1	2
212	ним и	1	2
213	в отрыве	1	2
214	в двух	2	2
215	ли он	2	2
216	в т	1	2
217	оказывается в	1	2
218	с позиций	1	2
219	в начале	4	2
220	при помощи	1	2
221	его и	2	2
222	следует что	1	2
223	себе в	2	2
224	в новом	2	2
225	не о	2	2
226	бытия и	2	2
227	каждый из	1	2
228	этом отношении	1	2
229	со стороны	4	2
230	было бы	9	2
231	следовало ожидать	1	2
232	что из	1	2
233	и п	1	2
234	и потому	2	2
235	в данном	3	2
236	она есть	1	2
237	что же	8	2
238	не исключают	1	2
239	тем более	3	2
240	нет ничего	3	2
241	была бы	1	2
242	в свое	1	2
243	в какой	1	2
244	например в	1	1
245	н и	1	1
246	сам по	2	1
247	что произведение	1	1
248	смысле слова	1	1
249	вещей но	1	1
250	ничего нельзя	1	1
251	тех же	1	1
252	есть сама	1	1
253	отношения между	1	1
254	по преимуществу	1	1
255	он всегда	1	1
256	собственном смысле	1	1
257	и больше	3	1
258	в году	24	1
259	и цельного	1	1
260	по его	1	1
261	часть книги	1	1
262	мы уже	2	1
263	жизни по	2	1
264	мы не	2	1
265	выше его	1	1
266	но никто	1	1
267	он как	1	1
268	за несколько	1	1
269	есть нечто	2	1
270	равно как	1	1
271	не вполне	2	1
272	оно есть	1	1
273	как я	2	1
274	которое не	1	1
275	что можно	3	1
276	здесь как	1	1
277	нельзя как	1	1
278	в ней	4	1
279	свою очередь	2	1
280	над ним	1	1
281	литературы и	1	1
282	по этому	1	1
283	он был	6	1
284	он сам	2	1
285	ответа на	1	1
286	быть в	3	1
287	нам представляется	2	1
288	в чем	2	1
289	или до	1	1
290	если исходить	1	1
291	во всех	3	1
292	я никогда	1	1
293	и всего	2	1
294	мы будем	3	1
295	но как	1	1
296	а только	1	1
297	к которой	1	1
298	только тогда	2	1
299	или по	2	1
300	связи и	1	1
301	в поисках	1	1
302	течение всего	1	1
303	вследствие чего	1	1
304	написано на	1	1
305	независимо от	1	1
306	его на	3	1
307	как в	3	1
308	о жизни	1	1
309	как нам	1	1
310	что касается	3	1
311	целом но	1	1
312	я должен	2	1
313	и наконец	4	1
314	по пути	1	1
315	поэтому наше	1	1
316	к числу	2	1
317	более или	3	1
318	о самом	1	1
319	со своей	2	1
320	та же	1	1
321	что самая	1	1
322	с какой	1	1
323	что это	4	1
324	бы с	2	1
325	меня к	1	1
326	он в	1	1
327	это впрочем	1	1
328	поскольку в	3	1
329	учение о	3	1
330	но его	2	1
331	если он	1	1
332	времена и	1	1
333	вера в	2	1
334	духовного общения	1	1
335	однако при	1	1
336	еще а	1	1
337	же году	2	1
338	всех этих	3	1
339	становится его	1	1
340	в виде	3	1
341	возвращение к	1	1
342	его от	1	1
343	всех своих	1	1
344	его можно	1	1
345	но все	2	1
346	от нее	1	1
347	здесь мы	3	1
348	что все	1	1
349	ей в	1	1
350	и может	2	1
351	себя к	1	1
352	бытием но	1	1
353	его в	4	1
354	заключается в	2	1
355	с самим	1	1
356	с вопросом	1	1
357	и тем	1	1
358	для них	1	1
359	в них	3	1
360	вопреки мнению	1	1
361	все равно	1	1
362	единого и	1	1
363	с тем	2	1
364	чувствую себя	1	1
365	он и	3	1
366	между собою	1	1
367	к а	2	1
368	или менее	3	1
369	в этих	4	1
370	все более	1	1
371	во время	1	1
372	ему во	1	1
373	и при	2	1
374	поэтического творчества	1	1
375	и ее	1	1
376	том же	3	1
377	оставаться в	2	1
378	в отношении	3	1
379	к истории	1	1
380	взгляд на	1	1
381	в такой	1	1
382	ни малейшего	1	1
383	то его	2	1
384	в которых	1	1
385	бы мы	1	1
386	жизни с	2	1
387	мысли от	1	1
388	есть его	2	1
389	него не	1	1
390	времени не	1	1
391	но он	3	1
392	общего языка	1	1
393	по крайней	4	1
394	далека от	1	1
395	речи в	1	1
396	борьбу с	1	1
397	их в	2	1
398	ним в	2	1
399	случае мы	1	1
400	она по	1	1
401	раз и	2	1
402	не менее	7	1
403	к этим	2	1
404	на него	1	1
405	было не	1	1
406	возвращении в	1	1
407	все мы	1	1
408	в самых	2	1
409	может только	1	1
410	на котором	2	1
411	ничего не	2	1
