N	4gram	Tiupa_Disk_1	Literetu
1	в то же время	3	7
2	в начале х годов	1	3
3	не говоря уже о	2	3
4	с одной стороны и	2	2
5	в том числе и	2	2
6	взаимодействия трех говорящего автора	1	1
7	герой в эстетической деятельности	1	1
8	едва ли не наиболее	1	1
9	справедливо не только по	1	1
10	о чем говорят героя	1	1
11	того о ком или	1	1
12	же самое можно сказать	1	1
13	другим участникам речевого общения	1	1
14	субъекта объекта и адресата	1	1
15	состоит в том что	1	1
16	только по отношению к	1	1
17	самое можно сказать и	1	1
18	и герой в эстетической	1	1
19	состоит в том чтобы	1	1
20	ком или о чем	1	1
21	автор и герой в	1	1
22	то же самое можно	1	1
23	может быть определена как	2	1
24	социального взаимодействия трех говорящего	1	1
25	можно сказать и о	1	1
26	о ком или о	1	1
27	или о чем говорят	1	1
28	к другим участникам речевого	1	1
29	не только по отношению	1	1
30	и того о ком	1	1
31	но по сути своей	1	1
32	читателя и того о	1	1
33	продукт социального взаимодействия трех	1	1
