N	3gram	Tiupa_Vved_1	Marksizm
1	не может быть	3	13
2	в связи с	1	7
3	в настоящее время	1	6
4	и того же	1	5
5	одного и того	1	5
6	в отличие от	2	5
7	с другой стороны	1	5
8	всех без исключения	1	4
9	в этом случае	1	3
10	то же самое	1	3
11	в этом отношении	4	3
12	отнюдь не является	1	3
13	в науке о	1	3
14	в высшей степени	2	3
15	и тот же	1	3
16	все без исключения	1	3
17	один и тот	1	3
18	то же время	3	3
19	в первом случае	1	3
20	и т.п в	1	3
21	можно сказать что	1	3
22	в то же	4	3
23	в том что	3	3
24	но при этом	2	2
25	в том числе	1	2
26	с установкой на	2	2
27	в таком случае	1	2
28	том числе и	1	2
29	можно было бы	2	2
30	как если бы	1	2
31	во всяком случае	1	2
32	по отношению к	7	2
33	в свою очередь	4	2
34	и прежде всего	1	2
35	в этом смысле	1	2
36	тем не менее	3	2
37	в пределах одного	1	2
38	результате чего в	1	1
39	большей или меньшей	1	1
40	подобно тому как	2	1
41	во внутренний мир	1	1
42	и иных форм	1	1
43	именно то что	1	1
44	между историей и	1	1
45	до известной степени	1	1
46	сами по себе	1	1
47	совершается переход от	1	1
48	но и в	2	1
49	и т.п но	1	1
50	не было бы	1	1
51	в котором мы	1	1
52	по аналогии с	1	1
53	в основе своей	1	1
54	может быть только	1	1
55	в значительной степени	1	1
56	говорящий и слушающий	1	1
57	а не только	1	1
58	в нашем случае	2	1
59	с одной стороны	5	1
60	не существует ни	1	1
61	не зависит от	1	1
62	в результате чего	1	1
63	во втором случае	1	1
64	по природе своей	1	1
65	все же не	1	1
66	в этом направлении	1	1
67	а в том	1	1
68	как мы увидим	1	1
69	не утрачивая своей	1	1
70	и та же	1	1
71	одна и та	1	1
72	а не в	1	1
73	вместо того чтобы	1	1
74	и принять его	1	1
75	более или менее	2	1
76	одного из этих	1	1
77	в новейшее время	1	1
78	само по себе	1	1
79	и в самом	1	1
80	во времени и	1	1
81	не только в	2	1
82	могла бы и	3	1
83	только благодаря этому	1	1
84	друг от друга	1	1
85	в данном контексте	1	1
86	во всех без	1	1
87	на самом деле	3	1
88	как мы видели	2	1
89	той или иной	2	1
