N	3gram	Losev_Vesc_1	Hudozhes
1	о том что	4	9
2	в то же	1	8
3	в том что	4	6
4	в самом деле	4	4
5	можно было бы	1	4
6	к тому что	2	4
7	с точки зрения	3	3
8	в этом отношении	1	3
9	и в самом	1	3
10	тем не менее	3	3
11	и т д	19	3
12	только потому что	1	2
13	по своей природе	1	2
14	о том как	1	2
15	до сих пор	1	2
16	то и другое	4	2
17	ту или иную	2	2
18	как раз в	1	2
19	не только в	4	2
20	в действительности же	1	2
21	так или иначе	4	2
22	не в том	1	2
23	что у него	1	2
24	не может быть	6	2
25	самом деле в	1	2
26	на то что	2	2
27	на то чтобы	1	2
28	к другому человеку	1	2
29	отождествление с ним	1	1
30	не может не	1	1
31	то что я	2	1
32	то же самое	1	1
33	одной стороны и	1	1
34	может быть только	3	1
35	предстают перед нами	1	1
36	и то и	1	1
37	сами по себе	3	1
38	вбирая в себя	1	1
39	более или менее	1	1
40	и вот я	1	1
41	на самом же	1	1
42	в себе и	1	1
43	об этом в	1	1
44	ни с какой	1	1
45	как она есть	3	1
46	с этой точки	1	1
47	но еще и	3	1
48	содержит в себе	4	1
49	в ней есть	1	1
50	не потому что	4	1
51	в первом случае	2	1
52	еще ничего не	1	1
53	в конце концов	2	1
54	только один из	1	1
55	но тут же	1	1
56	и потому что	1	1
57	том что я	1	1
58	они предстают перед	1	1
59	с такими ее	1	1
60	еще и потому	1	1
61	во всяком случае	2	1
62	самом же деле	1	1
63	в свое время	2	1
64	не только потому	1	1
65	ничего не было	1	1
66	а в том	1	1
67	в данном случае	2	1
68	и так что	1	1
69	как будто бы	1	1
70	по себе а	1	1
71	то что мы	2	1
72	в свою очередь	4	1
73	в сущности в	1	1
74	этой точки зрения	1	1
75	с тем что	1	1
76	но и для	1	1
77	не только не	2	1
78	ни у кого	1	1
79	мы не знаем	1	1
80	все же не	1	1
81	в том смысле	1	1
82	не я сам	1	1
83	с одной стороны	3	1
84	друг с другом	1	1
85	она не может	2	1
86	так и ее	1	1
