N	2gram	Berdyaev_V_1	Analitik
1	тогда как	1	19
2	в этом	4	18
3	не только	2	16
4	и в	16	16
5	так и	4	15
6	как и	4	14
7	но и	5	12
8	и не	20	12
9	том что	2	12
10	в том	3	12
11	могут быть	2	10
12	а не	7	10
13	как бы	5	10
14	в этой	1	9
15	лишь в	3	9
16	ничего не	1	9
17	то есть	1	9
18	в целом	1	8
19	не случайно	1	8
20	к тому	3	7
21	то что	9	7
22	в самом	1	6
23	и на	1	6
24	но в	3	6
25	в мире	5	6
26	говорить о	4	6
27	может быть	1	6
28	с другой	1	6
29	как это	1	6
30	на себя	5	5
31	говорит о	1	5
32	но не	2	4
33	было написано	1	4
34	как в	1	4
35	в своем	1	4
36	хотя и	5	4
37	в себя	2	4
38	нашего времени	1	4
39	на этом	1	4
40	то же	1	4
41	не с	2	4
42	и тем	1	4
43	для него	2	4
44	не в	3	4
45	в конце	3	4
46	во всех	3	4
47	только в	2	4
48	уже не	2	4
49	в сознании	1	4
50	не так	2	4
51	у него	1	4
52	и смерти	1	4
53	все это	5	4
54	и то	2	3
55	в их	1	3
56	не был	1	3
57	и если	1	3
58	и сам	2	3
59	по крайней	1	3
60	никогда не	3	3
61	тем что	2	3
62	что на	1	3
63	как мы	1	3
64	можно было	2	3
65	в результате	1	3
66	в словах	1	3
67	что и	3	3
68	крайней мере	1	3
69	и все	4	3
70	с ними	1	3
71	я в	1	3
72	и за	2	3
73	этого слова	1	3
74	бы в	1	3
75	прежде всего	2	3
76	а в	2	3
77	речь идет	1	2
78	и до	1	2
79	еще не	8	2
80	он был	1	2
81	и я	4	2
82	в противоположность	1	2
83	от которого	3	2
84	что все	4	2
85	о личности	1	2
86	жизни но	1	2
87	в этих	3	2
88	в своей	3	2
89	в котором	4	2
90	она не	1	2
91	не имеет	3	2
92	на котором	1	2
93	на него	1	2
94	всего в	2	2
95	роль в	1	2
96	это только	1	2
97	с ним	2	2
98	что в	3	2
99	и во	2	2
100	между тем	2	2
101	в его	4	2
102	того что	5	2
103	один из	2	2
104	и свободы	2	2
105	не есть	6	2
106	или даже	1	2
107	в одном	1	2
108	вовсе не	1	2
109	уже и	1	2
110	вслед за	2	2
111	превращается в	3	2
112	может ли	1	2
113	о чем	1	2
114	вместе с	1	2
115	так же	1	2
116	в состоянии	1	2
117	ты не	5	2
118	о свободе	2	2
119	и для	3	2
120	тот кто	2	2
121	в двух	1	2
122	личности и	3	2
123	другой стороны	1	2
124	все что	4	2
125	к этому	1	2
126	в роли	1	2
127	а между	2	1
128	по законам	1	1
129	ко всем	1	1
130	и т	2	1
131	этого мира	3	1
132	их и	1	1
133	есть не	1	1
134	почему мы	1	1
135	я не	1	1
136	о судьбе	1	1
137	в последних	1	1
138	в чем	3	1
139	это имеет	1	1
