N	2gram	Vygotskiy__7	VrazhdaK
1	не только	24	9
2	в этом	29	8
3	и в	26	8
4	и что	6	8
5	но и	11	7
6	и все	1	7
7	то что	24	7
8	что в	12	7
9	все же	6	6
10	но в	4	6
11	в нем	2	6
12	как и	15	6
13	в котором	4	6
14	и с	5	6
15	о нем	1	6
16	в начале	5	6
17	то же	8	5
18	об этом	3	5
19	в то	3	5
20	между тем	1	5
21	у него	1	5
22	не было	1	5
23	и не	18	5
24	в ней	3	4
25	что он	8	4
26	целый ряд	4	4
27	при этом	1	4
28	это не	3	4
29	несмотря на	2	4
30	все это	3	4
31	в виду	5	4
32	с ним	3	4
33	о том	4	4
34	для нас	2	4
35	уже в	2	4
36	может быть	7	4
37	как бы	6	4
38	в своих	2	4
39	так же	14	4
40	одним из	2	3
41	я не	3	3
42	в чем	3	3
43	в своем	1	3
44	и как	1	3
45	в этот	3	3
46	раз в	2	3
47	на то	4	3
48	его в	2	3
49	он не	3	3
50	и уже	1	3
51	том что	17	3
52	но он	2	3
53	что есть	1	3
54	и его	12	3
55	связи с	4	3
56	по нашему	1	3
57	и о	3	3
58	что у	4	3
59	и во	4	3
60	в его	4	3
61	в том	18	3
62	в конце	4	3
63	тем что	9	3
64	в связи	1	3
65	наряду с	2	3
66	я хотел	1	3
67	мысль на	1	3
68	к этому	2	3
69	отношения к	2	2
70	же как	8	2
71	и то	7	2
72	на место	1	2
73	и он	2	2
74	он сам	1	2
75	столь же	2	2
76	но как	1	2
77	ответ на	2	2
78	человека с	1	2
79	отнюдь не	1	2
80	в известном	2	2
81	в той	4	2
82	в этой	3	2
83	что к	1	2
84	в себе	9	2
85	время и	1	2
86	о которой	1	2
87	их в	1	2
88	таким образом	23	2
89	в одну	2	2
90	в глазах	1	2
91	в них	1	2
92	а с	1	2
93	сказал он	2	2
94	мы знаем	2	2
95	не мог	2	2
96	во время	2	2
97	точки зрения	28	2
98	в своей	3	2
99	и ее	2	2
100	с точки	21	2
101	место в	1	2
102	не менее	4	2
103	том же	2	2
104	одна из	1	2
105	никогда не	4	2
106	в момент	4	2
107	его с	3	2
108	и это	1	2
109	на основе	1	2
110	еще не	4	2
111	пришел к	1	2
112	при помощи	1	2
113	из них	1	2
114	его и	2	2
115	могли быть	1	2
116	для него	3	2
117	отношение к	2	2
118	к ним	1	2
119	как раз	3	2
120	как же	1	2
121	с которым	1	2
122	о чем	4	2
123	не может	11	2
124	вместе с	12	2
125	но это	3	2
126	что я	1	2
127	же в	1	2
128	а в	2	2
129	в период	2	2
130	в свою	2	2
131	себя как	1	1
132	как известно	2	1
133	можно говорить	2	1
134	ко всем	2	1
135	также и	2	1
136	того же	1	1
137	шаг за	1	1
138	к своей	1	1
139	это и	4	1
140	идет о	2	1
141	и есть	2	1
142	что слово	2	1
143	едва ли	4	1
144	в их	2	1
145	из всех	5	1
146	полагает что	1	1
147	той же	8	1
148	что уже	1	1
149	развитие в	1	1
150	именно к	1	1
151	он как	1	1
152	начинается с	1	1
153	совпадает с	3	1
154	говорить о	1	1
155	это отношение	2	1
156	ему в	1	1
157	это никогда	1	1
158	по своему	9	1
159	а следовательно	1	1
160	как правило	1	1
161	одним словом	1	1
162	совершенно прав	1	1
163	совсем не	1	1
164	но не	3	1
165	в сторону	1	1
166	если в	4	1
167	и т.д	1	1
168	каком направлении	1	1
169	что они	10	1
170	как по	1	1
171	как говорит	5	1
172	как в	4	1
173	с этим	2	1
174	дает нам	1	1
175	некоторое время	1	1
176	как к	3	1
177	что как	1	1
178	что ее	2	1
179	в мысли	3	1
180	и наконец	4	1
181	то в	2	1
182	в самом	9	1
183	прямое выражение	1	1
184	что это	6	1
185	в целом	5	1
186	момент его	1	1
187	не был	1	1
188	знать и	1	1
189	что же	2	1
190	все кто	1	1
191	выражение в	6	1
192	еще один	1	1
193	тому же	1	1
194	но ведь	1	1
195	не могла	2	1
196	высшей степени	1	1
197	в первой	3	1
198	ключ к	1	1
199	при виде	1	1
200	всех этих	1	1
201	чем у	3	1
202	и тотчас	1	1
203	в силу	5	1
204	этот процесс	1	1
205	и этот	1	1
206	одно и	3	1
207	есть все	1	1
208	обратился к	1	1
209	самим собой	2	1
210	говорить не	1	1
211	это было	1	1
212	заключается в	6	1
213	было бы	6	1
214	ни разу	1	1
215	на пороге	4	1
216	из первых	1	1
217	в высшей	1	1
218	соответствии с	1	1
219	этого не	1	1
220	анализу в	1	1
221	его отношения	1	1
222	во внимание	1	1
223	которой он	1	1
224	он и	1	1
225	в развитии	10	1
226	года и	1	1
227	такой же	3	1
228	но я	1	1
229	в этих	2	1
230	и их	5	1
231	всяком случае	1	1
232	м о	1	1
233	этому же	2	1
234	представление о	7	1
235	тем не	3	1
236	что этот	5	1
237	раз и	1	1
238	тем самым	8	1
239	что эта	6	1
240	другой не	1	1
241	не имеет	2	1
242	правда в	1	1
243	в процессе	5	1
244	было не	1	1
245	также что	1	1
246	в уме	2	1
247	только не	11	1
248	следовательно и	1	1
249	нельзя не	2	1
250	ничего не	2	1
251	того как	2	1
252	с крайне	1	1
253	и написал	2	1
254	и лишь	1	1
255	того в	1	1
256	в другую	3	1
257	он хочет	1	1
258	по своей	10	1
259	такая же	1	1
260	это слово	1	1
261	потому что	16	1
262	которая называется	1	1
263	этом отношении	3	1
264	в каком	1	1
265	ли это	1	1
266	такие же	1	1
267	следует рассматривать	1	1
268	только от	1	1
269	один раз	1	1
270	этот факт	2	1
271	что поэзия	1	1
272	могут быть	2	1
273	ли не	2	1
274	отличается от	3	1
275	по характеру	1	1
276	в недрах	1	1
277	мы начали	1	1
278	по всем	1	1
279	не есть	4	1
280	с ее	2	1
281	свою очередь	2	1
282	но при	1	1
283	в ее	6	1
284	не могло	1	1
285	другой раз	1	1
286	но мы	3	1
287	идет не	1	1
288	то время	2	1
289	этот период	2	1
290	так и	3	1
291	ясно что	1	1
292	не переставал	1	1
293	еще в	1	1
294	именно этот	1	1
295	во второй	5	1
296	быть может	1	1
297	короче говоря	1	1
298	и вообще	1	1
299	во всяком	2	1
300	приближается к	1	1
301	увидел что	1	1
302	ему нужно	2	1
303	до сих	3	1
304	как эта	1	1
305	нас в	2	1
306	к нему	3	1
307	во всех	6	1
308	переставал любить	1	1
309	от них	1	1
310	полагали что	1	1
311	во всей	2	1
312	в форме	1	1
313	в другой	1	1
314	с большими	1	1
315	тотчас же	1	1
316	также в	1	1
317	в свете	4	1
318	если это	1	1
319	и самые	1	1
320	и психологическое	2	1
321	на старом	1	1
322	в литературе	1	1
323	к которому	1	1
324	тех пор	1	1
325	этом смысле	1	1
326	один из	2	1
327	но с	2	1
328	проникнуть в	1	1
329	во всем	3	1
330	только иллюзия	1	1
331	н м	2	1
332	это же	1	1
333	в качестве	5	1
334	внимание в	1	1
335	целого ряда	1	1
336	он одновременно	1	1
337	а это	1	1
338	предположение что	1	1
339	между обоими	1	1
340	что для	2	1
341	никто не	2	1
342	мы находим	3	1
343	в одном	1	1
344	друг друга	4	1
345	от того	1	1
346	гораздо больше	2	1
347	из двух	3	1
348	нужно было	4	1
349	и речи	19	1
350	и из	1	1
351	с другой	4	1
352	именно в	6	1
353	все равно	1	1
354	ней благодаря	1	1
355	воспоминания о	1	1
356	прежде всего	7	1
357	выше и	1	1
358	в соответствии	1	1
359	только по	3	1
360	на этот	1	1
361	нашему мнению	2	1
362	до конца	5	1
363	одну из	1	1
364	голос и	1	1
365	с помощью	13	1
366	в частности	1	1
367	за тем	1	1
368	из которых	2	1
369	предположить что	1	1
370	к в	1	1
371	в ответ	1	1
372	того что	14	1
373	н и	1	1
374	и другом	2	1
375	известном смысле	2	1
376	сих пор	3	1
377	в основном	3	1
378	у вас	1	1
379	об одном	2	1
380	но для	2	1
381	под влиянием	1	1
382	ближе к	1	1
383	и от	4	1
384	но на	1	1
385	о котором	1	1
386	хотя и	1	1
387	говорилось в	1	1
388	бы в	5	1
389	еще более	1	1
390	конце концов	1	1
391	но зато	1	1
392	позволяет нам	2	1
393	только что	5	1
394	в обоих	1	1
395	отношении к	1	1
396	о своем	2	1
397	только как	1	1
398	другой стороны	1	1
399	из этого	2	1
400	только о	2	1
401	за шагом	1	1
402	к этой	2	1
403	у людей	1	1
404	целью в	1	1
405	как на	6	1
406	в таком	1	1
407	точно так	2	1
408	все что	6	1
409	они не	1	1
