N	2gram	Berdyaev_N_1	formyVre
1	и в	16	46
2	в этом	7	22
3	прежде всего	4	14
4	и его	1	12
5	во всех	3	11
6	не только	5	11
7	только в	1	11
8	во время	1	10
9	в том	8	10
10	но в	2	10
11	мы уже	1	9
12	не в	6	9
13	у него	2	9
14	но и	3	9
15	вместе с	2	9
16	и не	11	9
17	и для	4	9
18	мира и	2	9
19	как и	7	8
20	для того	1	8
21	того чтобы	2	8
22	потому что	4	8
23	в его	1	8
24	из них	1	8
25	жизни и	8	8
26	и на	2	7
27	так и	2	7
28	в них	4	7
29	может быть	7	7
30	времени в	2	7
31	то что	4	7
32	еще не	3	6
33	человека в	1	6
34	и с	2	6
35	в основе	3	6
36	никогда не	6	6
37	и во	1	6
38	так как	1	6
39	все это	5	6
40	и все	4	6
41	но не	2	5
42	с этим	2	5
43	в своем	1	5
44	все эти	2	5
45	он не	8	5
46	в нем	5	5
47	должно быть	4	5
48	в то	2	5
49	и у	1	5
50	по существу	2	5
51	в смысле	2	5
52	что в	9	5
53	человека и	3	4
54	в мире	3	4
55	значение и	1	4
56	в истории	3	4
57	как в	3	4
58	уже в	1	4
59	из этих	1	4
60	в себе	2	4
61	их в	1	4
62	и было	2	4
63	том что	2	4
64	в котором	1	4
65	место в	2	4
66	к себе	1	4
67	в образе	1	4
68	в эпоху	9	4
69	с ним	1	4
70	о том	4	4
71	вопросу о	1	4
72	конечно не	3	4
73	мир в	1	4
74	и их	1	4
75	а не	17	4
76	человеческой жизни	1	4
77	жизни в	3	4
78	есть и	1	4
79	в виду	1	3
80	того же	1	3
81	нет и	2	3
82	в средние	3	3
83	хотя и	2	3
84	весь мир	1	3
85	в этот	1	3
86	уже не	2	3
87	в большинстве	1	3
88	к реальному	3	3
89	не могли	2	3
90	самой жизни	2	3
91	к тому	3	3
92	себя и	1	3
93	роль в	2	3
94	а также	1	3
95	что он	1	3
96	во времени	1	3
97	все они	2	3
98	на протяжении	2	3
99	большинстве случаев	1	3
100	в прошлом	3	3
101	тем что	1	3
102	и даже	2	3
103	не было	4	3
104	не на	1	3
105	это значит	1	3
106	в это	1	3
107	к вопросу	1	3
108	в этих	1	3
109	а в	2	3
110	средние века	7	3
111	том числе	1	3
112	смысле слова	3	2
113	и есть	10	2
114	этого мира	1	2
115	и до	1	2
116	времени он	1	2
