N	2gram	Potebnia_M_2	EvropaiE
1	и в	24	37
2	что в	16	21
3	не только	15	18
4	с точки	1	17
5	в то	6	16
6	то же	12	15
7	хотя бы	2	15
8	отношении к	2	15
9	но в	4	14
10	же время	2	14
11	но и	9	14
12	и не	19	14
13	в этом	8	12
14	в их	1	11
15	в том	18	11
16	так и	5	10
17	в себе	10	9
18	только в	11	9
19	прежде всего	7	9
20	не может	12	9
21	так же	2	9
22	в ее	1	8
23	думать что	3	8
24	было бы	13	8
25	к тому	1	8
26	между тем	6	8
27	с одной	4	8
28	одной стороны	3	8
29	нам кажется	4	7
30	того что	7	7
31	так как	10	7
32	с другой	6	7
33	как и	7	7
34	между прочим	4	7
35	может быть	23	6
36	и на	8	6
37	во всех	7	6
38	стороны и	1	6
39	на то	5	6
40	то есть	30	6
41	том что	8	6
42	того чтобы	2	6
43	вслед за	3	6
44	вовсе не	9	6
45	для того	5	6
46	как бы	9	6
47	с этой	1	6
48	то что	20	6
49	которую мы	1	5
50	столь же	5	5
51	но не	12	5
52	не в	13	5
53	и по	2	5
54	но если	2	5
55	тем самым	4	5
56	как мы	1	5
57	со стороны	3	5
58	от этого	1	5
59	и потому	2	5
60	в течение	1	5
61	в той	1	5
62	этой точки	1	5
63	то в	1	4
64	мы не	11	4
65	вопрос о	2	4
66	но даже	3	4
67	в ней	3	4
68	независимо от	9	4
69	в самом	4	4
70	во многих	3	4
71	то ни	1	4
72	чем в	1	4
73	как совокупность	2	4
74	не имеет	6	4
75	и притом	3	4
76	в процессе	1	4
77	к ней	2	4
78	бы то	1	4
79	по себе	15	4
80	можно сказать	1	4
81	тем более	1	4
82	именно в	1	4
83	ни было	3	4
84	само по	2	4
85	не на	2	4
86	как это	2	4
87	для нас	31	4
88	сказать что	2	4
89	в каком	3	4
90	в применении	1	3
91	из всех	1	3
92	бы и	1	3
93	того же	14	3
94	в общем	2	3
95	как в	10	3
96	себе не	4	3
97	в известном	1	3
98	но на	2	3
99	мы можем	12	3
100	не будет	1	3
101	не дает	2	3
102	большинстве случаев	1	3
103	этом смысле	2	3
104	и тем	3	3
105	в них	5	3
106	с тем	4	3
107	мы видели	1	3
108	можно считать	1	3
109	во второй	1	3
110	в которых	1	3
111	дело в	1	3
112	никогда не	4	3
113	потому что	49	3
114	заключает в	4	3
115	уже и	1	3
116	во все	2	3
117	можно думать	2	3
118	бы ни	5	3
119	всех случаях	1	3
120	тем в	1	3
121	приближается к	1	3
122	о том	5	3
123	от них	3	3
124	место в	4	3
125	что и	11	3
126	и только	6	3
127	народов и	1	3
128	существования в	2	3
129	в стороне	1	3
130	всяком случае	7	3
131	различия в	1	3
132	из них	5	3
133	очевидно что	3	3
134	себе в	3	3
135	в известной	1	3
136	к ним	1	3
137	тем что	7	3
138	по своим	1	3
139	и прежде	1	3
140	в свою	6	3
141	связано с	2	3
142	там где	4	3
143	ни на	1	3
144	применении к	1	3
145	известной степени	1	3
146	и для	3	3
147	и от	3	3
148	не более	1	3
149	это так	1	3
150	ее в	1	3
151	как на	3	3
152	в таком	4	3
153	во всяком	7	3
154	и то	3	2
155	должна быть	1	2
156	с в	2	2
157	есть не	5	2
158	что если	6	2
159	и другая	1	2
160	из того	1	2
161	которое в	1	2
162	на них	1	2
163	между собой	1	2
164	ли такое	1	2
165	а тем	1	2
166	но как	1	2
167	в сторону	1	2
168	друг от	1	2
169	и чем	1	2
170	же мало	1	2
171	в истории	1	2
172	его на	2	2
173	с этим	7	2
174	помнить что	3	2
175	хотя и	3	2
176	и как	6	2
177	что это	3	2
178	всего к	1	2
179	что к	1	2
180	и если	4	2
181	с течением	1	2
182	как оно	2	2
183	главным образом	4	2
184	он не	1	2
185	и еще	1	2
186	отношений между	3	2
187	какой бы	1	2
188	таким образом	11	2
189	и с	1	2
190	заключается в	1	2
191	с другими	5	2
192	к природе	1	2
193	например с	2	2
194	далеко не	3	2
195	в своих	1	2
196	в развитии	1	2
197	такой же	4	2
198	и того	6	2
199	в эту	3	2
200	в этих	3	2
201	или точнее	1	2
202	в котором	4	2
203	не к	1	2
204	одном из	4	2
205	и более	1	2
206	только те	1	2
207	можем сказать	1	2
208	тогда когда	10	2
209	и имеет	1	2
210	по своей	1	2
211	что на	3	2
212	если этот	1	2
213	не могут	7	2
214	могут быть	8	2
215	имеет место	2	2
216	от друга	1	2
217	как не	3	2
218	свою очередь	6	2
219	мог бы	3	2
220	во многом	1	2
221	наше внимание	1	2
222	по сравнению	1	2
223	именно тогда	1	2
224	если бы	11	2
225	в содержании	1	2
226	и поэтому	2	2
227	и та	1	2
228	и что	4	2
229	кажется что	3	2
230	и во	3	2
231	к нему	1	2
232	ее от	1	2
233	во втором	1	2
234	в его	2	2
235	мы должны	2	2
236	эти последние	2	2
237	но с	1	2
238	его собственная	1	2
239	в какой	2	2
240	есть в	2	2
241	мира то	1	2
242	не можем	6	2
243	в большинстве	1	2
244	даже что	1	2
245	то которое	1	2
246	если в	3	2
247	при помощи	1	2
248	и других	2	2
249	в одном	6	2
250	заметить что	6	2
251	в других	4	2
252	мы ставим	1	2
253	влияние на	4	2
254	а именно	1	2
255	в некоторых	4	2
256	на основании	1	2
257	а не	18	2
258	с а	4	2
259	что все	2	2
260	начиная с	1	2
261	вместе с	11	2
262	относятся к	1	2
263	или по	2	2
264	сравнению с	1	2
265	не дают	2	2
266	что же	1	2
267	с мы	1	2
268	или в	2	2
269	то не	3	2
270	и все	3	2
271	наблюдения над	1	2
272	но еще	1	2
273	бы в	2	2
274	и наконец	1	2
275	же в	5	2
276	в другой	1	2
277	мы видим	2	2
278	а в	8	2
279	даже при	2	2
280	не есть	6	2
281	имеет в	1	2
282	между ними	2	2
283	другой стороны	2	2
284	жизни и	1	2
285	существует только	2	1
286	ту же	1	1
287	также что	2	1
288	ко всем	2	1
289	и т	6	1
290	например в	3	1
291	не делает	1	1
292	некоторые из	1	1
293	и это	2	1
294	тех же	1	1
295	но тем	3	1
296	выражении не	1	1
297	и до	1	1
298	с таким	3	1
299	и связанное	1	1
300	той же	3	1
301	смотреть на	1	1
302	из всего	1	1
303	же следует	1	1
304	ли их	1	1
305	что между	1	1
306	это что	2	1
307	чтобы не	1	1
308	есть нечто	3	1
309	время как	4	1
310	только это	1	1
311	мы получаем	1	1
312	которое не	1	1
313	то это	3	1
314	не сразу	2	1
315	когда мы	2	1
316	изменение в	2	1
317	быть в	1	1
318	что его	3	1
319	с его	2	1
320	тем как	2	1
321	бы она	1	1
322	то мы	2	1
323	видели что	1	1
324	мы будем	1	1
325	значение и	2	1
326	по отношению	2	1
327	для всякого	1	1
328	находящихся в	1	1
329	тогда как	10	1
330	отличие от	1	1
331	общего правила	1	1
332	в оценке	1	1
333	то преимущество	1	1
334	за пределы	2	1
335	только путем	1	1
336	от основного	1	1
337	относится к	3	1
338	которые не	3	1
339	показать в	2	1
340	в одной	1	1
341	не показывает	1	1
342	дает нам	1	1
343	ней в	1	1
344	что нет	2	1
345	все остальные	5	1
346	все же	5	1
347	однако не	1	1
348	смысле этого	3	1
349	к тем	1	1
350	могли бы	2	1
351	что по	1	1
352	теплоты то	1	1
353	его к	1	1
354	более или	8	1
355	в этот	1	1
356	это есть	1	1
357	бы с	1	1
358	он в	1	1
359	в нашем	2	1
360	которые в	1	1
361	с их	1	1
362	один и	1	1
363	нами в	1	1
364	имеет для	3	1
365	и тот	2	1
366	тому же	1	1
367	кажется не	2	1
368	из указанных	1	1
369	при этом	13	1
370	т д	3	1
371	в переводе	1	1
372	но само	1	1
373	состоит в	2	1
374	не как	3	1
375	на земле	1	1
376	на этом	2	1
377	как более	1	1
378	и наоборот	5	1
379	ни для	1	1
380	в человеческом	1	1
