N	3gram	Medvedev_F_2	Poddanst
1	в то же	5	7
2	то же время	5	7
3	в том что	2	4
4	с точки зрения	7	3
5	сами по себе	2	3
6	с одной стороны	1	3
7	и в то	3	2
8	но и в	3	2
9	г и о	1	2
10	в ней и	1	1
11	в других же	1	1
12	чуть ли не	1	1
13	гоголь и достоевский	1	1
14	более или менее	1	1
15	в настоящее время	1	1
16	в этом смысле	2	1
17	и в этом	5	1
18	и в какой	2	1
19	и не может	3	1
20	же время в	1	1
21	можно говорить о	1	1
22	в отличие от	2	1
23	не было бы	1	1
24	в собственном смысле	1	1
25	бы она ни	3	1
26	вместе с тем	4	1
27	и пр в	1	1
28	можно думать что	1	1
29	в применении к	2	1
30	между тем в	1	1
31	с тем же	1	1
32	главным образом на	1	1
33	в различных формах	1	1
34	не в том	3	1
35	во всяком случае	5	1
36	с другой стороны	3	1
37	не может быть	10	1
38	и тем самым	1	1
39	но в то	1	1
40	мы знаем что	1	1
41	в большинстве случаев	3	1
42	для того чтобы	3	1
43	но в этом	2	1
44	в отрыве от	1	1
45	и т д	5	1
