N	3gram	Tiupa_Anal_3	Russkaja
1	то же время	3	10
2	в то же	3	10
3	с точки зрения	2	9
4	в том что	7	7
5	на самом деле	1	6
6	во всяком случае	2	6
7	для того чтобы	1	6
8	а между тем	1	5
9	до сих пор	1	5
10	не может быть	1	4
11	в этом случае	1	3
12	в данном случае	3	3
13	той или иной	3	3
14	они принадлежат к	1	2
15	что он не	1	2
16	в противоречие с	1	2
17	тот факт что	1	2
18	таким же образом	1	2
19	не только к	2	2
20	лишь в том	1	2
21	того или иного	1	2
22	о том что	5	2
23	друг от друга	1	2
24	в большинстве случаев	1	2
25	сама по себе	2	2
26	но и к	1	2
27	должны были бы	1	1
28	и того же	3	1
29	то есть не	1	1
30	дело в том	2	1
31	того чтобы их	1	1
32	в свою очередь	4	1
33	как бы не	1	1
34	по отношению к	7	1
35	одной из этих	1	1
36	в самом деле	1	1
37	в этой роли	1	1
38	но как бы	1	1
39	сказанное относится не	1	1
40	именно вследствие этого	1	1
41	до известной степени	3	1
42	в единое целое	1	1
43	в этом отношении	3	1
44	ни у кого	1	1
45	в мире есть	1	1
46	перед нами не	1	1
47	на этот вопрос	1	1
48	тот или иной	2	1
49	в борьбе за	2	1
50	по крайней мере	4	1
51	отнюдь не является	1	1
52	в значительной степени	2	1
53	в применении к	1	1
54	же время в	1	1
55	в том чтобы	1	1
56	и должно было	1	1
57	и как бы	1	1
58	всяком случае не	1	1
59	по этому пути	1	1
60	по себе еще	1	1
61	в связи с	1	1
62	внутренней и внешней	1	1
63	в полной мере	1	1
64	относится не только	1	1
65	а в том	2	1
66	и все же	1	1
67	между собой и	1	1
68	заключается в том	1	1
69	как бы ни	1	1
70	вопрос о том	1	1
71	речь идет о	1	1
72	одного и того	3	1
73	тем более что	1	1
74	совершенно очевидно что	2	1
75	о себе самом	1	1
76	прежде всего с	1	1
77	тем не менее	2	1
78	и прежде всего	2	1
79	к тому же	3	1
80	себе еще не	1	1
