N	4gram	Bakhtin_Fr_2	Problema
1	в то же время	6	3
2	в этом существенное отличие	1	2
3	во всех своих моментах	1	2
4	ни в коем случае	1	2
5	и в то же	2	2
6	в большинстве случаев не	1	2
7	здесь же мы должны	1	1
8	дело в том что	1	1
9	мы можем сказать что	1	1
10	с одной стороны и	1	1
11	и не может быть	1	1
12	на самом же деле	1	1
13	во всех его моментах	1	1
14	о мире и человеке	1	1
15	всех его моментах как	1	1
16	и во всех своих	1	1
17	но в то же	3	1
18	и в изобразительных искусствах	1	1
19	но и во всех	1	1
20	точка зрения на мир	1	1
21	на протяжении всего романа	1	1
