N	4gram	Bakhtin_Fr_1	Marksizm
1	и не может быть	1	4
2	в то же время	1	3
3	нет и не может	1	2
4	в том числе и	7	2
5	на этот вопрос мы	2	2
6	на самом же деле	3	2
7	но в то же	1	2
8	и пр и пр	1	2
9	с точки зрения тех	1	2
10	и вовсе не в	1	1
11	взаимно дополняют друг друга	1	1
12	в большей или меньшей	4	1
13	она нашла свое наиболее	1	1
14	и в большинстве случаев	1	1
15	и т.п все эти	1	1
16	второй половины xix века	1	1
17	в том что он	1	1
18	в нем нет ничего	1	1
19	не чем иным как	1	1
20	все более и более	1	1
21	за пределы нашей работы	2	1
22	на первый план выдвигается	1	1
23	вне всякой связи с	1	1
24	и до настоящего времени	1	1
