N	3gram	Medvedev_U_1	Myshleni
1	в том что	2	15
2	с другой стороны	3	9
3	с одной стороны	1	8
4	не может быть	4	5
5	нам думается что	1	5
6	до сих пор	2	4
7	в этом отношении	2	4
8	можно сказать что	1	4
9	друг с другом	1	4
10	на то что	1	3
11	то же самое	2	3
12	сам по себе	1	3
13	в первую очередь	1	3
14	на первый план	1	2
15	говорит он в	1	2
16	то же время	3	2
17	и в частности	2	2
18	в данном случае	1	2
19	в самом деле	2	2
20	в то же	3	2
21	т.е то что	1	1
22	превратилось бы в	1	1
23	другой стороны в	1	1
24	большей или меньшей	1	1
25	в этом смысле	2	1
26	т.е в конечном	2	1
27	бы в чистое	1	1
28	должно быть по	1	1
29	и в то	1	1
30	же время не	1	1
31	на каждом шагу	2	1
32	по крайней мере	2	1
33	и то что	2	1
34	на одно из	1	1
35	в этой области	3	1
36	не только в	1	1
37	из первых мест	1	1
38	в конце концов	2	1
39	между тем в	1	1
40	которые могли бы	1	1
41	или по крайней	1	1
42	конечном счете оно	1	1
43	чуждых друг другу	1	1
44	само по себе	1	1
45	в конечном счете	4	1
46	одно из первых	1	1
47	что мы можем	1	1
48	и с другой	1	1
