N	3gram	Bakhtin_fo_2	NovoeSre
1	xix и xx	1	4
2	не может быть	1	4
3	в средние века	3	3
4	со всех сторон	1	3
5	и xx веков	1	3
6	никогда не было	1	2
7	равно как и	2	2
8	большую роль в	1	2
9	вместе с тем	1	2
10	с одной стороны	1	2
11	и должно быть	2	2
12	это не значит	1	2
13	с другой стороны	1	2
14	не в смысле	3	2
15	и того же	1	1
16	что в этом	2	1
17	она совсем не	1	1
18	то время как	1	1
19	но это значит	1	1
20	одного и того	1	1
21	есть прежде всего	1	1
22	в том числе	3	1
23	во времени в	1	1
24	до сих пор	2	1
25	и во всех	2	1
26	сами по себе	2	1
27	в отличие от	1	1
28	в основе их	1	1
29	наряду с этим	1	1
30	но и в	3	1
31	том числе и	2	1
32	и стремится к	1	1
33	не только в	5	1
34	к вопросу о	3	1
35	и в большинстве	1	1
36	о том что	1	1
37	значение все это	1	1
38	в то время	1	1
39	ни в чем	1	1
40	то что в	1	1
41	для того и	1	1
42	и вместе с	1	1
43	все в мире	1	1
44	это значит что	2	1
45	и все они	1	1
46	выходит за пределы	1	1
47	в большинстве случаев	3	1
48	от бога и	1	1
49	в том что	3	1
50	как и в	1	1
51	конечно не в	1	1
