N	3gram	Medvedev_U_1	Tragedij
1	то же время	3	5
2	в то же	3	5
3	и не случайно	1	2
4	и в частности	2	2
5	в данном случае	1	2
6	но в то	1	2
7	в том что	2	2
8	в этом случае	1	1
9	а между тем	2	1
10	должно быть по	1	1
11	хотя бы и	2	1
12	сам по себе	1	1
13	в той же	1	1
14	и то что	2	1
15	ничего не значит	1	1
16	еще ничего не	2	1
17	в конце концов	2	1
18	по нашему мнению	3	1
19	не могут быть	2	1
20	все же не	1	1
21	не только к	1	1
22	она все же	1	1
23	не может быть	4	1
24	в самом деле	2	1
25	может быть в	1	1
