N	3gram	Bakhtin_Pr_2	Morfolog
1	в этом случае	1	9
2	мы видим что	1	9
3	не может быть	6	8
4	подобно тому как	2	5
5	таким образом мы	1	5
6	по отношению к	8	4
7	с точки зрения	9	4
8	с другой стороны	1	4
9	тем не менее	1	4
10	далеко не все	1	3
11	независимо от того	1	3
12	на самом деле	1	3
13	но все же	2	3
14	оно может быть	1	2
15	более или менее	1	2
16	и в других	1	2
17	то время как	1	2
18	это не значит	1	2
19	в то время	1	2
20	в большинстве случаев	2	2
21	для того чтобы	1	2
22	в том что	4	2
23	хотя и не	1	1
24	к другу и	1	1
25	сам он не	1	1
26	же время и	1	1
27	до начала действия	1	1
28	что же касается	1	1
29	как бы в	2	1
30	мы постараемся показать	1	1
31	до сих пор	2	1
32	и действительно в	1	1
33	в таком случае	1	1
34	можно было бы	1	1
35	он как бы	1	1
36	от другого и	1	1
37	вспомним хотя бы	1	1
38	постараемся показать что	1	1
39	этой формы в	1	1
40	героя а не	1	1
41	к нему в	1	1
42	герой не может	1	1
43	в данном случае	1	1
44	на этот вопрос	1	1
45	один из них	1	1
46	так же не	1	1
47	имеет ничего общего	1	1
48	не входит в	2	1
49	может быть или	1	1
50	то что он	1	1
51	перед нами в	2	1
52	из них не	1	1
53	могут быть поняты	1	1
54	потому что они	2	1
55	не имеет ничего	1	1
56	самом деле в	1	1
57	друг к другу	3	1
58	так как его	1	1
59	то же время	3	1
60	далеко не всегда	1	1
61	его но в	1	1
62	мы имеем в	2	1
63	о характере этого	1	1
64	о том что	3	1
65	они вступают в	1	1
66	с самого начала	1	1
67	он не может	1	1
68	той или иной	3	1
69	можно сказать что	2	1
70	и пр как	1	1
71	на то что	2	1
72	и независимо от	1	1
73	от того как	1	1
74	в то же	3	1
75	друг с другом	2	1
