N	3gram	Propp_Morf_1	Formalny
1	с точки зрения	2	13
2	в настоящее время	3	10
3	и т д	39	8
4	более или менее	2	6
5	на самом деле	4	6
6	до сих пор	1	6
7	не может быть	9	5
8	по отношению к	4	4
9	с одной стороны	1	4
10	во всяком случае	2	4
11	бы то ни	3	3
12	может быть и	2	3
13	а вовсе не	1	2
14	во что бы	1	2
15	как мы увидим	4	2
16	что бы то	1	2
17	в большинстве случаев	3	2
18	то ни стало	1	2
19	в связи с	8	2
20	все более и	1	2
21	более и более	1	2
22	и пр и	2	2
23	мы не можем	1	2
24	связи с этим	4	2
25	но это бывает	1	1
26	и как таковой	1	1
27	состоит в том	2	1
28	в чем же	1	1
29	как это делается	1	1
30	находится еще в	1	1
31	между прочим и	1	1
32	и может быть	1	1
33	хотя и здесь	1	1
34	эти две формы	1	1
35	какого бы то	1	1
36	а не по	1	1
37	отношению к этой	1	1
38	не дают никаких	1	1
39	если же он	1	1
40	в том что	3	1
41	в этом отношении	1	1
42	вместо того чтобы	1	1
43	в противном случае	1	1
44	она должна быть	1	1
45	перейти к разработке	1	1
46	мы видим что	9	1
47	мы увидим дальше	1	1
48	и пр он	2	1
49	в данном случае	1	1
50	прежде всего и	1	1
51	то ни было	2	1
52	то же происходит	1	1
53	в высшей степени	1	1
54	а также и	3	1
55	все же в	1	1
56	если она есть	1	1
57	можно указать на	1	1
58	со всеми другими	1	1
59	это и не	2	1
60	в точном смысле	1	1
61	с другой стороны	4	1
62	если же они	1	1
63	самом деле в	1	1
64	нисколько не меняет	1	1
65	с самого начала	1	1
66	это значит что	1	1
67	и пр чем	1	1
68	т е он	1	1
69	но все же	3	1
70	единого принципа в	1	1
71	он не дает	1	1
72	совсем не так	1	1
73	к тому что	3	1
74	тех или иных	1	1
75	тем не менее	4	1
76	с помощью этого	1	1
77	что и в	1	1
78	вслед за этим	1	1
79	мы увидим что	1	1
80	вне связи с	2	1
