N	2gram	Potebnia_M_1	KulturaY
1	и т	6	39
2	потому что	52	25
3	т п	4	24
4	и в	39	23
5	не только	21	20
6	в том	26	19
7	в этом	15	18
8	и не	18	16
9	было бы	12	15
10	так как	21	15
11	может быть	27	15
12	т д	4	14
13	точки зрения	8	14
14	все эти	1	12
15	если бы	14	12
16	у нас	2	12
17	в самом	3	12
18	но в	9	11
19	том что	16	11
20	того чтобы	2	11
21	в области	1	11
22	по себе	10	10
23	в языке	33	10
24	а не	21	10
25	что в	22	10
26	самом деле	1	9
27	вопрос о	4	9
28	в сущности	2	9
29	хотя бы	2	9
30	то что	10	9
31	можно было	1	9
32	вовсе не	5	9
33	для того	3	9
34	не может	22	9
35	только потому	3	8
36	с точки	3	8
37	не в	15	8
38	языка и	17	8
39	и что	10	8
40	уже не	2	8
41	прежде всего	4	8
42	с другой	7	8
43	что это	3	7
44	все же	6	7
45	в нашем	1	7
46	и с	3	7
47	не менее	6	7
48	но и	20	7
49	другой стороны	5	7
50	то же	6	6
51	и на	1	6
52	но не	8	6
53	в этой	3	6
54	да и	1	6
55	это не	7	6
56	тем не	6	6
57	по крайней	2	6
58	между тем	5	6
59	крайней мере	2	6
60	этот вопрос	2	6
61	вопроса о	2	6
62	слова в	2	6
63	что не	10	6
64	что мы	4	6
65	в речи	1	6
66	и то	3	5
67	мы имеем	1	5
68	зависимости от	1	5
69	еще не	6	5
70	не следует	5	5
71	должна быть	3	5
72	что все	3	5
73	лишь в	1	5
74	и тем	3	5
75	несмотря на	5	5
76	не могут	4	5
77	приводит к	1	5
78	в его	5	5
79	один из	1	5
80	что он	1	5
81	только в	25	5
82	должен быть	1	5
83	всяком случае	1	5
84	само по	4	5
85	там где	4	5
86	вместе с	8	5
87	что же	2	5
88	этого слова	1	5
89	слова и	4	5
90	все это	1	5
91	этом смысле	4	5
92	таким образом	13	5
93	речи и	10	5
94	во всяком	3	5
95	вряд ли	1	4
96	в зависимости	1	4
97	что я	1	4
98	в данном	1	4
99	со стороны	8	4
100	перед нами	1	4
101	хотя и	3	4
102	если мы	3	4
103	на то	2	4
104	в нем	20	4
105	так и	13	4
106	но все	2	4
107	должно быть	7	4
108	в то	4	4
109	на себе	2	4
110	но только	1	4
111	не имеет	5	4
112	ничего не	1	4
113	что на	6	4
114	к тому	4	4
115	и о	2	4
116	от того	4	4
117	или в	2	4
118	могут быть	9	4
119	это слово	1	4
120	для нас	9	4
121	ни в	1	4
122	в них	3	4
123	в каком	6	4
124	не было	4	4
125	в связи	1	4
126	как бы	6	4
127	в результате	1	4
128	сказать что	3	4
129	была бы	2	4
