N	2gram	Losev_Dial_1	slovoVRo
1	и в	18	41
2	в нем	16	30
3	и т	21	28
4	то есть	1	26
5	т п	2	23
6	могут быть	3	19
7	во всех	1	17
8	не только	13	16
9	и не	30	16
10	точки зрения	17	16
11	но и	7	16
12	а не	14	15
13	то же	10	14
14	в то	6	14
15	и его	1	14
16	может быть	17	14
17	и др	1	14
18	не может	12	14
19	в его	3	13
20	в этом	12	12
21	же время	4	12
22	как бы	11	12
23	так и	9	11
24	язык и	1	10
25	в той	1	10
26	себя в	1	9
27	все эти	2	9
28	таким образом	1	9
29	той или	7	9
30	или иной	3	9
31	точка зрения	2	8
32	как в	2	8
33	но в	6	8
34	в предмете	1	8
35	с точки	12	8
36	как мы	4	8
37	в особенности	5	8
38	прежде всего	10	8
39	отношение к	5	7
40	все же	5	7
41	в своей	2	7
42	не в	6	7
43	вовсе не	7	7
44	с ним	6	7
45	зрения на	1	7
46	и следовательно	2	7
47	все они	1	7
48	во всяком	4	7
49	при этом	1	6
50	это не	9	6
51	в них	3	6
52	к своему	1	6
53	в отношении	5	6
54	оно не	1	6
55	только в	3	6
56	и даже	13	6
57	а в	5	6
58	отношении к	3	6
59	и к	1	5
60	в самом	3	5
61	т д	19	5
62	с другими	2	5
63	далеко не	1	5
64	всяком случае	2	5
65	все это	11	5
66	в основе	3	5
67	к нему	8	5
68	точек зрения	3	5
69	с другой	6	5
70	своего предмета	1	5
71	еще более	3	5
72	по преимуществу	1	4
73	в ней	3	4
74	еще не	2	4
75	данный момент	1	4
76	перед нами	1	4
77	и наконец	1	4
78	в которой	1	4
79	но именно	1	4
80	всех этих	3	4
81	не как	2	4
82	в каждом	2	4
83	и с	5	4
84	на почве	1	4
85	как и	2	4
86	в их	3	4
87	и для	2	4
88	на предмет	1	4
89	ничего не	17	4
90	все его	1	4
91	один из	3	4
92	ли он	1	4
93	с одной	2	4
94	одной стороны	2	4
95	и все	3	4
96	там где	1	4
97	и потому	3	4
98	мы сказали	1	4
99	и от	2	4
100	кроме того	1	4
101	здесь в	2	4
102	известной степени	1	4
103	и часто	1	4
104	быть и	4	4
105	другой стороны	4	4
106	также и	7	3
107	почти всегда	4	3
108	от всякой	2	3
109	в своем	5	3
110	не требует	1	3
111	более или	3	3
112	бы и	2	3
113	из этих	2	3
114	выражение в	1	3
115	в себе	11	3
116	связанные с	2	3
117	в поэзии	1	3
118	вообще не	1	3
119	и сам	1	3
120	и может	2	3
121	и почти	3	3
122	его в	1	3
123	было бы	12	3
124	он не	3	3
125	или менее	3	3
126	в понимании	1	3
127	точку зрения	3	3
128	которые в	1	3
129	на всю	4	3
130	она не	6	3
131	никогда не	9	3
132	в разных	3	3
133	не могут	1	3
134	к тому	4	3
135	и единственный	1	3
136	и этим	1	3
137	о том	4	3
138	те или	1	3
139	или иные	1	3
140	переходит в	1	3
141	все время	1	3
142	в него	2	3
143	того что	2	3
144	в том	9	3
145	поэтому и	2	3
146	бы ни	1	3
147	в качестве	2	3
148	конечно не	3	3
149	и чисто	1	3
150	и других	1	3
151	из них	2	3
152	для него	2	3
153	так как	11	3
