N	3gram	Ircho_Kome_1	Analitik
1	в том что	9	7
2	по отношению к	3	7
3	с другой стороны	5	5
4	о том что	3	5
5	как и в	2	4
6	в данном случае	1	3
7	то же время	4	3
8	в то же	4	3
9	к тому же	5	3
10	в этом отношении	3	3
11	подобно тому как	1	2
12	в ответ на	1	2
13	том что он	4	2
14	в отличие от	1	2
15	в значительной степени	1	2
16	едва ли не	3	2
17	с одной стороны	3	2
18	тем не менее	1	2
19	во всяком случае	2	2
20	и прежде всего	1	2
21	совершенно очевидно что	1	2
22	героя нашего времени	1	2
23	а между тем	1	1
24	что иное как	1	1
25	хотя и не	1	1
26	к этому же	1	1
27	не говоря уже	2	1
28	до сих пор	2	1
29	говоря уже о	2	1
30	в зависимости от	1	1
31	что он не	1	1
32	выходит далеко за	1	1
33	при этом что	2	1
34	мало или вовсе	1	1
35	таким образом в	2	1
36	может и не	1	1
37	и здесь мы	1	1
38	с тех пор	1	1
39	со всех сторон	1	1
40	и судя по	1	1
41	как и положено	1	1
42	с полной уверенностью	1	1
43	сам по себе	1	1
44	в самом начале	1	1
45	не только в	1	1
46	по своему происхождению	1	1
47	в применении к	1	1
48	так или иначе	1	1
49	мы знаем о	1	1
50	для того чтобы	1	1
51	в тех случаях	1	1
52	такого же рода	1	1
53	что он якобы	1	1
54	в одном из	4	1
55	со своей поэтикой	1	1
56	состоит не в	1	1
57	именно потому что	2	1
58	речь идет о	3	1
59	идет о том	1	1
60	друг от друга	1	1
61	тех случаях когда	1	1
62	в большинстве случаев	1	1
63	можно судить по	2	1
64	не что иное	1	1
65	но едва ли	1	1
66	с новой силой	1	1
67	и тот же	1	1
