N	2gram	Vygotskiy__1	Poddanst
1	не только	13	17
2	и в	31	14
3	и не	16	12
4	в области	11	11
5	в этом	12	10
6	в качестве	2	9
7	но в	3	9
8	то же	5	9
9	в том	30	9
10	в пределах	1	8
11	хотя бы	1	8
12	только в	14	7
13	в то	5	7
14	в ней	1	6
15	было бы	6	6
16	но и	2	6
17	быть может	1	6
18	в которых	3	5
19	с другой	5	5
20	может быть	22	5
21	и пр	1	5
22	не в	11	5
23	и о	4	5
24	если бы	6	4
25	а также	1	4
26	в своем	3	4
27	и к	3	4
28	как бы	5	4
29	и если	4	4
30	том что	16	4
31	не может	17	4
32	и потому	2	4
33	в котором	4	4
34	по себе	9	4
35	что в	23	4
36	мы должны	1	4
37	же в	1	4
38	а в	6	4
39	то что	32	4
40	и т	26	3
41	мы не	12	3
42	сводится к	1	3
43	столь же	4	3
44	между тем	4	3
45	это не	1	3
46	вслед за	6	3
47	хотя и	3	3
48	и как	2	3
49	тот же	2	3
50	с ними	1	3
51	с одной	5	3
52	в себе	4	3
53	в нем	2	3
54	сами по	1	3
55	для того	6	3
56	заключается в	7	3
57	прежде всего	4	3
58	одной стороны	6	3
59	с тем	3	3
60	что мы	8	3
61	и без	2	3
62	с точки	2	3
63	но не	3	3
64	она есть	1	3
65	могут быть	11	3
66	т е	3	3
67	тем самым	2	3
68	исторического материализма	3	3
69	потому что	10	3
70	точки зрения	15	3
71	и это	3	2
72	например в	3	2
73	значительной мере	1	2
74	в ее	5	2
75	и есть	5	2
76	в мире	1	2
77	было в	1	2
78	есть не	2	2
79	которую мы	1	2
80	по сравнению	1	2
81	есть нечто	2	2
82	которое в	1	2
83	но к	3	2
84	никак не	4	2
85	время в	1	2
86	в значительной	1	2
87	во всех	1	2
88	если в	1	2
89	во всей	1	2
90	со стороны	4	2
91	отнюдь не	6	2
92	в русском	2	2
93	с этим	3	2
94	того что	10	2
95	стороны и	3	2
96	духа и	1	2
97	к чему	2	2
98	бы ни	2	2
99	думать что	1	2
100	есть в	7	2
101	главным образом	2	2
102	и других	3	2
103	в его	6	2
104	из них	2	2
105	не к	1	2
106	в силу	3	2
107	и вот	3	2
108	как раз	2	2
109	в статье	1	2
110	и с	2	2
111	точек зрения	3	2
112	полной мере	1	2
113	именно в	1	2
114	и мы	1	2
115	и тем	2	2
116	сказывается в	1	2
117	в жизни	2	2
118	в них	2	2
119	церкви и	1	2
120	не было	3	2
121	а не	13	2
122	должно быть	1	2
123	образом на	1	2
124	не менее	2	2
125	все это	8	2
126	на этих	1	2
127	одна из	4	2
128	сколько бы	1	2
129	мысль о	1	2
130	в полной	1	2
131	для нас	5	2
132	заключает в	1	2
133	в частности	3	2
134	и русского	1	2
135	как на	3	2
136	том числе	1	2
137	в применении	2	1
138	от этой	1	1
139	равным образом	1	1
140	же как	4	1
141	связана с	1	1
142	этот спор	1	1
143	и то	2	1
144	века но	1	1
145	на основе	2	1
146	и вслед	1	1
147	как по	1	1
148	раньше в	1	1
149	тем же	3	1
150	во времена	1	1
151	в себя	2	1
152	по преимуществу	1	1
153	к жизни	2	1
154	идет речь	1	1
155	применении к	2	1
