N	3gram	Losev_Prob_4	Marksizm
1	с точки зрения	11	20
2	и не может	1	9
3	до сих пор	1	8
4	бы то ни	1	8
5	то ни было	1	8
6	в связи с	3	7
7	в настоящее время	1	6
8	с другой стороны	6	5
9	с самого начала	1	4
10	то же самое	6	3
11	мы не будем	2	3
12	отнюдь не является	1	3
13	в конце концов	1	3
14	каких бы то	1	3
15	но все же	1	3
16	в то же	2	3
17	для того чтобы	2	3
18	в том что	8	3
19	же как и	1	2
20	в чем же	1	2
21	в том числе	1	2
22	в таком случае	1	2
23	сама по себе	2	2
24	на самом же	2	2
25	том числе и	1	2
26	можно было бы	4	2
27	во всех областях	1	2
28	так же как	1	2
29	себе отчет в	2	2
30	во всяком случае	4	2
31	вопрос о том	1	2
32	в свою очередь	1	2
33	это и есть	1	2
34	точки зрения тех	1	2
35	жизни в этом	1	2
36	и прежде всего	2	2
37	художественный образ и	1	2
38	самом же деле	2	2
39	в этом смысле	3	2
40	тем не менее	10	2
41	ничего общего с	2	2
42	как он их	1	1
43	а следовательно и	1	1
44	в других областях	1	1
45	более подробном анализе	1	1
46	прежде всего как	1	1
47	прежде всего в	1	1
48	между прочим и	1	1
49	художественного образа в	1	1
50	равно как и	1	1
51	и в сознании	1	1
52	том что он	1	1
53	что же касается	1	1
54	и во всяком	3	1
55	в результате нашего	1	1
56	тот или иной	2	1
57	как мы сказали	1	1
58	хотя бы и	2	1
59	сами по себе	2	1
60	таким образом к	1	1
61	в себе и	2	1
62	есть непрерывное становление	1	1
63	это вовсе не	1	1
64	в основе своей	1	1
65	и потому в	1	1
66	отчет в том	3	1
67	так и с	1	1
68	чем иным как	2	1
69	с этой точки	1	1
70	является не чем	1	1
71	а если и	2	1
72	ни в какой	4	1
73	ту или иную	1	1
74	и требует от	1	1
75	не будем здесь	2	1
76	не чем иным	2	1
77	и потому как	1	1
78	сих пор мы	1	1
79	и с точки	3	1
80	с одной стороны	1	1
81	и не было	2	1
82	и как бы	1	1
83	в последнее время	1	1
84	это не значит	1	1
85	а в том	1	1
86	они превращаются в	1	1
87	был связан с	1	1
88	обычно смешиваются в	1	1
89	вообще не существует	1	1
90	и все другие	1	1
91	более или менее	2	1
92	нет ничего общего	2	1
93	так и в	1	1
94	само по себе	1	1
95	но в одном	1	1
96	вовсе не как	1	1
97	очень далек от	1	1
98	этой точки зрения	1	1
99	другой стороны и	1	1
100	как и во	1	1
101	это значит что	7	1
102	не только не	4	1
103	не только в	4	1
104	выходит за пределы	1	1
105	не выходит за	2	1
106	в новое время	1	1
107	ни к какой	1	1
108	в другом случае	2	1
109	к тому что	1	1
110	на самом деле	3	1
111	во всех случаях	1	1
112	при более подробном	1	1
113	там и здесь	1	1
114	для этого необходимо	1	1
115	той или иной	11	1
