N	2gram	Nazirov_Tr_1	Sotsiolo
1	все это	4	7
2	в том	2	5
3	в этом	9	5
4	более чем	1	3
5	как же	2	3
6	для нас	1	3
7	не только	8	3
8	и в	18	3
9	не в	2	3
10	в его	3	3
11	за пределы	1	2
12	но и	4	2
13	конце концов	1	2
14	должна быть	1	2
15	только в	1	2
16	по природе	1	2
17	в результате	1	2
18	том что	4	2
19	в частности	2	2
20	как будто	3	2
21	идей и	1	2
22	то что	4	2
23	и что	4	2
24	литературы и	1	2
25	еще не	4	2
26	таким образом	1	2
27	это и	1	2
28	в конце	3	2
29	что в	4	2
30	может быть	7	2
31	как бы	7	2
32	то же	5	2
33	не из	1	1
34	что все	2	1
35	я и	1	1
36	право на	1	1
37	же не	1	1
38	вряд ли	2	1
39	быть не	1	1
40	по себе	1	1
41	в мире	3	1
42	в этой	4	1
43	тому что	1	1
44	отнюдь не	3	1
45	даже не	1	1
46	на все	1	1
47	его в	2	1
48	с ним	3	1
49	это не	5	1
50	на этот	1	1
51	именно в	1	1
52	в чем	1	1
53	же по	1	1
54	все же	5	1
55	один из	3	1
56	и есть	1	1
57	перед нами	2	1
58	в то	5	1
59	его собственная	1	1
60	и наконец	1	1
61	тем что	2	1
62	и как	3	1
63	что эти	2	1
64	что он	6	1
65	тогда и	1	1
66	прежде всего	4	1
67	в них	1	1
68	так и	5	1
69	не было	1	1
70	но только	1	1
71	и не	7	1
72	опирающаяся на	1	1
73	из себя	1	1
74	никогда не	2	1
75	именно такого	1	1
76	это как	1	1
77	со своими	1	1
78	же время	6	1
79	ничего не	2	1
80	и о	1	1
81	связь между	1	1
82	все эти	3	1
83	это же	1	1
84	именно на	1	1
85	как и	5	1
86	между собой	1	1
87	бы в	1	1
88	с помощью	1	1
89	она должна	2	1
90	в связи	1	1
91	и его	6	1
92	связи с	1	1
93	хотя бы	1	1
94	в целом	4	1
95	стало быть	1	1
96	не может	5	1
97	в своей	1	1
98	и должно	1	1
99	не способен	1	1
100	как искусство	1	1
101	что она	2	1
102	о том	2	1
103	в области	1	1
104	и потому	1	1
105	в котором	1	1
106	это неизбежно	1	1
107	из тех	1	1
108	перенес в	1	1
109	литературы на	1	1
110	столь же	2	1
111	всяком случае	1	1
112	мы понимаем	1	1
113	что это	5	1
114	не исчерпываются	1	1
115	голова его	1	1
116	с одной	1	1
117	что без	1	1
118	а между	1	1
119	но не	1	1
120	у него	6	1
121	в виде	2	1
122	в данном	2	1
123	между тем	1	1
124	но как	1	1
125	и по	1	1
126	что на	1	1
127	это происходит	1	1
128	и темы	1	1
129	это по	1	1
130	во всяком	1	1
