N	2gram	Savitsky_P_1	Freidism
1	и не	12	23
2	не может	4	20
3	точки зрения	3	19
4	прежде всего	3	18
5	в этом	10	15
6	в его	2	15
7	и пр	5	15
8	в душе	1	13
9	мы можем	1	13
10	может быть	5	13
11	как и	1	11
12	с точки	3	11
13	как бы	4	11
14	то что	4	11
15	но в	9	10
16	его в	1	10
17	и потому	4	10
18	с его	1	9
19	во всех	2	9
20	и в	14	9
21	то же	9	8
22	не только	17	8
23	еще не	1	8
24	только в	7	8
25	все это	2	8
26	в самом	1	7
27	те же	1	7
28	тот же	3	7
29	мы знаем	1	7
30	всяком случае	1	7
31	во всяком	1	7
32	в ней	6	6
33	к смерти	1	6
34	и с	2	6
35	и ее	1	6
36	– все	1	6
37	того что	2	6
38	никогда не	1	6
39	хотя бы	8	6
40	я и	3	5
41	и на	1	5
42	и к	4	5
43	в этой	1	5
44	знаем что	1	5
45	не в	5	5
46	мы должны	4	5
47	в то	7	5
48	в каком	1	5
49	могут быть	3	5
50	в себя	1	5
51	для этого	1	5
52	для того	3	5
53	в большинстве	1	5
54	большинстве случаев	1	5
55	а в	4	5
56	но и	6	5
57	с этим	2	5
58	что в	4	5
59	мы не	3	4
60	в которой	1	4
61	говорить о	2	4
62	но не	3	4
63	в собственном	1	4
64	все же	1	4
65	не было	2	4
66	из этих	1	4
67	в пределах	8	4
68	в нем	3	4
69	связанные с	1	4
70	в жизни	2	4
71	на основании	1	4
72	не менее	2	4
73	же время	7	4
74	потому что	3	4
75	если мы	1	4
76	того чтобы	1	4
77	сводится к	3	4
78	и образы	1	4
79	с ними	3	4
80	в котором	4	4
81	как раз	2	4
82	в данном	1	4
83	в мир	1	4
84	и о	5	4
85	в этих	1	4
86	и есть	2	3
87	собственном смысле	1	3
88	на себя	1	3
89	он был	1	3
90	в общем	2	3
91	– но	1	3
92	и как	3	3
93	в себе	3	3
94	главным образом	2	3
95	и вот	2	3
96	и по	1	3
97	что все	1	3
98	было бы	6	3
99	нисколько не	1	3
100	мысли и	1	3
101	этой области	1	3
102	нет никакого	1	3
103	одна из	2	3
104	она не	1	3
105	с ее	1	3
106	и этим	1	3
107	только то	1	3
108	если бы	4	3
109	и что	1	3
110	человека с	1	3
111	себя в	1	3
112	в них	2	3
113	со стороны	2	3
114	вместе с	1	3
115	ни на	1	3
116	отношения к	2	2
117	и то	1	2
118	тем же	1	2
119	в ее	2	2
120	но как	1	2
121	отличие от	1	2
122	из важнейших	2	2
123	в своем	4	2
124	что это	1	2
125	и современная	1	2
126	из этой	1	2
127	есть та	1	2
128	на этой	1	2
129	это не	3	2
130	по всему	1	2
131	и уже	1	2
132	на две	1	2
133	том что	4	2
134	в эту	2	2
135	и при	1	2
136	в отличие	1	2
137	теми же	1	2
138	в отношении	10	2
139	что с	1	2
140	но для	1	2
141	и притом	1	2
142	и теперь	1	2
143	в области	11	2
144	в момент	1	2
145	что оно	1	2
146	на основе	1	2
147	стремление к	1	2
