N	3gram	Tiupa_Hudo_1	Sovremen
1	с точки зрения	3	5
2	не может быть	2	4
3	не может не	1	3
4	с самого начала	1	3
5	тем не менее	3	2
6	друг с другом	1	2
7	во всяком случае	1	2
8	в отличие от	1	2
9	в свою очередь	1	2
10	то же самое	1	2
11	можно говорить об	1	1
12	из них это	1	1
13	в том как	1	1
14	такой же мере	2	1
15	и в этом	1	1
16	одной стороны и	1	1
17	уже знаем что	1	1
18	а в конце	1	1
19	в такой же	2	1
20	не в том	2	1
21	в связи с	3	1
22	он уже не	1	1
23	по отношению к	8	1
24	то ни другое	1	1
25	одна и та	1	1
26	на самом деле	1	1
27	в этом смысле	1	1
28	в свое время	1	1
29	до сих пор	2	1
30	то же время	8	1
31	и в то	1	1
32	сами по себе	1	1
33	и та же	1	1
34	мы не знаем	1	1
35	в конечном счете	2	1
36	заключает в себе	1	1
37	можно было бы	4	1
38	в самом деле	4	1
39	но все же	1	1
40	может быть только	1	1
41	ни то ни	1	1
42	в том случае	1	1
43	в то же	8	1
44	все это делает	1	1
45	мы уже знаем	2	1
46	в том что	6	1
47	в данном случае	1	1
48	она не может	1	1
49	в предыдущей главе	3	1
50	с одной стороны	1	1
51	и к другому	1	1
