N	2gram	Medvedev_I_1	Problema
1	и не	2	42
2	и в	1	38
3	по отношению	1	21
4	в художественном	1	20
5	отношению к	1	19
6	и с	3	17
7	в этом	2	15
8	художественного творчества	1	12
9	художественном творчестве	1	10
10	и др	1	8
11	с другой	1	7
12	что в	2	7
13	ничего не	2	6
14	а в	1	6
15	все эти	1	5
16	в них	1	5
17	так и	1	5
18	в основе	1	5
19	и о	1	5
20	никогда не	1	5
21	другой стороны	1	4
22	говорить о	1	3
23	в целом	1	3
24	он не	2	3
25	как только	1	3
26	если бы	1	3
27	со всеми	1	3
28	все это	1	3
29	я не	1	2
30	не остается	1	2
31	понятий и	1	2
32	произведения это	1	2
33	того чтобы	1	2
34	есть только	1	2
35	для того	1	2
36	должен быть	2	2
37	в значительной	1	2
38	того что	1	2
39	себя в	1	2
40	не дает	1	2
41	произведения и	1	2
42	тем что	1	2
43	по существу	1	2
44	по поводу	1	2
45	бы все	1	1
46	тех же	1	1
47	стали бы	1	1
48	из подполья	1	1
49	и ничего	1	1
50	бы что	2	1
51	нам в	1	1
52	все четыре	1	1
53	нее и	1	1
54	исследователь должен	1	1
55	от нее	1	1
56	это было	1	1
57	автора и	1	1
58	нисколько не	1	1
59	ученый но	1	1
60	вплоть до	1	1
61	как о	1	1
62	и без	1	1
63	так то	1	1
64	и со	1	1
65	и серьезно	1	1
66	о ней	1	1
67	а также	1	1
68	ибо и	1	1
69	эти научные	1	1
70	для него	1	1
71	основе всего	1	1
72	и литература	1	1
73	только что	1	1
74	видит в	1	1
75	бы в	1	1
76	жизни и	1	1
