N	2gram	Tiupa_Anal_1	Poddanst
1	не только	15	17
2	и в	18	14
3	и не	21	12
4	в области	4	11
5	в этом	13	10
6	в отношении	1	10
7	в качестве	31	9
8	но в	8	9
9	то же	9	9
10	в том	27	9
11	в пределах	2	8
12	н и	1	8
13	хотя бы	3	8
14	только в	6	7
15	в то	9	7
16	же время	6	7
17	в ней	1	6
18	было бы	2	6
19	но и	17	6
20	быть может	2	6
21	в которых	1	5
22	с другой	4	5
23	может быть	29	5
24	а я	1	5
25	не в	14	5
26	и о	2	5
27	а н	1	5
28	если бы	3	4
29	а также	3	4
30	и к	3	4
31	как бы	5	4
32	том что	12	4
33	не может	22	4
34	и потому	2	4
35	в котором	3	4
36	по себе	4	4
37	что в	5	4
38	мы должны	1	4
39	же в	1	4
40	а в	9	4
41	то что	6	4
42	и т	3	3
43	настоящий момент	1	3
44	мы не	1	3
45	сводится к	5	3
46	столь же	4	3
47	между тем	5	3
48	это не	6	3
49	вслед за	1	3
50	хотя и	1	3
51	и как	5	3
52	тот же	1	3
53	с одной	3	3
54	в себе	11	3
55	в нем	3	3
56	ей в	1	3
57	сами по	2	3
58	для того	4	3
59	заключается в	1	3
60	прежде всего	6	3
61	одной стороны	3	3
62	с тем	1	3
63	что мы	3	3
64	с точки	4	3
65	но не	10	3
66	она есть	2	3
67	могут быть	4	3
68	тем самым	7	3
69	потому что	2	3
70	точки зрения	6	3
71	я и	6	3
72	в настоящий	1	3
73	отношения к	2	2
74	например в	1	2
75	в ее	1	2
76	и есть	3	2
77	в мире	8	2
78	есть не	8	2
79	является в	1	2
80	есть нечто	1	2
81	но к	2	2
82	во всех	1	2
83	в которую	1	2
84	если в	3	2
85	во всей	1	2
86	со стороны	2	2
87	в е	1	2
88	отнюдь не	15	2
89	того что	4	2
90	помнить что	1	2
91	бы ни	2	2
92	думать что	2	2
93	есть в	1	2
94	но о	2	2
95	в начале	2	2
96	в его	13	2
97	из них	2	2
98	в виде	1	2
99	не к	2	2
100	в силу	3	2
101	как раз	1	2
102	в последние	1	2
103	и с	2	2
104	полной мере	3	2
105	именно в	4	2
106	мира с	1	2
107	и тем	1	2
108	для них	1	2
109	в них	1	2
110	не было	1	2
111	а не	17	2
112	в ряду	2	2
113	должно быть	2	2
114	хх века	1	2
115	более чем	4	2
116	не столько	2	2
117	творчества и	2	2
118	в тот	1	2
119	культуры в	2	2
120	что из	2	2
121	не менее	1	2
122	не о	2	2
123	одна из	1	2
124	сколько бы	2	2
125	мысль о	2	2
126	да и	1	2
127	в полной	3	2
128	тем более	2	2
129	для нас	1	2
130	исключительно в	1	2
131	может и	1	2
132	в частности	19	2
133	том числе	3	2
134	также и	2	1
135	далеко если	1	1
136	с другом	1	1
137	и то	2	1
138	как известно	3	1
139	на основе	2	1
140	понять в	1	1
141	как по	1	1
142	в себя	6	1
143	культуры и	1	1
144	смысл этого	1	1
145	по преимуществу	1	1
146	в рамки	1	1
147	должна быть	1	1
148	собственном смысле	1	1
149	те же	1	1
150	не с	4	1
151	особенно в	2	1
152	по природе	3	1
153	еще в	2	1
154	два направления	1	1
155	для этого	2	1
156	внимание к	1	1
157	в собственном	3	1
158	не вполне	1	1
159	пор пока	1	1
160	оно есть	1	1
161	на себя	2	1
162	и ее	1	1
163	том виде	1	1
164	слова о	1	1
165	мы и	1	1
166	может не	1	1
167	не означает	1	1
168	и что	1	1
169	литературы и	1	1
170	внутреннего зрения	1	1
171	еще не	3	1
172	были бы	1	1
173	и на	5	1
174	он был	1	1
175	ответа на	1	1
176	оно ни	1	1
177	в различных	1	1
178	с его	3	1
179	восходит к	1	1
180	связь между	1	1
181	не все	2	1
182	что и	3	1
183	отличие от	6	1
184	не просто	2	1
185	к осуществлению	1	1
186	которой в	1	1
187	в рамках	3	1
188	человеческого бытия	2	1
189	в современной	1	1
190	тех пор	1	1
191	известном смысле	1	1
192	все же	4	1
193	в отрыве	2	1
194	над собой	1	1
195	более или	1	1
196	в какой	2	1
197	должен быть	6	1
198	опирающаяся на	1	1
199	тяготеет к	1	1
200	может оказаться	1	1
201	в самом	6	1
202	но как	1	1
203	в которой	2	1
204	во времени	4	1
205	что это	1	1
206	могли бы	2	1
207	вопрос об	3	1
208	представляет собой	16	1
209	из этих	2	1
210	себя в	6	1
211	в известном	1	1
212	мы именуем	1	1
213	оказывается в	2	1
214	только один	1	1
215	только на	1	1
216	если он	1	1
217	наш взгляд	6	1
218	в мир	1	1
219	к миру	1	1
220	из этой	1	1
221	в восприятии	1	1
222	не как	1	1
223	к первой	1	1
224	друг друга	1	1
225	и только	1	1
226	какой бы	2	1
227	каждый из	2	1
228	при отсутствии	1	1
229	на наш	6	1
230	и по	2	1
231	следует понимать	1	1
232	прежде чем	1	1
233	одно и	1	1
