N	2gram	Losev_Dial_4	Freidism
1	таким образом	5	24
2	и не	30	23
3	– это	5	21
4	не может	11	20
5	точки зрения	14	19
6	прежде всего	11	18
7	в этом	11	15
8	в его	4	15
9	и пр	9	15
10	это –	25	14
11	в душе	1	13
12	мы можем	3	13
13	может быть	17	13
14	и его	7	12
15	все эти	3	11
16	как и	7	11
17	с точки	9	11
18	– в	15	11
19	как бы	14	11
20	то что	16	11
21	но в	3	10
22	его в	1	10
23	с ним	3	10
24	как мы	1	10
25	так и	5	10
26	и потому	3	10
27	с его	5	9
28	во всех	2	9
29	и в	15	9
30	то же	9	8
31	не только	8	8
32	он не	1	8
33	в своей	3	8
34	еще не	4	8
35	оно и	3	8
36	что он	7	8
37	только в	7	8
38	так как	14	8
39	все это	9	8
40	психической жизни	2	8
41	и все	11	8
42	все что	2	8
43	в самом	2	7
44	мы уже	3	7
45	отношение к	1	7
46	и наконец	3	7
47	чувств и	1	7
48	ни в	8	7
49	мы видели	1	7
50	те же	1	7
51	к нему	1	7
52	один из	4	7
53	тот же	1	7
54	что же	2	7
55	– не	5	7
56	сказать что	6	7
57	во всяком	2	7
58	в ней	5	6
59	за пределы	3	6
60	к смерти	1	6
61	все те	1	6
62	и с	4	6
63	и ее	8	6
64	– все	3	6
65	того что	13	6
66	вовсе не	6	6
67	никогда не	2	6
68	хотя бы	4	6
69	совершенно не	3	6
70	– как	5	6
71	я и	1	5
72	на самом	1	5
73	и на	5	5
74	он сам	1	5
75	в чем	8	5
76	в этой	4	5
77	что такое	5	5
78	знаем что	1	5
79	не в	8	5
80	мы должны	4	5
81	в то	6	5
82	в каком	5	5
83	могут быть	3	5
84	в себя	5	5
85	для этого	2	5
86	но мы	2	5
87	можно сказать	5	5
88	для того	5	5
89	и прежде	1	5
90	а в	1	5
91	оно –	3	5
92	но и	4	5
93	с этим	3	5
94	его жизни	1	5
95	в свою	3	5
96	что в	7	5
97	смысле слова	1	4
98	в зависимости	1	4
99	той же	5	4
100	мы не	9	4
101	в которой	2	4
102	говорить о	11	4
103	я не	5	4
104	зависимости от	1	4
105	в собственном	3	4
106	же –	1	4
107	все же	2	4
108	не было	2	4
109	из этих	2	4
110	в пределах	1	4
111	с их	4	4
112	в нем	5	4
113	всех этих	1	4
114	на этом	3	4
115	то ни	4	4
116	связанные с	1	4
117	при этом	2	4
118	об этом	3	4
119	с другими	1	4
120	в жизни	5	4
121	на основании	3	4
122	– один	1	4
123	– только	3	4
124	не менее	2	4
125	в основе	10	4
126	же время	6	4
127	потому что	10	4
128	и для	5	4
129	– с	1	4
130	если мы	5	4
131	того чтобы	5	4
132	данном случае	1	4
133	– и	4	4
134	это только	1	4
135	другими словами	5	4
136	с ними	4	4
137	конечно не	2	4
138	уже не	9	4
139	не дает	2	4
140	в котором	2	4
141	мы находим	2	4
142	как раз	4	4
143	от того	2	4
144	на которые	1	4
145	себя и	3	4
146	в данном	3	4
147	и о	8	4
148	сознания и	3	4
149	этот вопрос	1	4
150	человека и	2	3
151	и есть	19	3
152	собственном смысле	2	3
153	при анализе	1	3
154	теперь мы	7	3
155	такие же	1	3
156	с отцом	1	3
157	в общем	1	3
158	как в	3	3
159	– но	1	3
160	и той	3	3
161	и как	4	3
162	сказать о	1	3
163	учение о	5	3
164	и тот	1	3
165	в себе	8	3
166	но ведь	1	3
167	главным образом	2	3
168	о которой	1	3
169	и вот	11	3
170	одной и	3	3
171	и по	2	3
172	всех своих	1	3
173	что все	4	3
174	и может	2	3
175	конечно в	1	3
176	было бы	9	3
177	отца и	1	3
178	мы имеем	5	3
179	такой же	1	3
180	нисколько не	2	3
181	именно и	1	3
182	тому чтобы	1	3
183	случае не	2	3
184	можем сказать	2	3
185	нет никакого	3	3
186	одна из	1	3
187	чем не	1	3
188	ни о	3	3
189	к себе	1	3
190	не могут	2	3
191	она не	4	3
192	ничего общего	4	3
193	с ее	10	3
194	свою очередь	2	3
195	только то	1	3
196	что может	1	3
197	если бы	6	3
198	и смерть	1	3
199	и что	9	3
200	во втором	1	3
201	и она	1	3
202	человека к	1	3
203	себя в	2	3
204	об его	3	3
205	в них	2	3
206	со стороны	3	3
207	на этот	1	3
208	и оно	1	3
209	о себе	1	3
210	вместе с	2	3
211	и от	1	3
212	но это	4	3
213	не является	1	3
214	это как	2	3
215	в голову	1	3
216	когда он	3	3
217	это учение	2	3
218	не знает	1	3
219	жизни и	4	3
220	ни на	6	3
221	ее в	2	3
222	и выражение	1	2
223	отношения к	3	2
224	чтобы не	1	2
225	и то	3	2
226	сил и	1	2
227	тех же	2	2
228	это и	9	2
229	– к	1	2
230	для своего	1	2
231	как не	2	2
232	и явления	1	2
233	в ее	2	2
234	видели что	1	2
235	и религия	1	2
236	но как	2	2
237	себе и	2	2
238	отличие от	2	2
239	или иное	3	2
240	чем же	2	2
241	в своем	5	2
242	от этого	3	2
243	в этот	2	2
244	не приходится	1	2
245	это утверждение	2	2
246	что это	13	2
247	в нашем	1	2
248	или во	1	2
249	всей его	2	2
250	человек не	1	2
251	что она	5	2
252	есть та	1	2
253	их в	1	2
254	но все	2	2
255	в одну	3	2
256	сознание и	1	2
257	в глубине	2	2
258	при помощи	3	2
259	это было	2	2
260	это не	12	2
261	– совершенно	4	2
262	чаще всего	1	2
263	только о	3	2
264	всю жизнь	1	2
265	и уже	4	2
266	выйти за	5	2
267	и становится	1	2
268	том что	10	2
269	что значит	1	2
270	но если	5	2
271	и при	2	2
272	в их	3	2
273	в отличие	1	2
274	на другую	4	2
275	миф и	3	2
276	возможно только	3	2
277	общего не	2	2
278	как это	2	2
279	в отношении	2	2
280	что с	2	2
281	но для	2	2
282	дело не	1	2
283	и притом	3	2
284	в процессе	1	2
285	в нас	1	2
286	только не	3	2
287	тем не	2	2
288	и теперь	1	2
289	из того	1	2
290	в области	3	2
291	если его	1	2
292	когда мы	1	2
