N	4gram	Vinokur_Ku_2	Problemy
1	в то же время	3	10
2	бы то ни было	1	3
3	дело в том что	1	1
4	уже с самого начала	1	1
5	из уст в уста	1	1
6	в большей или меньшей	3	1
7	в том или ином	1	1
8	в то время как	1	1
9	можно было бы привести	2	1
10	большей или меньшей степени	3	1
11	до сих пор еще	1	1
12	не может и не	1	1
13	том и в другом	1	1
14	и в том и	1	1
15	все более и более	1	1
16	мы должны признать что	1	1
17	может и не должен	1	1
18	в том и в	1	1
19	сих пор еще не	1	1
20	и в самом деле	2	1
21	что на самом деле	1	1
22	по себе и не	1	1
