N	2gram	Medvedev_B_1	FransuaR
1	и в	1	29
2	таким образом	1	20
3	и не	2	16
4	в эпоху	1	15
5	и на	1	11
6	так и	1	11
7	не только	1	10
8	прежде всего	1	8
9	в своей	1	5
10	до конца	1	5
11	и о	1	5
12	далеко не	1	5
13	на самом	1	4
14	еще не	1	4
15	с другой	1	4
16	все это	2	4
17	в ней	2	3
18	все же	1	3
19	другой стороны	1	3
20	кроме того	1	2
21	как будто	1	2
22	же не	1	2
23	одной из	1	2
24	между ними	1	2
25	должна быть	1	1
26	видеть в	2	1
27	не вполне	1	1
28	не все	1	1
29	за пределы	1	1
30	для которой	1	1
31	об этом	1	1
32	сейчас в	1	1
33	в данном	1	1
34	свою книгу	1	1
35	говорить о	1	1
36	у нас	3	1
37	что все	1	1
38	можно было	2	1
39	и во	1	1
40	будто бы	1	1
41	и ее	1	1
42	со всем	1	1
43	в книге	1	1
44	и потому	1	1
45	что в	1	1
