N	4gram	Bakhtin_Pr_4	slovoVRo
1	в то же время	5	12
2	в той или иной	1	9
3	и в то же	1	5
4	но в то же	2	4
5	с чужим словом в	1	3
6	в большей или меньшей	2	3
7	большей или меньшей степени	2	3
8	одно и то же	1	2
9	как мы уже сказали	2	2
10	на ту же тему	1	2
11	мы имеем в виду	3	1
12	не может войти в	1	1
13	с чужим словом и	1	1
14	никогда не может быть	1	1
15	на свой предмет слово	2	1
16	дело в том что	1	1
17	в прямой авторской речи	1	1
18	с прямым авторским словом	1	1
19	с самого начала в	1	1
20	как нейтральное слово языка	1	1
21	оглядки на чужое слово	1	1
22	на самом же деле	1	1
23	слово во всех его	1	1
24	рядом друг с другом	1	1
25	слово в то же	1	1
26	не лежит в одной	1	1
27	в монологический контекст данного	1	1
28	о том же предмете	2	1
29	точек зрения и оценок	1	1
30	и всякое иное слово	1	1
31	и не может не	1	1
32	в одной плоскости с	1	1
33	каковы бы ни были	1	1
34	быть более или менее	2	1
35	в нем новые стороны	1	1
36	лежит в одной плоскости	1	1
37	направленное на свой предмет	2	1
