N	3gram	Berdyaev_O_1	Myshleni
1	в том что	1	31
2	в этом отношении	1	7
3	смысле этого слова	1	7
4	друг с другом	1	7
5	в самом деле	1	6
6	для того чтобы	3	5
7	и то что	1	4
8	на то что	1	4
9	с тем что	2	3
10	по сравнению с	1	3
11	во всяком случае	1	3
12	о том что	1	3
13	но и в	2	2
14	не могут быть	2	2
15	между этими двумя	1	2
16	том что в	1	1
17	потому что в	1	1
18	прежде всего в	1	1
19	о том как	1	1
20	исключительно со стороны	1	1
21	том случае если	1	1
22	вместо того чтобы	1	1
23	заключает в себе	1	1
24	видеть в том	1	1
25	сказать что они	2	1
26	в том случае	1	1
27	в противоречии с	1	1
28	друг к другу	1	1
29	как бы в	1	1
30	не может быть	2	1
31	в самой природе	1	1
32	то что в	1	1
33	само по себе	1	1
34	в силе и	1	1
35	и остаются на	1	1
36	после того как	1	1
37	говорит все время	1	1
38	или лучше сказать	1	1
39	это подтверждается всем	1	1
40	как и в	1	1
