N	2gram	Medvedev_V_1	FransuaR
1	и в	26	40
2	то есть	1	18
3	и его	6	17
4	прежде всего	13	16
5	в этом	26	15
6	в романе	4	15
7	не только	25	13
8	в его	14	13
9	и не	19	13
10	вовсе не	3	12
11	что в	10	12
12	как и	7	11
13	но и	10	11
14	таким образом	31	10
15	как мы	1	10
16	он не	2	9
17	в них	4	9
18	может быть	22	9
19	и все	1	9
20	отношение к	1	8
21	все эти	6	8
22	во время	3	8
23	в том	15	8
24	у него	6	8
25	но в	2	8
26	то же	10	7
27	в своем	8	7
28	он и	2	7
29	в виду	4	7
30	в ту	1	7
31	до нас	2	7
32	в одном	4	7
33	и др	9	7
34	в духе	1	7
35	во всех	6	6
36	в самом	4	6
37	в этих	1	6
38	в то	6	6
39	же время	5	6
40	связи с	4	6
41	в образах	1	6
42	и других	1	6
43	в той	1	6
44	он говорит	5	6
45	в своей	4	6
46	к этому	9	6
47	в году	6	5
48	в нем	6	5
49	так сказать	2	5
50	в основе	1	5
51	и для	2	5
52	в особенности	2	5
53	связаны с	1	5
54	мы видим	1	5
55	для него	8	5
56	то что	6	5
57	не было	7	5
58	а не	7	5
59	в связи	3	5
60	как раз	3	5
61	в своих	2	5
62	смысле слова	2	4
63	также и	2	4
64	жизни и	3	4
65	в ней	2	4
66	в истории	1	4
67	жизнью и	1	4
68	было бы	7	4
69	ни в	1	4
70	том что	8	4
71	в их	5	4
72	даже в	5	4
73	того чтобы	3	4
74	в области	2	4
75	у нас	2	4
76	о том	10	4
77	роль в	4	4
78	а также	1	4
79	и во	1	4
80	один из	5	4
81	только на	1	4
82	из них	9	4
83	и даже	2	4
84	до сих	1	4
85	и потому	2	4
86	в данном	1	4
87	сих пор	1	4
88	в основном	5	4
89	все это	10	4
90	еще более	1	4
91	в заключение	1	4
92	самом деле	1	3
93	и есть	5	3
94	правильного понимания	1	3
95	только для	1	3
96	он был	1	3
97	с его	3	3
98	по отношению	7	3
99	в этой	4	3
100	кроме того	1	3
101	и как	3	3
102	и наконец	2	3
103	и к	3	3
104	всего необходимо	1	3
105	в себе	6	3
106	но ведь	1	3
107	большей или	3	3
108	всех этих	2	3
109	об этом	9	3
110	на протяжении	1	3
111	мы видели	3	3
112	их в	6	3
113	для этого	1	3
114	вплоть до	2	3
115	в таких	1	3
116	дело не	1	3
117	одна из	4	3
118	о нем	1	3
119	начиная с	2	3
120	здесь не	1	3
121	в ее	4	3
122	не подлежит	2	3
123	можно было	2	3
124	еще в	1	3
125	если бы	3	3
126	в другом	2	3
127	никак не	1	3
128	в значительной	3	3
129	между тем	5	3
130	что и	3	3
131	во всей	2	3
132	в свете	1	3
133	или меньшей	3	3
134	еще не	2	3
135	различных областей	1	3
136	только в	7	3
137	так и	5	3
138	же и	2	3
139	в начале	1	3
140	в конце	3	3
141	тем что	1	3
142	характерны для	1	3
143	для того	3	3
144	сказать что	5	3
145	жизнь в	1	3
146	в частности	11	3
147	не может	17	3
148	вместе с	7	3
149	как в	1	3
150	как бы	5	3
151	него был	1	3
152	в более	1	3
153	и от	3	3
154	но это	1	3
155	а в	3	3
156	между ними	3	3
157	к этой	1	3
158	они не	2	3
159	том числе	2	3
160	как известно	2	2
161	одним из	5	2
162	например в	3	2
163	связана с	2	2
164	это и	6	2
165	и этот	2	2
166	и стиль	1	2
167	хотя бы	19	2
168	основе этого	1	2
169	меньшей степени	2	2
170	быть в	1	2
171	не был	1	2
172	в последних	1	2
173	но не	2	2
174	это самое	1	2
175	вот как	4	2
176	в течение	2	2
177	что он	4	2
178	все же	5	2
179	и той	1	2
180	и понимания	1	2
181	в которой	2	2
182	в целом	4	2
183	он в	1	2
184	из этих	7	2
185	в дальнейшем	1	2
186	и если	1	2
187	на его	1	2
188	как он	2	2
189	и еще	1	2
190	свидетельствует о	1	2
191	в плане	5	2
192	на этом	1	2
193	для характеристики	1	2
194	лишь в	2	2
195	это вовсе	1	2
196	ни одной	1	2
197	далеко не	2	2
198	года и	2	2
199	точки зрения	3	2
200	в котором	3	2
201	в характеристике	1	2
202	по год	1	2
203	одном из	3	2
204	но он	1	2
205	том же	6	2
206	не менее	2	2
207	как о	2	2
208	этом отношении	13	2
209	числе и	2	2
210	должны быть	2	2
211	той или	1	2
212	они и	1	2
213	и это	1	2
214	момент в	3	2
215	данном случае	1	2
216	на основе	5	2
217	и сам	1	2
218	по сравнению	1	2
219	поэтому в	1	2
220	можно сказать	4	2
221	говорит об	2	2
222	образом в	3	2
223	с того	1	2
224	с другой	11	2
225	это не	7	2
226	говорит он	1	2
227	в большей	2	2
228	сомнению что	1	2
229	образов и	4	2
230	как нечто	1	2
231	и так	1	2
232	который в	1	2
233	но как	3	2
234	и ее	4	2
235	об их	1	2
236	вот этот	1	2
237	образов в	2	2
238	конечно не	1	2
239	с нею	2	2
240	и у	2	2
241	уже в	1	2
242	в следующих	1	2
243	в нашей	4	2
244	мы знаем	3	2
245	в системе	2	2
246	в форме	3	2
247	встречаемся с	1	2
248	даже и	3	2
249	со всем	1	2
250	или иной	2	2
251	именно в	2	2
252	глубокая и	1	2
253	чем он	1	2
254	еще и	2	2
255	и образов	5	2
256	романа в	1	2
257	что для	3	2
258	о чем	2	2
259	очень часто	1	2
260	все то	1	2
261	с этим	3	2
262	сравнению с	1	2
263	в состоянии	1	2
264	есть и	1	2
265	слова и	1	2
266	в книге	2	2
267	потому что	1	2
268	хотя в	1	2
269	одной из	1	2
270	самое существенное	1	2
