N	2gram	Bakhtin_Pr_3	Otkroven
1	у него	4	22
2	и в	34	19
3	у достоевского	13	19
4	но и	12	13
5	и не	29	13
6	в этом	16	12
7	из подполья	36	11
8	человека в	1	11
9	не в	9	11
10	не только	10	11
11	может быть	19	11
12	а не	9	11
13	человека и	1	10
14	вопрос о	2	10
15	в нем	19	10
16	и все	19	10
17	прежде всего	15	9
18	к человеку	1	9
19	не было	2	9
20	в человеке	2	9
21	никогда не	8	9
22	потому что	12	9
23	он был	1	8
24	и он	2	8
25	ивана карамазова	3	7
26	в его	22	7
27	человек не	1	7
28	он не	15	7
29	в глубине	1	7
30	лишь в	5	7
31	до конца	3	7
32	нет ничего	1	7
33	но он	3	7
34	от него	6	7
35	великом инквизиторе	1	6
36	о великом	1	6
37	как и	18	6
38	все это	16	6
39	отношение к	6	5
40	в том	3	5
41	в самом	8	5
42	в этой	1	5
43	для него	13	5
44	достоевского и	3	5
45	в творчестве	3	5
46	него в	1	5
47	для достоевского	4	5
48	а в	5	5
49	то что	11	5
50	записок из	3	5
51	достоевского есть	1	4
52	он сам	5	4
53	в преступлении	2	4
54	с его	6	4
55	все в	1	4
56	все эти	4	4
57	герои достоевского	1	4
58	него и	2	4
59	его мысли	1	4
60	что не	7	4
61	в идиоте	1	4
62	не может	19	4
63	в романах	3	4
64	т е	12	4
65	достоевский не	1	4
66	того чтобы	1	4
67	человек и	2	4
68	есть лишь	1	4
69	и мысли	2	4
70	и его	16	4
71	что в	7	4
72	нем нет	1	3
73	в бесах	1	3
74	достоевского в	3	3
75	о том	2	3
76	еще не	4	3
77	самого достоевского	1	3
78	к нему	14	3
79	преступлении и	1	3
80	подполья и	1	3
81	было бы	2	3
82	того что	5	3
83	когда он	2	3
84	что он	23	3
85	и ее	2	3
86	в себе	6	3
87	записках из	2	3
88	в записках	3	3
89	и вот	5	3
90	не могут	1	3
91	для того	1	3
92	это было	3	3
93	что человек	1	3
94	это не	5	3
95	только одно	1	3
96	никто не	1	3
97	как бы	27	3
98	записки из	1	3
99	романах достоевского	3	3
100	с ним	8	3
101	и от	5	3
102	в этих	1	3
103	хотя бы	5	3
104	в своих	1	3
105	и с	15	2
106	те которые	1	2
107	и то	3	2
108	в ее	3	2
109	достоевского к	1	2
110	мысль о	1	2
111	от самого	1	2
112	что у	6	2
113	так и	6	2
114	и о	1	2
115	по себе	3	2
116	никогда и	1	2
117	и на	6	2
118	совсем не	3	2
119	не все	1	2
120	что и	5	2
121	что они	6	2
122	природы он	1	2
123	ивана и	2	2
124	как к	4	2
125	в своем	2	2
126	все же	7	2
127	сразу же	1	2
128	героев достоевского	4	2
129	и к	12	2
130	в этот	2	2
131	и потому	2	2
132	в которой	2	2
133	в уста	1	2
134	он в	4	2
135	так что	5	2
136	уже в	3	2
137	в душе	2	2
138	же это	1	2
139	ведь это	1	2
140	которую он	1	2
141	много раз	2	2
142	так как	4	2
143	тем что	4	2
144	в других	1	2
145	даже и	4	2
146	момент в	1	2
147	в другом	8	2
148	его в	4	2
149	достоевского с	1	2
