N	3gram	Nazirov_Tv_1	KulturaY
1	и т п	2	41
2	тем не менее	2	9
3	до сих пор	1	8
4	в том что	6	8
5	и т д	1	8
6	в данном случае	2	4
7	с одной стороны	1	4
8	в связи с	1	4
9	и в самом	1	4
10	на самом деле	2	3
11	и тем не	1	3
12	не только в	2	3
13	в первую очередь	1	3
14	с другой стороны	1	3
15	о том что	5	3
16	сплошь и рядом	1	3
17	и того же	1	2
18	по отношению к	1	2
19	в отличие от	1	2
20	только то что	1	2
21	в известном смысле	1	2
22	не могут быть	1	2
23	одного и того	1	2
24	дело не в	1	2
25	к тому же	1	2
26	хотя и не	1	1
27	что же касается	1	1
28	в своей известной	2	1
29	чуть ли не	1	1
30	то же самое	1	1
31	в одной из	2	1
32	т п где	1	1
33	и в то	2	1
34	о чем и	1	1
35	что он не	1	1
36	бы то ни	1	1
37	а может быть	1	1
38	по крайней мере	2	1
39	это вовсе не	1	1
40	вместе с тем	1	1
41	не то что	1	1
42	между прочим в	1	1
43	не совсем еще	1	1
44	ту или иную	1	1
45	хотя бы и	1	1
46	насчет того что	1	1
47	войне и мире	1	1
48	заключается в том	1	1
49	в каждом человеке	2	1
50	не только для	1	1
51	это не значит	1	1
52	могут быть без	1	1
53	вряд ли в	1	1
54	о внутренней форме	1	1
55	своей известной книге	1	1
56	то же время	12	1
57	в войне и	1	1
58	в свою очередь	1	1
59	в конечном счете	4	1
60	данном случае гораздо	1	1
61	чем у нас	1	1
62	мы имеем в	1	1
63	а вместе с	1	1
64	в то же	13	1
65	к тому что	1	1
66	бы говорить о	1	1
67	занятия так как	1	1
68	а если мы	1	1
69	один из самых	1	1
70	не заметить что	1	1
