N	3gram	Voloshinov_1	DiskursI
1	в том что	4	13
2	с одной стороны	2	9
3	по отношению к	11	9
4	о том что	1	5
5	то же время	1	4
6	к тому же	1	4
7	в то же	1	3
8	с другой стороны	2	3
9	это прежде всего	1	3
10	в свою очередь	1	3
11	не может быть	7	3
12	подобно тому как	1	2
13	науке о литературе	1	2
14	мы имеем дело	1	2
15	можно сказать что	5	2
16	по себе не	1	2
17	в науке о	1	2
18	в частности в	1	2
19	то же самое	2	2
20	но отнюдь не	2	2
21	в значительной степени	1	2
22	более или менее	1	2
23	в основе своей	1	2
24	сами по себе	1	2
25	одной стороны и	2	2
26	том что в	1	2
27	в данном случае	2	2
28	можно определить как	1	2
29	по крайней мере	1	2
30	одному и тому	1	1
31	о ком или	1	1
32	с самого начала	1	1
33	или не хочет	1	1
34	в истории литературы	1	1
35	о чем говорят	1	1
36	продукт социального взаимодействия	1	1
37	одним и тем	1	1
38	ком или о	1	1
39	чем говорят героя	1	1
40	как и в	1	1
41	до известной степени	2	1
42	на этом основании	1	1
43	до сих пор	3	1
44	в этом смысле	1	1
45	тех или иных	1	1
46	не может стать	1	1
47	в противном случае	1	1
48	социального взаимодействия трех	1	1
49	имеем дело с	1	1
50	не совпадают с	1	1
51	и прежде всего	1	1
52	и тем же	1	1
53	только в организации	1	1
54	трех говорящего автора	1	1
55	и не может	3	1
56	и тому же	1	1
57	и то же	2	1
58	но и вся	1	1
59	сам по себе	1	1
60	на самом деле	2	1
61	далеко не всегда	1	1
62	здесь имеет место	1	1
63	в этом отношении	1	1
64	не только его	1	1
65	взаимодействия трех говорящего	1	1
66	в конечном счете	1	1
67	только то что	1	1
68	и того о	1	1
69	на передний план	1	1
70	но все же	1	1
71	говорит о том	1	1
72	по аналогии с	1	1
73	с точки зрения	2	1
74	в том и	1	1
75	в этом направлении	1	1
76	дело в том	4	1
77	что не только	1	1
78	тем не менее	3	1
79	читателя и того	1	1
80	одно и то	2	1
81	во всяком случае	1	1
82	может быть ни	1	1
83	того о ком	1	1
84	или о чем	1	1
