N	2gram	Nazirov_Vr_1	Analitik
1	тогда как	2	19
2	в этом	8	18
3	не только	9	16
4	и в	8	16
5	в частности	1	16
6	так и	1	15
7	как и	6	14
8	своего рода	1	12
9	но и	7	12
10	и не	5	12
11	том что	3	12
12	в том	3	12
13	в качестве	1	11
14	при этом	4	10
15	в эпизоде	1	10
16	могут быть	1	10
17	как бы	4	10
18	в этой	2	9
19	ничего не	1	9
20	и даже	6	9
21	в целом	1	8
22	и т.п	2	8
23	отнюдь не	2	8
24	а также	2	7
25	о том	4	7
26	в себе	2	7
27	то что	7	7
28	в самом	1	6
29	но в	6	6
30	в мире	2	6
31	говорить о	1	6
32	может быть	4	6
33	с другой	1	6
34	в сторону	1	5
35	говорит о	1	5
36	того же	1	4
37	по преимуществу	1	4
38	совпадает с	1	4
39	столь же	2	4
40	как правило	1	4
41	но не	1	4
42	как в	1	4
43	в своем	3	4
44	хотя и	1	4
45	тому же	1	4
46	уже говорилось	1	4
47	нашего времени	2	4
48	то же	5	4
49	не с	1	4
50	тем самым	1	4
51	для него	2	4
52	точки зрения	2	4
53	в конце	3	4
54	только не	1	4
55	не менее	2	4
56	во второй	1	4
57	во всех	1	4
58	и его	3	4
59	уже не	2	4
60	у него	5	4
61	как раз	2	4
62	не может	2	4
63	все это	4	4
64	и то	2	3
65	едва ли	1	3
66	в их	1	3
67	героя нашего	1	3
68	ему в	1	3
69	не был	1	3
70	ответ на	2	3
71	ключ к	1	3
72	и сам	1	3
73	попадает в	1	3
74	несмотря на	4	3
75	не мог	2	3
76	в эту	2	3
77	место в	2	3
78	тем не	1	3
79	по крайней	1	3
80	как о	1	3
81	никогда не	2	3
82	тем что	3	3
83	этом отношении	1	3
84	и т.д	1	3
85	крайней мере	1	3
86	и все	7	3
87	из них	2	3
88	именно в	1	3
89	было бы	1	3
90	в первой	1	3
91	романа в	1	3
92	бы в	1	3
93	прежде всего	1	3
94	а в	2	3
95	речь идет	3	2
96	отношения к	2	2
97	той же	1	2
98	и он	2	2
99	собой в	1	2
100	еще не	2	2
101	он был	3	2
102	слова часто	1	2
103	на основе	2	2
104	и я	1	2
105	как говорит	1	2
106	знаю что	1	2
107	себе не	1	2
108	момент его	1	2
109	на то	3	2
110	он не	3	2
111	от которого	1	2
112	в окно	1	2
113	таким образом	2	2
114	в одну	2	2
115	же не	2	2
116	это было	1	2
117	этом смысле	1	2
118	и романа	1	2
119	соответствии с	1	2
120	он и	1	2
121	еще в	1	2
122	в этих	1	2
123	в своей	2	2
124	в котором	6	2
125	с точки	2	2
126	о себе	3	2
127	в обоих	1	2
128	в то	5	2
129	не имеет	1	2
130	же время	5	2
131	стал смотреть	1	2
132	ли не	1	2
133	роль в	1	2
134	с ее	1	2
135	с ним	4	2
136	что в	7	2
137	за мною	1	2
138	о своей	1	2
139	его в	3	2
140	и во	3	2
141	между тем	5	2
142	в его	3	2
143	не знаю	1	2
144	того что	1	2
145	один из	1	2
146	себя в	1	2
147	для всех	1	2
148	не есть	1	2
149	ни с	1	2
150	и их	1	2
151	в одном	1	2
152	вслед за	1	2
153	в соответствии	1	2
154	и стал	2	2
155	на этот	1	2
156	одну из	1	2
157	о чем	2	2
158	вместе с	2	2
159	так же	4	2
160	упоминание о	1	2
161	в ответ	1	2
162	н и	1	2
163	печорина из	1	2
164	и другими	1	2
165	я всегда	1	2
166	тот кто	1	2
167	еще более	1	2
168	другой стороны	1	2
169	т е	3	2
170	все что	1	2
171	к этому	3	2
172	в таком	1	2
173	а между	1	1
174	как известно	1	1
175	этого в	1	1
176	ко всем	1	1
177	также и	1	1
178	говорилось выше	1	1
179	органическое единство	1	1
180	идет о	1	1
181	не имело	1	1
182	по его	1	1
183	их и	1	1
184	полагает что	1	1
185	на место	2	1
186	что никто	1	1
187	именно к	1	1
188	не слишком	1	1
189	в полной	1	1
190	я не	3	1
191	событий и	1	1
192	в чем	3	1
193	реванш за	1	1
194	и всего	1	1
195	совсем не	1	1
196	то он	1	1
197	о смерти	1	1
198	сказал он	2	1
199	не все	1	1
200	существенно что	1	1
201	тут же	1	1
202	традиционного для	1	1
203	для русской	1	1
204	независимо от	1	1
205	короче говоря	1	1
206	третий раз	1	1
207	и наконец	1	1
208	всего романа	1	1
209	постановки вопроса	1	1
210	еще один	1	1
211	в известном	2	1
212	рассказ о	1	1
213	раз в	3	1
214	но ведь	1	1
215	как он	1	1
216	но на	1	1
217	в нем	6	1
218	ее участников	1	1
219	время и	2	1
220	имело бы	1	1
221	всех этих	1	1
222	прочим и	1	1
223	в силу	1	1
224	никому не	1	1
225	целого ряда	1	1
226	человека в	3	1
227	об этом	5	1
228	а их	1	1
229	в глубине	1	1
230	самим собой	1	1
231	заключается в	1	1
232	в глазах	2	1
233	это не	4	1
234	в жизни	1	1
235	в них	2	1
236	все равно	1	1
237	далеко не	3	1
238	этого не	1	1
239	которой он	1	1
240	однажды в	1	1
241	но искусство	1	1
242	такой же	1	1
243	но я	1	1
244	при участии	1	1
245	что о	1	1
246	м о	1	1
247	имеется в	1	1
248	и пошел	1	1
249	страстью к	1	1
250	жизнь и	1	1
251	что я	2	1
252	и уж	1	1
253	вплоть до	1	1
254	этот персонаж	1	1
255	второй раз	1	1
256	однако в	1	1
257	том же	2	1
258	что этот	1	1
259	не должна	1	1
260	а вот	1	1
261	раз и	1	1
262	одна из	2	1
263	было не	1	1
264	каждый из	1	1
265	не учитывать	1	1
266	что ни	1	1
267	и выражение	1	1
268	его судьбу	1	1
269	эпизода с	1	1
270	по своей	1	1
271	это слово	1	1
272	потому что	1	1
273	связи с	3	1
274	и сомнения	1	1
275	и далее	2	1
276	одно и	1	1
277	которых он	1	1
278	начиная с	2	1
279	во все	1	1
280	похож на	1	1
281	сама жизнь	1	1
282	отличается от	1	1
283	и о	3	1
284	в виду	4	1
285	свою очередь	1	1
286	но при	1	1
287	имеет никаких	1	1
288	в ее	1	1
289	встреча с	1	1
290	связан с	1	1
291	которого у	1	1
292	нам уже	1	1
293	они выступают	1	1
294	с героем	1	1
295	эту сцену	2	1
296	автора к	1	1
297	о нем	6	1
298	второй половине	1	1
299	но мы	1	1
300	и что	8	1
301	это была	1	1
302	служит для	1	1
303	к нему	1	1
304	с его	3	1
305	от них	1	1
306	в литературе	1	1
307	в третий	1	1
308	известном смысле	1	1
309	ее уже	1	1
310	сразу же	1	1
311	в основном	1	1
312	а тем	1	1
313	и ее	2	1
314	за которую	1	1
315	человека с	2	1
316	внимание в	1	1
317	выступают как	1	1
318	уже в	4	1
319	больше не	1	1
320	в начале	6	1
321	слово за	1	1
322	его и	2	1
323	этот раз	1	1
324	пока не	1	1
325	к ним	2	1
326	и речи	1	1
327	нам не	1	1
328	и из	1	1
329	который не	1	1
330	что тот	1	1
331	в свою	2	1
332	характерно для	1	1
333	говорит я	1	1
334	какую-то таинственную	1	1
335	более того	1	1
336	в рассказе	1	1
337	романа однако	1	1
338	однако некоторые	1	1
339	хотя он	1	1
340	ближе к	1	1
341	в связи	3	1
342	было в	1	1
343	эти слова	3	1
344	между нами	1	1
345	да и	1	1
346	я с	1	1
347	довольно много	2	1
348	поскольку сам	1	1
349	что же	1	1
350	еще раз	1	1
351	между прочим	1	1
352	встрече с	1	1
353	в мировой	1	1
354	и ушел	1	1
355	восходящая к	1	1
356	как на	1	1
357	человек и	1	1
358	для нас	4	1
359	за исключением	1	1
360	в литературной	1	1
361	к этой	1	1
362	тем более	2	1
363	и как	3	1
364	но это	2	1
365	только что	1	1
366	же в	2	1
367	себя на	1	1
368	могли быть	2	1
369	отношении к	1	1
370	а о	1	1
371	в романе	6	1
372	по которой	1	1
373	из этого	1	1
374	в свое	1	1
375	ли он	1	1
376	на это	2	1
377	это в	2	1
378	точно так	1	1
