N	2gram	Potebnia_M_3	VrazhdaK
1	не только	21	9
2	в этом	10	8
3	и в	30	8
4	и что	10	8
5	но и	19	7
6	и все	3	7
7	то что	18	7
8	что в	17	7
9	все же	2	6
10	но в	1	6
11	в нем	9	6
12	как и	10	6
13	в котором	4	6
14	и с	2	6
15	в начале	3	6
16	и даже	2	6
17	то же	23	5
18	об этом	2	5
19	в то	10	5
20	же время	5	5
21	между тем	9	5
22	у него	2	5
23	не было	4	5
24	и не	15	5
25	в ней	8	4
26	что он	6	4
27	в истории	1	4
28	целый ряд	2	4
29	при этом	3	4
30	это не	1	4
31	несмотря на	2	4
32	все это	4	4
33	в виду	1	4
34	во многом	2	4
35	с ним	6	4
36	о том	2	4
37	для нас	20	4
38	уже в	5	4
39	может быть	28	4
40	как бы	3	4
41	так же	3	4
42	одним из	1	3
43	который был	1	3
44	он был	1	3
45	в чем	3	3
46	с его	1	3
47	в своем	5	3
48	и как	5	3
49	на то	2	3
50	его в	3	3
51	он не	4	3
52	далеко не	4	3
53	том что	18	3
54	но он	1	3
55	что есть	2	3
56	и его	4	3
57	связи с	2	3
58	и о	2	3
59	что у	1	3
60	в его	4	3
61	в том	32	3
62	давно уже	1	3
63	тем что	7	3
64	эти слова	2	3
65	к этому	3	3
66	отношения к	1	2
67	и то	8	2
68	и он	1	2
69	он сам	1	2
70	столь же	4	2
71	но как	2	2
72	ответ на	3	2
73	тогда как	2	2
74	человека с	1	2
75	его на	1	2
76	при создании	2	2
77	в этой	2	2
78	что к	1	2
79	в себе	16	2
80	время и	2	2
81	после этого	1	2
82	их в	2	2
83	таким образом	14	2
84	в мире	1	2
85	об этой	1	2
86	в глазах	1	2
87	в них	5	2
88	а с	2	2
89	мы знаем	1	2
90	на первый	1	2
91	в эту	1	2
92	во время	2	2
93	точки зрения	2	2
94	в своей	2	2
95	и ее	1	2
96	с точки	1	2
97	место в	3	2
98	не менее	5	2
99	том же	2	2
100	хотел было	1	2
101	и далее	1	2
102	его с	2	2
103	на это	4	2
104	и это	4	2
105	так в	2	2
106	еще не	5	2
107	там же	6	2
108	тем более	4	2
109	с нею	2	2
110	уже не	6	2
111	при помощи	1	2
112	из них	6	2
113	его и	1	2
114	для него	9	2
115	от сознания	1	2
116	отношение к	2	2
117	к ним	1	2
118	и т.п	1	2
119	о влиянии	1	2
120	с которым	1	2
121	начиная с	1	2
122	не может	6	2
123	вместе с	12	2
124	и а	1	2
125	ко мне	1	2
126	но это	6	2
127	что я	5	2
128	же в	2	2
129	очень хорошо	1	2
130	а в	12	2
131	в свою	3	2
132	это в	2	2
133	а между	2	1
134	вряд ли	1	1
135	ко всем	2	1
136	слова сказал	1	1
137	человека и	5	1
138	что образ	1	1
139	того же	1	1
140	не имел	1	1
141	к своей	1	1
142	это и	2	1
143	и есть	3	1
144	ему не	2	1
145	что слово	7	1
146	по преимуществу	1	1
147	не принимая	1	1
148	свое место	2	1
149	едва ли	1	1
150	уже по	1	1
151	в их	2	1
152	по его	1	1
153	не вдаваясь	1	1
154	той же	2	1
155	по объему	1	1
156	что уже	2	1
157	он как	2	1
158	равно как	1	1
159	говорить о	3	1
160	ему в	2	1
161	один пример	1	1
162	в числе	1	1
163	имя и	1	1
164	а еще	1	1
165	на них	1	1
166	его представления	1	1
167	содержания в	2	1
168	по своему	2	1
169	одним словом	2	1
170	совсем не	1	1
171	но не	7	1
172	а тем	2	1
173	заметим что	1	1
174	всего он	1	1
175	не все	4	1
176	если в	1	1
177	и т.д	1	1
178	есть по	1	1
179	тут же	2	1
180	что они	2	1
181	ли эта	1	1
182	и я	1	1
183	как по	1	1
184	из которого	1	1
185	первый взгляд	1	1
186	же с	6	1
187	независимо от	5	1
188	как в	10	1
189	с этим	6	1
190	дает нам	3	1
191	некоторое время	1	1
192	по которому	5	1
193	что как	2	1
194	что ее	1	1
195	в мысли	2	1
196	и наконец	2	1
197	себе не	4	1
198	роль играет	1	1
199	то в	1	1
200	в самом	8	1
201	что это	4	1
202	в целом	3	1
203	что же	2	1
204	из разных	1	1
205	еще один	1	1
206	тому же	1	1
207	во многих	1	1
208	как он	1	1
209	из сцен	1	1
210	не могла	2	1
211	да и	1	1
212	имело бы	1	1
213	при виде	1	1
214	в силу	3	1
215	сердце и	1	1
216	из него	2	1
217	что ни	2	1
218	людей и	2	1
219	всего то	1	1
220	однако в	1	1
221	одно и	5	1
222	не будет	3	1
223	конечно в	1	1
224	их и	1	1
225	говорить не	1	1
226	это было	3	1
227	заключается в	1	1
228	было бы	9	1
229	в жизни	1	1
230	этого не	3	1
231	не всегда	2	1
232	которой он	1	1
233	быть иначе	1	1
234	он сказал	1	1
235	в этих	1	1
236	время своих	1	1
237	на свою	2	1
238	его отношение	1	1
239	не будем	1	1
240	тем не	3	1
241	по крайней	5	1
242	без всяких	1	1
243	есть еще	3	1
244	с такими	1	1
245	что этот	1	1
246	сам этот	1	1
247	раз и	1	1
248	вдаваясь в	1	1
249	тем самым	7	1
250	что эта	2	1
251	человека но	1	1
252	от нас	3	1
253	без ответа	1	1
254	это дает	1	1
255	не имеет	6	1
256	даже во	1	1
257	в процессе	1	1
258	было не	1	1
259	как о	2	1
260	только не	2	1
261	следовательно и	1	1
262	все свои	1	1
263	ничего не	1	1
264	того как	4	1
265	это то	1	1
266	более что	1	1
267	такая же	2	1
268	это слово	4	1
269	потому что	46	1
270	свою мать	1	1
271	что самые	1	1
272	до того	4	1
273	этом отношении	2	1
274	в каком	5	1
275	этот закон	1	1
276	только от	3	1
277	могут быть	3	1
278	отличается от	1	1
279	сходство с	1	1
280	не есть	17	1
281	уже на	2	1
282	ничего общего	2	1
283	свою очередь	3	1
284	это будет	1	1
285	в ее	2	1
286	только при	2	1
287	не могло	1	1
288	но мы	2	1
289	то время	4	1
290	имя не	1	1
291	так и	11	1
292	на нее	1	1
293	не с	1	1
294	ясно что	1	1
295	было в	1	1
296	том как	3	1
297	жизнь и	1	1
298	быть может	3	1
299	и вообще	3	1
300	вышел в	1	1
301	можно бы	4	1
302	во всяком	1	1
303	с тою	1	1
304	слова тем	1	1
305	его жизни	2	1
306	до сих	3	1
307	единства и	1	1
308	нас в	1	1
309	вопросу о	1	1
310	к нему	3	1
311	во всех	1	1
312	от них	2	1
313	я думаю	2	1
314	из своего	1	1
315	в форме	2	1
316	крайней мере	5	1
317	в другой	1	1
318	вслед за	3	1
319	все в	2	1
320	если это	1	1
321	тех пор	1	1
322	один из	4	1
323	что только	6	1
324	романа и	1	1
325	во всем	1	1
326	то он	2	1
327	он уже	1	1
328	того который	1	1
329	себя в	1	1
330	указания на	1	1
331	мы бы	1	1
332	на свое	3	1
333	хотя в	1	1
334	а это	1	1
335	в душе	10	1
336	что для	4	1
337	ни с	1	1
338	искать в	1	1
339	никто не	3	1
340	пока не	1	1
341	в известной	1	1
342	в одном	2	1
343	ее не	1	1
344	друг друга	3	1
345	каждый из	1	1
346	как при	2	1
347	от того	8	1
348	это сравнение	2	1
349	из двух	3	1
350	нужно было	1	1
351	с другой	7	1
352	именно в	3	1
353	все равно	4	1
354	труд и	1	1
355	такое же	3	1
356	души и	2	1
357	прежде всего	3	1
358	только по	5	1
359	у человека	1	1
360	на этот	1	1
361	в ту	1	1
362	с конца	1	1
363	не об	1	1
364	него в	1	1
365	время с	1	1
366	за тем	3	1
367	человека к	1	1
368	или по	1	1
369	что первая	1	1
370	предположить что	1	1
371	своей души	1	1
372	того что	18	1
373	я с	1	1
374	указанием на	3	1
375	в свое	2	1
376	еще раз	2	1
377	с любовью	2	1
378	сих пор	3	1
379	между прочим	1	1
380	под влиянием	1	1
381	к вопросу	1	1
382	и от	4	1
383	но на	1	1
384	это можно	3	1
385	людьми и	1	1
386	о котором	1	1
387	человек и	1	1
388	хотя и	1	1
389	бы в	2	1
390	только что	8	1
391	отношении к	2	1
392	своего народа	1	1
393	нам не	1	1
394	и начинается	1	1
