N	3gram	Savitsky_P_1	formyVre
1	то же время	7	9
2	и как раз	2	6
3	в то же	7	6
4	и в то	2	5
5	для того чтобы	1	5
6	в том числе	2	4
7	в одно и	1	3
8	не может быть	1	3
9	в этом мире	1	2
10	одной стороны и	2	2
11	с точки зрения	3	2
12	и не только	2	2
13	в отличие от	1	2
14	но и в	2	2
15	том числе и	1	2
16	в нем в	1	2
17	вместе с тем	1	2
18	и в частности	1	2
19	так же как	1	2
20	не только в	4	2
21	с одной стороны	3	2
22	по сравнению с	1	2
23	в том что	4	2
24	мы видим в	1	1
25	или хотя бы	1	1
26	том что в	1	1
27	что мы и	1	1
28	сами по себе	3	1
29	совершенно ясно что	1	1
30	в значительной мере	2	1
31	что во всех	1	1
32	но в то	1	1
33	в противоречии с	1	1
34	и в этом	1	1
35	в последующие века	1	1
36	во всяком случае	1	1
37	и не столько	1	1
38	то что происходит	1	1
39	та или иная	1	1
40	но в этом	1	1
41	не входят в	1	1
42	друг с другом	1	1
